PlayerId,MLB_Proj_Score
17922,64.6
17929,67.66
17932,52.66
17954,48.12
17969,40.05
17975,74.18
17982,80.24
17988,70.84
17992,73.68
17995,47.99
18006,56.56
18015,69.4
18027,64.9
18029,46.48
18030,64.25
18032,60.78
18036,61.26
18042,58.54
18054,57.74
18063,60.65
18067,66.77
18083,67.34
18123,58.33
18126,68.58
18136,61.16
18142,71.26
18146,64.93
18171,54.7
18206,64.09
18213,43.05
18217,73.22
18282,46.1
18288,73.97
18289,67.57
18300,29.78
18314,72.84
18316,58.81
18323,49.09
18325,37.48
18333,26.79
18345,81.62
18347,47.86
18353,57.28
18360,77.1
18361,42.95
18363,72.25
18365,73.21
18371,53.42
18373,75.16
18383,42.88
18395,63.38
18399,69.29
18400,74.05
18401,61.35
18403,43.16
18425,60.85
18433,62.13
18482,49.67
1849,55.51
18551,60.89
18555,46.76
18564,80.91
18568,83.57
18577,68.04
18587,59.79
18603,52.96
18607,57.36
18674,26.41
18679,43.7
18684,36.07
18690,50.21
18694,47.43
18699,55.19
18769,29.69
18790,45.12
18795,71.61
18819,70.31
18821,56.92
18839,84.96
18848,78.39
18872,58.83
18881,68.61
18882,74.69
18887,57.22
18889,65.86
18899,46.07
18900,58.5
18905,51.66
1907,60.93
19151,49.42
19170,46.74
19181,54.6
19191,39.42
19197,62.89
19199,31.06
19206,38.56
19212,57.55
19222,46.53
19225,34.12
19238,60.81
19244,44.86
19245,43.04
19250,58.72
19251,76.02
19252,67.27
19260,72.7
19262,67.24
19264,37.15
19266,42.18
19267,56.71
19268,46.67
19273,51.58
19277,44.98
19278,37.31
19287,57.55
19290,67.11
19291,27.28
19292,70.31
19293,66.33
19294,68.86
19296,50.55
193,56.4
19309,41.74
19314,63.01
19318,67.02
19326,70.02
19331,61.02
19339,74.26
19346,57.59
19348,52.41
19352,67.73
19354,54.91
19358,58.19
19360,57.56
19361,45.93
19363,64.26
19384,74.78
19392,66.4
19422,58.09
19432,53.97
19452,55.58
19453,37.48
19454,47.12
19455,54.77
19458,60.02
1946,43.78
19470,67.47
19477,64.03
19487,46.86
19508,53.74
19514,71.28
19521,67.87
19522,68.47
19528,50.16
19529,49.22
19533,54.81
19546,47.09
19552,58.94
19553,60.77
19556,82.47
19562,54.59
19563,61.65
19566,80.18
19574,45.91
19577,41.53
19599,68.03
19600,67.36
19608,59.11
19610,90.98
19611,115.9
19612,85.1
19615,67.79
19625,58.51
19627,54.83
19634,58.32
19635,50.56
19643,67.96
19644,53.43
1965,65.8
19665,42.62
19667,52.78
19671,43.81
19680,48.33
19683,67.67
19695,46.93
19698,68.28
19703,65.3
19705,46.36
19709,71.57
19710,47.95
19716,48.89
19717,65.47
19722,48.85
19727,57.2
1973,24.8
19734,63.98
19754,41.75
19768,70.05
19788,47.97
19795,48.78
198,50.06
19800,44.08
19802,65.62
19805,46.75
19806,52.12
19813,59.0
19818,62.02
19824,46.37
19826,44.02
19828,52.35
1984,46.33
19842,48.06
19844,83.65
19858,71.85
19859,54.01
19864,56.2
19871,45.94
19872,41.11
19873,63.43
19877,65.29
19878,74.38
1989,45.38
19890,67.8
19892,75.51
19896,55.51
19901,68.43
19903,40.98
19906,71.63
19909,36.23
19910,65.07
19913,72.22
19918,87.29
19921,51.11
19926,48.85
19928,65.94
19931,64.46
19938,43.23
19948,46.12
19950,75.52
19951,40.78
19952,45.6
19953,57.59
19955,82.21
19956,58.19
19957,52.0
19958,76.23
19960,63.99
