Season,League,N,R2,Adj_R2,F_stat,F_pval,BB/K_coef,BB/K_pval,K%_coef,K%_pval,ISO_coef,ISO_pval,wRC+_coef,wRC+_pval,GB/FB_coef,GB/FB_pval,SwStr%_coef,SwStr%_pval,Age_Z_SL_coef,Age_Z_SL_pval
2012,Venezuelan Summer League,62,0.903,0.891,72.158,0.0,-0.055,0.433,-3.821,0.0,1.4,0.001,0.005,0.0,-0.003,0.831,1.183,0.102,0.035,0.029
2013,Appalachian League,184,0.843,0.836,134.611,0.0,-0.034,0.329,-2.668,0.0,1.555,0.0,0.005,0.0,-0.01,0.434,0.665,0.01,-0.004,0.75
2013,Arizona League,268,0.841,0.837,196.662,0.0,-0.024,0.411,-2.856,0.0,2.216,0.0,0.004,0.0,0.009,0.275,0.728,0.001,-0.004,0.745
2013,California League,186,0.92,0.916,290.723,0.0,-0.028,0.403,-2.315,0.0,2.084,0.0,0.004,0.0,0.0,0.964,-0.116,0.492,-0.023,0.012
2013,Carolina League,140,0.91,0.905,189.633,0.0,-0.045,0.011,-2.208,0.0,1.74,0.0,0.005,0.0,-0.024,0.061,0.01,0.956,-0.008,0.42
2013,Dominican Summer League,558,0.865,0.864,505.055,0.0,0.0,0.995,-2.314,0.0,1.528,0.0,0.005,0.0,0.018,0.139,0.261,0.119,0.009,0.114
2013,Eastern League,150,0.933,0.93,283.631,0.0,-0.108,0.001,-2.386,0.0,0.932,0.0,0.005,0.0,-0.001,0.886,1.001,0.002,0.003,0.757
2013,Florida State League,233,0.905,0.902,305.136,0.0,-0.047,0.052,-1.857,0.0,1.558,0.0,0.005,0.0,0.019,0.121,0.116,0.398,-0.002,0.806
2013,Gulf Coast League,316,0.831,0.827,216.646,0.0,-0.043,0.027,-2.272,0.0,1.378,0.0,0.004,0.0,0.002,0.846,-0.069,0.717,0.004,0.683
2013,International League,83,0.879,0.868,78.053,0.0,-0.015,0.886,-1.507,0.0,1.58,0.0,0.004,0.0,0.008,0.711,0.032,0.957,-0.03,0.071
2013,Midwest League,322,0.881,0.878,330.902,0.0,-0.061,0.004,-2.361,0.0,1.765,0.0,0.004,0.0,0.022,0.056,0.294,0.022,-0.01,0.13
2013,Pacific Coast League,107,0.911,0.905,145.373,0.0,-0.139,0.055,-2.187,0.0,2.019,0.0,0.004,0.0,-0.013,0.322,-0.352,0.61,-0.009,0.656
2013,Pioneer League,151,0.835,0.827,103.588,0.0,-0.199,0.001,-2.025,0.0,1.525,0.0,0.005,0.0,0.019,0.045,-0.353,0.382,-0.012,0.429
2013,South Atlantic League,299,0.885,0.882,318.517,0.0,-0.099,0.008,-2.61,0.0,1.952,0.0,0.004,0.0,0.028,0.009,0.184,0.165,-0.004,0.54
2013,Southern League,149,0.96,0.958,482.167,0.0,-0.011,0.809,-2.084,0.0,2.27,0.0,0.003,0.0,-0.02,0.001,-0.024,0.939,-0.007,0.501
2013,Texas League,105,0.916,0.91,151.397,0.0,-0.079,0.266,-2.425,0.0,1.207,0.0,0.005,0.0,-0.024,0.18,0.019,0.966,-0.0,0.975
2013,Venezuelan Summer League,77,0.93,0.923,131.931,0.0,-0.012,0.816,-1.875,0.001,1.358,0.001,0.005,0.0,0.005,0.751,-0.191,0.719,0.029,0.032
2014,Appalachian League,182,0.829,0.822,120.365,0.0,-0.117,0.005,-2.738,0.0,1.539,0.0,0.005,0.0,0.006,0.648,0.408,0.118,-0.017,0.182
2014,Arizona League,254,0.829,0.825,170.877,0.0,-0.031,0.555,-2.615,0.0,1.241,0.0,0.006,0.0,0.012,0.23,0.516,0.066,0.008,0.596
2014,California League,196,0.905,0.902,256.539,0.0,-0.094,0.012,-2.717,0.0,1.861,0.0,0.005,0.0,-0.011,0.208,0.498,0.003,-0.014,0.094
2014,Carolina League,140,0.936,0.933,277.036,0.0,-0.057,0.089,-2.67,0.0,1.621,0.0,0.005,0.0,-0.011,0.568,0.374,0.05,0.0,0.969
2014,Dominican Summer League,598,0.86,0.858,517.163,0.0,-0.021,0.305,-2.252,0.0,1.966,0.0,0.004,0.0,0.017,0.058,0.069,0.666,0.011,0.064
2014,Eastern League,138,0.968,0.966,553.078,0.0,-0.092,0.008,-1.99,0.0,1.685,0.0,0.005,0.0,0.001,0.862,-0.448,0.144,-0.009,0.318
2014,Florida State League,230,0.923,0.92,378.856,0.0,-0.051,0.023,-2.068,0.0,1.287,0.0,0.004,0.0,-0.015,0.125,-0.053,0.678,-0.002,0.787
2014,Gulf Coast League,321,0.8,0.796,179.39,0.0,-0.094,0.002,-2.663,0.0,1.753,0.0,0.004,0.0,0.003,0.78,0.584,0.011,-0.003,0.766
2014,International League,79,0.921,0.914,118.797,0.0,0.074,0.445,-2.108,0.0,1.549,0.0,0.005,0.0,0.028,0.165,0.546,0.379,-0.03,0.036
2014,Midwest League,329,0.908,0.906,450.369,0.0,-0.075,0.02,-2.307,0.0,1.61,0.0,0.004,0.0,-0.003,0.695,0.21,0.05,-0.0,0.959
2014,Pacific Coast League,127,0.945,0.942,290.901,0.0,-0.029,0.662,-2.305,0.0,1.918,0.0,0.004,0.0,0.006,0.374,-0.285,0.538,-0.017,0.195
2014,Pioneer League,156,0.72,0.707,54.435,0.0,-0.069,0.056,-2.334,0.0,1.717,0.0,0.005,0.0,0.036,0.037,0.398,0.32,0.011,0.486
2014,South Atlantic League,294,0.906,0.904,394.661,0.0,-0.091,0.002,-2.402,0.0,2.05,0.0,0.004,0.0,0.012,0.179,0.001,0.997,0.002,0.798
2014,Southern League,151,0.958,0.956,468.872,0.0,0.033,0.377,-2.167,0.0,1.901,0.0,0.004,0.0,-0.008,0.181,0.345,0.257,-0.015,0.119
2014,Texas League,111,0.937,0.933,220.421,0.0,-0.124,0.016,-2.173,0.0,1.485,0.0,0.005,0.0,0.016,0.061,-0.557,0.102,-0.018,0.038
2014,Venezuelan Summer League,78,0.918,0.91,112.505,0.0,-0.021,0.757,-4.52,0.0,1.861,0.0,0.004,0.0,-0.021,0.143,1.782,0.013,-0.009,0.533
2015,Appalachian League,169,0.896,0.891,197.395,0.0,-0.161,0.0,-2.706,0.0,1.771,0.0,0.004,0.0,-0.01,0.378,0.291,0.194,-0.009,0.337
