PlayerId,Archetype,Cluster_ID,Cluster_PA,TOOLS_Disc,TOOLS_Power,TOOLS_Ath,AB_BB,AB_K,AB_SB,AB_Power,Fantasy_Out
2602,Contact/Power,2,464,-0.143,-0.025,-0.177,1.2230000000000003,-0.0458,0.089,1.101,1.004
2616,Average,4,1816,0.413851872246696,0.06703634361233479,0.19326431718061676,-0.24812692731277536,-0.28589289647577093,0.3549201541850221,0.13898127753303963,0.949613986784141
2621,Average,4,586,0.741,0.551,-0.124,0.6446,-0.9175999999999999,-0.642,0.375,0.263
2636,Speed,1,1283,0.23745050662509742,-0.1009321901792673,0.5985339049103663,-0.6474352299298519,-0.9120929072486361,1.9363374902572097,0.020447388932190176,1.1378472330475449
2650,Three True Outcomes,3,1380,-0.28050724637681157,1.6033021739130433,0.7661644927536231,0.6620005072463768,1.178901304347826,0.6879514492753623,1.6281413043478261,0.9273565217391304
2677,Pure Contact,0,1058,1.4833383742911155,-0.30015122873345934,0.05060113421550095,0.261473156899811,-1.9221644612476372,-0.23014083175803407,0.005940453686200402,0.776093572778828
2777,Contact/Power,2,1281,0.05122716627634662,1.2729008587041375,-0.34170960187353633,0.866617486338798,0.22735050741608123,-0.7097611241217798,1.2358243559718969,0.6700226385636222
2783,Contact/Power,2,805,0.23499130434782609,1.1053167701863353,-0.1471142857142857,0.5022380124223602,-0.30259403726708073,-0.04151925465838508,0.9304708074534161,0.3832658385093168
2784,Speed,1,3117,0.5006294513955727,-1.0450644850818094,0.3864193134424126,0.012694096888033364,-0.3052896053897979,2.5355604748155276,-0.9300827718960539,0.7038107154315048
2802,Average,4,1409,0.5698225691980128,0.14267991483321502,-0.1300539389638041,-0.30720269694819025,-0.5208545067423704,-0.5241511710432931,0.2789517388218595,0.6884748048261179
2829,Average,4,1356,0.6705907079646017,-0.41142109144542777,-0.5377957227138643,-0.7764513274336283,-1.124868215339233,-0.619070796460177,-0.292297197640118,0.4484269911504425
2830,Power/K-Risk,3,517,-0.458,1.024,0.867,0.3305,0.8199,-0.698,1.214,1.054
2832,Pure Contact,0,1515,0.9033399339933993,-0.7194092409240925,-0.0882950495049505,0.1983849504950495,-1.200853597359736,0.8540343234323433,-0.39637293729372935,0.5375115511551155
2833,Pure Contact,0,2369,1.0249121992401857,-0.7179742507387084,0.13931152384972562,-0.4803460531869987,-1.6674019839594765,-0.05940565639510343,-0.6059649641198818,1.245696496411988
2845,Three True Outcomes,5,1643,-0.5026731588557517,0.8307979306147292,0.8754613511868533,0.5248866098600122,0.7403049908703591,0.4830754716981132,0.8877638466220329,0.54457699330493
2852,Contact/Power,2,1953,-0.07574961597542242,1.20505222734255,-0.303036866359447,-0.033843113159242204,-0.0009869943676395427,-0.7054823348694317,1.4519293394777266,0.8671571940604199
2861,Average,4,382,-0.691,-0.025,-0.7060000000000001,-0.5921,-0.3266,-0.4020000000000001,-0.034,0.321
2881,Pure Contact,0,1363,1.0539574468085107,-0.25487527512839325,0.24625898752751285,0.9573323550990462,-0.6724696991929567,0.6403037417461481,-0.1817226705796038,1.4025942773294204
2900,Average,4,1579,1.067316656111463,-0.5337745408486383,-0.2644547181760608,2.1620882203926537,0.20191779607346422,-0.6683324889170361,-0.48062001266624443,-0.6920417986067132
2905,Pure Contact,0,911,0.41162019758507135,-0.695331503841932,-0.4263830954994512,-0.6098981339187706,-0.981307903402854,1.8638276619099892,-0.6579714599341383,0.9004588364434688
2917,Speed,1,565,0.6766106194690266,-0.025,0.10982300884955752,-0.37553716814159294,-1.1970823008849558,3.0,-1.0616106194690265,0.4271858407079645
2923,Average,4,431,0.07644547563805104,-0.03591879350348028,-0.692893271461717,-0.2459890951276102,-0.23554779582366595,-0.3374199535962877,0.2290788863109049,0.7963781902552205
2967,Three True Outcomes,5,1409,-0.3046302342086586,0.8824350603264726,0.7081029098651526,0.6445017743080198,1.133381689141235,0.6397750177430802,1.0210865862313698,0.4323839602555004
3086,Contact/Power,2,1057,1.007491958372753,1.024934720908231,0.07572563859981078,0.4204720908230843,-1.0589143803216652,-0.6174881740775781,1.2061116367076632,1.9556518448438975
3096,Power/K-Risk,3,445,-0.3502651685393258,0.872629213483146,-0.7278808988764045,0.04437393258426965,0.6797065168539326,-0.4340516853932584,1.5125573033707864,-0.484238202247191
3118,Contact/Power,2,1497,0.3369305277221109,1.1648042752171008,0.08487842351369407,0.06895631262525051,-0.5230981295925183,-0.3661342685370741,0.945935203740815,1.0701930527722112
3123,Speed,1,1174,1.2828381601362862,-0.4114676320272572,0.18815672913117548,1.5856284497444635,-0.1331578364565588,0.7510587734241907,-0.9070255536626917,0.7619361158432708
3129,Pure Contact,0,1046,0.8454378585086042,-0.6394933078393881,0.3891395793499044,-0.17463307839388145,-1.484185277246654,0.30787762906309746,-0.37217017208413006,1.5267361376673039
3131,Three True Outcomes,3,522,-0.945,1.626,-0.472,1.4953,1.0778,0.189,2.102,0.597
3142,Average,4,1241,0.7191692183722804,-0.2113795326349718,0.33848348106365833,1.0549775181305399,-0.5592973408541498,0.03543352135374698,0.010929895245769547,0.40669218372280425
3154,Contact/Power,2,958,0.6401774530271398,0.6198601252609603,0.5238768267223383,0.98850375782881,-0.5471356993736951,0.9221273486430063,0.7822860125260961,1.5188058455114821
3188,Average,4,962,0.07953326403326404,-0.4075155925155925,-0.20156652806652806,-0.9373010395010396,-1.1497430353430353,-0.2834095634095634,-0.16943970893970894,1.5556704781704782
3206,Pure Contact,0,488,-0.22790163934426227,-0.2485737704918033,0.31012704918032785,-1.2999524590163936,-1.1388963114754098,-0.4932418032786885,-1.0701516393442623,0.8252418032786886
3207,Average,4,512,0.14547656250000002,-0.129171875,-0.2185078125,-0.9179710937500001,-1.00226328125,-0.12656250000000005,0.1240859375,1.9595156249999999
