BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
47,Alfredo Duno,CIN,C,20.4,True,46.0,1.0,Alfredo Duno,CIN,AA,62.18,80.29,61.71,67.79,66.76
48,Ethan Salas,SDP,C,19.11,True,67.0,-19.0,Ethan Salas,SD,AAA,59.23,83.15,54.38,76.41,65.47
49,Ryan Sloan,SEA,RHP,20.3,False,,,,,,,,,,
50,Nathan Flewelling,TBR,C,19.6,True,587.0,-537.0,Nathan Flewelling,TB,A+,52.0,67.81,49.9,68.21,56.07
51,Taitn Gray,TBR,1B,18.9,True,369.0,-318.0,Taitn Gray,TB,A,,74.52,56.71,63.85,58.27
52,Josh Hammond,KCR,SS,19.8,True,666.0,-614.0,Josh Hammond,KC,A,,66.68,53.92,60.51,55.33
53,Josiah Hartshorn,CHC,OF,19.3,True,158.0,-105.0,Josiah Hartshorn,CHC,A+,,80.18,64.25,69.11,61.97
54,Cooper Flemming,TBR,SS,19.9,True,305.0,-251.0,Cooper Flemming,TB,A,,77.19,58.85,60.51,58.95
55,Jhonny Level,SFG,SS,19.1,True,23.0,32.0,Jhonny Level,SF,A+,64.6,78.32,63.87,68.9,68.12
56,Elian Pena,NYM,SS,18.6,True,37.0,19.0,Elian Peña,NYM,A+,66.78,74.67,59.03,67.52,67.1
57,Juneiker Caceres,CLE,OF,18.9,True,7.0,50.0,Juneiker Caceres,CLE,A+,69.32,89.32,63.5,66.06,72.71
58,Kendry Chourio,KCR,RHP,18.7,False,,,,,,,,,,
59,Ethan Conrad,CHC,OF,21.1,True,1454.0,-1395.0,Ethan Conrad,CHC,A,,53.16,57.06,44.63,50.7
60,Dax Kilby,NYY,SS,19.6,True,73.0,-13.0,Dax Kilby,NYY,A,65.55,61.66,69.83,61.96,65.0
61,Jarlin Susana,WSH,RHP,22.1,False,,,,,,,,,,
62,Cam Caminiti,ATL,LHP,19.9,False,,,,,,,,,,
