Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
136,Leo Jiménez,MIA,3B,24.0,24.372,73.8,71,0.58,17.4,41.2,27.5,83.2,90.7,37.4,32.2,93.9,96.9,65.6,79.5,88.6,97.2,62.9,74.9,11.6,12.3,-21.1,84.3,21.569,87.6,88.608,88.9,23.214,74.1,108.6,35.4,105.3,73.3,59.1,99.6,1.408,12.2,6.3,3.7,0.296,98.9,0.388,67.9,2.783,15.9,0.0,8.8,0.0,8.8
137,Nathan Martorella,MIA,1B,24.0,24.613,70.5,152,0.59,18.4,41.2,27.5,63.2,69.3,34.3,28.3,47.1,47.3,40.7,30.3,55.2,58.8,61.1,68.4,72.9,77.5,-32.2,59.9,25.714,69.6,85.246,73.0,25.49,62.1,108.6,35.4,101.9,29.4,32.3,25.9,2.632,31.5,24.2,88.5,0.203,21.2,0.287,15.4,6.24,70.6,0.033,62.3,1.0,91.4
138,Kristian Campbell,BOS,2B,23.0,23.258,88.9,319,0.67,25.7,40.4,26.7,54.2,58.5,34.6,28.9,29.0,24.9,31.8,17.9,41.6,39.0,47.3,39.0,58.6,58.8,-40.7,37.7,22.853,83.4,80.057,34.4,27.362,51.6,111.4,74.1,102.6,37.0,29.9,17.0,2.194,25.7,14.4,36.8,0.206,23.7,0.284,13.5,5.53,58.6,0.013,35.3,1.0,91.4
139,Noah Miller,LAD,SS,22.0,22.883,92.1,242,0.71,31.0,40.3,25.9,51.2,55.0,23.6,16.8,59.8,61.5,41.7,31.4,55.5,59.3,50.2,46.5,39.7,35.3,-31.9,60.3,33.562,19.2,86.78,81.9,22.624,76.7,108.1,29.7,100.9,17.9,35.2,39.4,2.066,23.3,12.8,28.2,0.22,37.7,0.308,21.6,3.542,24.6,0.004,20.1,1.0,91.4
140,Kevin Parada,NYM,C,23.0,24.159,77.4,64,0.55,15.5,40.3,25.9,67.3,75.2,44.6,44.4,64.2,68.3,54.4,57.6,65.8,73.6,59.0,63.6,45.6,42.0,-29.7,65.8,25.0,72.9,81.707,47.5,25.424,62.7,109.2,43.9,103.1,43.2,31.7,24.1,3.125,38.0,11.4,21.0,0.255,81.0,0.392,69.8,4.642,39.0,0.031,60.4,0.667,35.3
141,Andrew Pintar,MIA,CF,24.0,24.523,71.8,332,0.65,24.9,40.1,25.1,30.9,24.1,51.2,54.2,46.0,45.5,48.6,47.1,38.4,34.9,53.0,52.1,82.1,88.2,-50.9,13.7,27.634,53.2,81.934,50.1,28.92,40.5,110.0,59.0,105.4,74.9,40.7,63.6,4.217,53.2,12.9,28.9,0.223,41.9,0.325,30.9,6.719,79.5,0.069,90.9,0.852,73.8
142,Edgar Quero,CHW,C,22.0,22.486,95.0,63,0.64,23.5,39.6,24.6,79.2,87.4,22.3,13.8,62.6,66.6,42.4,32.5,70.9,79.2,49.8,44.4,7.6,5.9,-26.9,72.5,20.395,91.5,80.247,36.1,22.321,77.6,107.0,17.0,102.3,34.1,42.1,71.2,1.587,13.7,5.3,2.0,0.264,89.0,0.341,41.3,1.37,5.9,0.0,8.8,0.0,8.8
143,Thomas Gavello,SFG,C,24.0,24.318,74.5,197,0.79,40.6,39.2,24.1,28.7,21.6,40.5,37.1,37.2,34.0,38.8,26.8,33.0,25.8,34.8,17.9,38.6,33.2,-55.9,7.0,25.714,69.6,84.141,65.6,32.537,21.8,109.0,40.0,104.4,64.1,38.5,52.6,3.553,44.1,12.8,28.2,0.184,8.8,0.305,19.5,4.994,47.4,0.01,31.0,0.667,35.3
144,George Valera,CLE,LF,24.0,24.879,65.9,107,0.7,29.7,38.9,23.5,49.5,50.4,59.5,63.0,44.3,43.0,51.9,51.2,46.9,46.2,36.3,19.8,15.0,15.0,-38.3,44.2,25.0,72.9,81.679,46.8,31.492,27.5,111.8,78.9,104.6,66.2,34.8,37.3,3.738,46.8,22.4,82.6,0.223,41.9,0.352,47.6,3.488,24.2,0.0,8.8,0.0,8.8
145,Jacob Gonzalez,CHW,SS,23.0,23.337,88.0,171,0.54,14.4,38.8,23.0,70.9,78.9,21.1,13.1,51.1,51.2,36.1,23.3,61.0,66.9,60.1,66.0,58.2,57.8,-28.1,69.9,25.556,70.3,84.456,68.0,23.158,74.5,107.2,19.8,100.5,13.1,32.5,27.1,1.754,18.1,17.5,56.4,0.217,34.2,0.296,17.1,4.5,37.7,0.029,57.8,1.0,91.4
146,Petey Halpin,CLE,CF,23.0,23.348,87.8,553,0.65,24.9,38.4,22.5,27.3,19.8,56.7,59.7,27.9,22.8,42.3,32.2,27.6,17.6,42.0,29.9,70.7,74.9,-47.2,20.0,33.573,19.0,77.748,20.5,25.946,58.2,109.9,57.6,102.0,30.5,34.3,34.9,5.425,68.0,20.5,72.2,0.218,35.3,0.36,52.1,6.92,83.2,0.027,56.1,0.833,71.1
