Combined_Rank,Name,Team,Level,BA_Rank,BA_Delta,PIPE_Rank,PIPE_Delta,BA_Org_Rank,PIPE_Org_Rank,TBC_Name,Pos,Born,Age_At_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
125,Jirvin Morillo,CIN,A,,,,,21,23,Jirvin Morillo,C,2007-01-10,19.0,64.54,63.87,62.69,58.5,62.8
126,Liberts Aponte,CIN,R,,,,,22,14,Liberts Aponte,SS,2007-11-08,19.0,63.61,67.87,63.4,53.57,62.77
127,Chase Harlan,LAD,A+,,,,,10,17,Chase Harlan,3B,2006-07-09,20.0,57.0,82.81,56.67,63.61,62.71
127,Jansel Luis,AZ,AA,,,,,12,13,Jansel Luis,2B-SS,2005-03-06,21.0,60.43,69.88,58.46,70.27,62.71
132,Anderson Araujo,PHI,R,,,,,23,,Anderson Araujo,C,2008-04-08,18.0,62.43,70.29,59.37,58.84,62.53
135,Axiel Plaz,PIT,A+,,,,,20,22,Axiel Plaz,C,2005-08-12,21.0,58.51,78.58,56.54,63.75,62.48
135,Ty Southisene,TOR,A+,,,,,22,26,Ty Southisene,SS,2005-07-08,21.0,57.32,75.3,61.95,65.08,62.48
139,Francisco Renteria,PHI,R,,,,,,5,Francisco Renteria,OF,2009-01-09,17.0,,68.77,86.56,57.69,62.35
141,Jeferson Quero,MIL,AAA,,,,,7,8,Jeferson Quero,C,2002-10-08,24.0,62.31,74.07,55.32,57.93,62.34
146,Haritzon Castillo,MIN,R,,,,,25,,Haritzon Castillo,SS,2008-03-23,18.0,64.99,57.92,64.59,58.84,62.12
147,Diego Velasquez,SF,AAA,,,,,23,,Diego Velasquez,SS-2B,2003-10-01,23.0,60.26,74.64,55.36,62.94,62.09
149,Sean Keys,TOR,AAA,,,,,,17,Sean Keys,3B-1B,2003-05-26,23.0,58.74,74.12,61.84,57.93,61.98
150,Gavin Kilen,SF,AA,,,,,8,5,Gavin Kilen,SS,2004-03-28,22.0,61.05,74.07,59.5,52.92,61.97
152,Khadim Diaw,MIN,AA,,,,,24,23,Khadim Diaw,C-CF,2003-08-23,23.0,62.12,74.49,57.67,50.97,61.95
152,Jaison Chourio,CLE,AA,,,,,9,12,Jaison Chourio,CF,2005-05-19,21.0,58.15,73.67,57.08,68.88,61.95
154,Yoeilin Cespedes,BOS,AA,,,,,19,18,Yoeilin Cespedes,SS,2005-09-08,21.0,62.46,67.59,54.84,66.65,61.94
160,Elorky Rodriguez,TEX,R,,,,,22,16,Elorky Rodriguez,OF,2007-12-26,19.0,62.7,69.36,56.04,59.1,61.75
161,Cooper Ingle,CLE,AAA,,,99.0,-62.0,10,6,Cooper Ingle,C,2002-02-23,24.0,62.65,70.66,61.97,46.79,61.74
