Rank,Name,Team,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,RawPower,PowAge,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
98,Daniel Lopez,KCR,20.0,20.934,16.7,70,1.34,87.8,59.6,76.6,83.7,94.0,66.2,70.4,71.4,87.0,68.8,84.4,77.6,94.6,75.7,98.1,71.9,80.0,79.1,47.9,-12.9,90.5,27.879,69.8,84.615,87.0,21.429,87.4,111.1,95.0,101.4,55.2,35.7,55.8,0.0,30.8,7.329,66.5,0.143,93.8,0.769,50.0
99,Tim Piasentin,TOR,19.0,19.409,61.6,86,0.47,17.4,59.4,76.3,51.2,52.7,70.6,76.7,58.4,68.7,64.5,75.4,54.8,60.1,52.6,56.0,48.1,43.5,79.8,70.7,-36.0,45.7,28.079,68.8,72.65,32.1,32.759,38.4,107.9,76.7,104.9,84.5,50.0,84.8,0.0,30.8,5.251,34.5,0.023,32.4,1.0,91.7
100,Wilberson De Pena,NYY,19.0,19.778,47.7,248,1.86,98.1,59.3,76.1,46.2,45.3,88.5,93.1,45.6,38.6,67.0,81.0,45.9,40.5,53.4,60.1,68.3,75.5,93.1,70.4,-32.7,53.9,35.02,34.3,78.594,59.7,31.567,44.9,111.1,95.0,105.8,90.2,25.0,31.4,0.8,72.0,7.346,67.1,0.093,83.2,0.767,49.3
101,Javier Sanchez,TEX,18.0,19.012,75.6,74,0.7,36.7,59.2,75.7,72.3,80.8,43.7,40.1,50.3,51.1,47.0,41.1,61.3,72.8,53.5,60.4,38.0,29.8,48.2,61.9,-17.6,84.9,30.18,59.7,79.487,63.3,28.302,59.7,104.9,53.4,99.7,40.5,27.8,37.4,0.0,30.8,3.958,18.1,0.014,22.5,1.0,91.7
102,Caden Merritt,ATL,19.0,19.258,67.4,164,0.95,59.4,59.2,75.7,32.2,23.4,81.0,85.5,37.9,24.0,59.4,64.6,35.0,20.5,51.3,53.1,83.9,92.0,78.8,73.1,-39.0,40.3,39.376,16.7,67.742,13.5,33.818,35.0,109.4,87.0,102.4,66.5,38.5,62.3,3.7,97.8,8.624,90.1,0.122,91.3,0.833,63.5
103,Yordani Soto,CHW,17.0,18.026,98.8,165,0.83,47.7,59.1,75.4,17.5,8.2,68.0,72.0,55.0,62.3,61.5,70.0,36.2,22.5,40.0,24.4,47.5,43.0,75.0,86.9,-47.9,22.2,39.645,15.9,68.878,16.7,41.818,8.2,106.6,65.6,105.4,89.1,60.0,93.4,0.0,30.8,6.769,56.8,0.048,56.8,0.5,19.6
104,Liosward Marin,BOS,20.0,20.268,33.6,97,1.74,96.6,59.0,75.1,60.1,65.0,87.9,92.3,46.3,40.6,67.1,81.4,53.2,56.5,57.8,70.2,67.0,73.8,83.6,58.6,-20.6,80.0,41.781,11.8,67.347,12.6,23.026,82.6,108.1,78.1,106.1,91.8,47.5,80.0,6.2,99.8,6.344,49.5,0.134,92.6,0.812,59.2
105,Wilfri De La Cruz,BAL,18.0,18.932,79.0,188,0.86,51.7,58.7,74.9,58.4,62.9,44.5,41.5,43.6,35.3,44.0,37.0,51.0,51.4,56.3,66.9,66.9,73.3,40.9,60.0,-26.1,68.6,36.376,27.8,78.205,58.7,23.734,78.7,104.1,46.4,98.8,32.7,24.1,28.5,0.5,64.4,7.486,69.6,0.09,81.0,0.739,42.8
106,Anthony Marquez,SFG,19.0,19.91,40.1,199,0.78,43.4,58.6,74.2,71.2,77.8,59.0,62.8,63.8,77.9,61.4,69.6,67.5,84.5,66.4,85.1,64.3,69.6,67.4,53.8,-30.2,57.2,22.572,90.8,80.095,67.1,24.242,76.6,107.4,72.8,101.8,59.4,37.5,60.5,0.0,30.8,7.659,72.7,0.055,62.7,0.786,53.1
107,Yojanser Calzado,CIN,19.0,19.346,63.4,123,0.84,49.2,58.6,74.2,39.4,35.9,75.3,81.2,53.2,57.5,64.2,74.4,46.3,42.1,51.3,53.1,61.4,63.2,86.5,75.0,-39.8,39.5,33.333,43.4,74.359,42.0,34.254,33.3,109.2,86.5,105.1,86.4,39.3,64.4,0.0,30.8,7.117,62.1,0.081,76.2,0.714,39.7
108,Freiker Betencourt,CHC,17.0,18.081,98.1,179,0.46,15.8,58.6,74.2,32.6,24.0,42.4,38.9,54.0,60.3,48.2,44.3,43.3,34.8,52.9,57.0,72.0,80.3,47.8,72.9,-43.0,30.7,38.114,21.0,76.768,51.7,29.693,54.5,105.7,57.9,98.8,32.7,36.0,56.4,0.0,30.8,8.528,88.2,0.061,67.1,0.786,53.1
109,Alfredo Benzan,ARI,19.0,19.335,64.4,199,0.67,33.9,58.6,74.2,41.4,38.3,61.4,64.7,59.6,71.5,60.5,66.9,50.5,50.6,59.8,73.4,78.3,84.8,55.5,60.0,-46.2,25.4,27.8,70.8,75.909,47.6,33.148,37.2,104.3,48.7,102.3,65.8,41.2,71.5,1.0,77.8,8.734,91.3,0.055,62.7,0.917,79.3
110,Edwin Darville,BOS,19.0,19.858,43.5,117,1.91,98.8,58.6,74.2,65.0,70.8,69.8,75.4,32.4,14.7,51.1,49.4,48.7,46.7,63.0,79.2,91.7,98.1,64.2,53.8,-23.9,73.1,28.708,66.2,68.293,15.0,31.788,42.9,106.5,64.7,102.1,63.4,33.3,49.9,2.6,92.6,9.284,97.1,0.291,100.0,0.872,71.3
111,Andry Batista,TEX,19.0,19.406,61.8,122,0.45,14.6,58.2,73.4,43.7,42.1,68.1,72.2,64.8,80.0,66.4,79.7,54.2,58.3,53.0,58.0,50.5,45.9,76.5,69.2,-50.8,16.4,24.204,86.2,76.087,48.8,31.138,48.1,107.4,72.8,104.5,82.1,48.1,80.7,0.0,30.8,5.757,40.8,0.041,52.4,0.833,63.5
112,Dorian Soto,BOS,18.0,18.516,90.7,161,0.53,22.7,58.1,72.8,38.0,33.6,69.2,74.2,24.5,8.2,46.8,40.7,31.2,15.9,37.3,18.7,49.5,45.2,71.2,81.0,-34.8,48.2,44.078,6.5,67.442,12.8,28.302,59.7,108.0,77.5,102.0,61.7,27.3,36.1,0.6,67.8,6.401,50.5,0.056,63.6,0.643,28.3
113,Moises Bolivar,LAD,18.0,19.121,72.2,169,1.01,65.3,58.1,72.8,43.6,41.5,81.4,85.9,48.6,46.9,65.0,76.6,46.1,41.2,35.9,16.2,15.5,13.5,93.9,83.1,-48.5,20.7,26.133,78.0,78.182,58.5,30.798,49.5,110.8,93.1,107.2,95.0,28.6,38.6,0.0,30.8,3.611,14.3,0.006,13.9,0.5,19.6
114,Fredderick Ovalle,PIT,19.0,19.151,71.0,70,1.36,88.6,58.1,72.8,76.7,86.5,26.0,22.6,45.2,37.7,35.6,23.4,61.0,72.2,66.8,85.9,78.5,85.3,24.9,48.0,-7.1,95.0,35.227,33.1,79.592,64.4,16.216,96.4,101.2,25.7,97.3,23.8,22.7,26.1,0.0,30.8,7.783,74.6,0.143,93.8,0.833,63.5
115,Ronald Ramirez,DET,19.0,19.858,43.5,105,1.25,82.4,58.1,72.8,50.1,50.7,56.8,60.3,79.6,94.3,68.2,82.9,64.8,79.1,71.9,92.8,85.9,94.0,61.5,52.5,-34.3,48.9,36.161,28.7,81.915,74.5,22.485,85.0,105.1,54.5,103.0,72.1,50.0,84.8,0.0,30.8,8.315,83.9,0.095,84.1,1.0,91.7
116,Kenny Fenelon,MIL,18.0,18.891,80.9,222,0.83,47.7,57.9,72.2,20.4,10.4,74.7,79.7,44.1,36.1,59.4,64.6,32.2,17.8,45.7,38.9,72.6,80.7,70.9,75.9,-51.8,15.0,34.506,38.2,65.972,10.4,42.132,7.0,107.0,69.3,103.1,73.4,46.0,77.8,1.8,88.0,7.994,78.7,0.104,86.6,0.742,43.2
117,Luis Cova,MIA,19.0,19.551,57.2,79,1.46,91.1,57.7,72.0,84.2,94.4,24.8,20.8,58.8,69.8,41.8,32.7,71.5,90.9,72.1,93.5,73.4,81.2,22.3,39.8,-20.3,80.3,24.742,84.1,84.507,86.1,18.182,94.1,99.6,18.1,98.1,28.5,25.0,31.4,0.0,30.8,7.016,60.7,0.177,96.9,0.824,60.9
118,August Cuneo,HOU,18.0,18.96,76.7,70,1.11,72.6,57.4,71.6,92.4,98.8,22.9,18.6,45.6,38.6,34.2,21.0,69.0,87.1,54.6,62.3,25.7,20.0,20.9,48.8,-7.1,95.0,15.228,99.5,78.723,59.9,24.675,75.4,100.2,20.8,96.9,21.0,25.0,31.4,0.0,30.8,3.876,16.5,0.029,40.5,0.5,19.6
119,Owen Gregg,TOR,19.0,19.641,52.7,52,1.65,96.0,57.4,71.6,58.8,63.5,39.2,35.0,76.4,91.1,57.8,61.6,67.6,84.9,72.7,94.9,83.0,90.6,39.8,46.2,-26.9,65.5,35.443,31.4,80.435,67.9,22.973,83.1,102.4,34.2,100.6,48.3,50.0,84.8,0.0,30.8,8.919,93.2,0.058,65.1,1.0,91.7
120,Derik Alcantara,CHC,21.0,21.498,9.7,79,1.01,65.3,57.0,71.3,71.8,79.7,77.1,82.4,70.0,85.4,73.6,90.7,70.9,90.0,70.0,89.9,68.2,75.1,74.5,42.1,-16.5,87.1,35.531,30.7,82.609,80.0,17.5,95.4,108.2,78.9,102.6,67.9,37.2,59.9,2.5,91.7,8.289,83.1,0.025,34.4,1.0,91.7
121,Dexters Peralta,NYY,18.0,19.113,72.5,227,0.93,57.5,56.9,70.8,28.0,18.1,69.7,75.1,54.4,61.6,62.0,71.1,41.2,32.0,48.2,46.4,62.3,65.3,68.4,70.4,-57.7,8.9,28.679,66.7,69.615,18.6,37.632,17.9,105.2,55.4,105.2,87.8,54.5,90.3,0.4,62.1,7.69,73.7,0.04,51.0,0.818,59.7
122,CJ Hughes,MIL,18.0,18.949,77.8,209,0.46,15.8,56.9,70.8,11.6,3.1,88.5,93.1,35.5,18.2,62.0,71.1,23.6,5.3,39.5,23.6,71.3,79.6,87.5,82.6,-69.9,1.9,34.884,35.0,51.724,1.0,49.872,1.0,110.0,89.9,104.8,83.9,40.5,70.0,2.9,94.9,8.307,83.6,0.077,74.0,0.762,47.7
