Rank,Name,Team,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,RawPower,PowAge,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
192,Enderson Delgado,DET,21.0,21.914,7.5,117,0.78,43.4,51.2,53.9,75.3,84.4,69.0,73.7,85.4,97.6,77.2,94.9,80.4,96.7,55.0,63.6,4.4,1.6,65.0,36.2,-14.5,89.0,31.818,50.4,81.879,74.2,23.832,78.3,105.3,56.0,104.0,78.6,70.0,96.5,0.9,75.6,1.356,1.6,0.0,6.3,0.0,6.3
193,Naibel Mariano,CIN,19.0,19.956,38.5,249,0.82,46.5,51.2,53.9,30.8,22.1,84.0,89.3,46.5,41.2,65.2,77.4,38.6,25.6,45.6,38.5,59.5,58.9,88.0,63.2,-38.2,42.3,42.349,10.4,72.936,34.5,34.505,32.4,110.7,92.0,104.5,82.1,36.7,58.5,0.8,72.0,7.016,60.7,0.036,46.0,0.9,76.6
194,Jan Luis Reyes,CHC,20.0,20.876,18.6,138,0.86,51.7,51.1,53.3,63.0,68.0,60.2,63.3,63.8,77.9,62.0,71.1,63.4,76.7,62.7,79.0,61.2,62.4,57.7,38.2,-19.6,81.5,41.436,12.6,84.507,86.1,19.005,92.5,107.2,70.9,99.4,37.8,30.4,41.4,1.4,83.8,7.785,74.9,0.065,69.0,0.643,28.3
195,Jhoan De La Cruz,SDP,18.0,18.762,84.2,166,0.08,1.9,51.1,53.3,17.8,8.9,56.6,59.7,42.8,33.7,49.7,47.5,30.3,14.5,36.9,18.1,50.1,45.5,54.2,69.2,-75.3,0.7,30.556,57.2,51.429,0.7,49.65,1.2,105.2,55.4,101.1,52.3,50.0,84.8,0.6,67.8,7.617,72.2,0.03,41.2,0.625,27.1
196,Andres Arias,TOR,19.0,19.874,42.6,183,0.9,55.0,51.0,52.8,71.3,78.3,41.3,37.0,43.9,35.7,42.6,34.9,57.6,64.4,57.1,67.9,56.1,53.9,42.8,42.7,-28.4,63.0,23.474,88.4,77.021,52.9,26.73,66.2,103.1,38.6,100.7,49.2,26.7,34.9,0.0,30.8,6.942,59.5,0.033,42.8,0.857,69.2
197,Johan Rodriguez,CLE,18.0,19.066,74.2,101,0.9,55.0,51.0,52.8,46.0,44.8,27.9,23.7,51.6,55.1,39.8,29.3,48.8,47.2,53.2,59.1,62.0,64.3,25.5,49.8,-41.6,34.8,27.941,69.3,69.492,18.4,32.571,38.9,99.9,19.0,99.1,35.3,50.0,84.8,0.0,30.8,7.413,68.1,0.039,49.9,0.857,69.2
198,Jose Gonzalez,LAD,21.0,21.558,9.4,179,0.67,33.9,50.8,52.4,55.0,56.3,88.7,93.8,55.4,62.9,72.0,88.6,55.2,61.1,50.8,51.4,42.1,35.0,91.1,50.2,-42.5,32.9,19.037,97.3,70.312,21.3,31.25,47.0,110.5,91.3,106.0,90.9,52.9,89.6,1.1,78.9,6.755,56.3,0.028,39.3,0.556,23.4
199,Jay McQueen,TEX,19.0,19.858,43.5,201,0.99,63.5,50.6,52.2,46.0,44.8,65.5,69.2,49.0,47.8,57.2,60.4,47.5,44.9,46.7,41.2,45.0,40.3,72.6,58.0,-37.8,42.8,34.632,37.7,77.246,54.3,26.687,66.4,106.7,66.2,104.5,82.1,31.6,43.8,0.0,30.8,7.035,61.5,0.035,44.4,0.5,19.6
200,Cristopher Acosta,MIL,18.0,18.563,89.0,121,0.11,2.8,50.5,51.9,14.4,5.3,59.3,63.0,36.8,21.7,48.0,43.5,25.6,7.5,31.4,9.3,43.1,36.7,56.7,72.8,-67.8,2.4,33.773,41.8,67.797,13.8,45.989,3.4,107.5,73.9,98.5,30.9,37.0,59.7,1.7,86.8,4.75,27.8,0.05,58.9,0.75,45.4
201,Adbiel Feliz,PIT,19.0,19.491,59.3,61,1.07,69.1,50.4,51.7,82.5,93.0,14.6,10.6,52.8,56.6,33.7,20.0,67.6,84.9,56.4,67.3,34.0,26.1,11.2,35.2,11.5,100.0,33.175,44.4,90.909,96.9,17.045,95.7,97.9,13.6,91.9,7.5,3.4,8.7,0.0,30.8,4.613,25.1,0.049,57.6,0.429,15.3
202,Jhon Gil,LAD,18.0,18.683,86.2,128,0.95,59.4,50.3,51.4,64.4,69.4,12.6,7.5,32.2,14.3,22.4,8.5,48.3,46.0,47.9,45.0,47.2,42.4,7.8,47.0,-17.2,85.5,37.201,24.9,78.846,60.1,25.728,70.8,94.1,7.2,92.6,8.8,0.0,4.3,0.0,30.8,5.131,32.4,0.078,74.6,0.667,32.7
203,Yael Romero,CIN,20.0,20.849,19.1,72,1.26,83.1,50.2,51.0,63.3,68.6,78.9,83.9,58.1,67.8,68.5,83.3,60.7,71.5,44.3,35.5,11.5,10.1,74.5,46.8,-25.0,70.8,29.717,61.8,73.469,37.2,31.25,47.0,107.3,71.7,104.0,78.6,46.7,79.0,2.8,94.1,4.101,19.3,0.0,6.3,0.0,6.3
204,Saul Gomez,BAL,18.0,19.069,73.9,47,0.27,6.6,50.2,51.0,25.2,15.5,44.6,42.1,67.1,82.6,55.8,57.6,46.2,41.7,44.9,36.7,42.5,35.7,47.1,60.5,-48.9,20.0,50.314,1.4,100.0,100.0,25.0,73.7,103.9,43.7,101.1,52.3,26.1,34.2,0.0,30.8,4.317,22.0,0.021,30.7,1.0,91.7
205,Eybert Sanchez,ARI,18.0,18.606,87.2,235,0.63,31.9,50.2,51.0,57.0,59.4,17.2,13.8,39.4,26.8,28.3,14.6,48.2,45.7,45.3,37.8,39.5,31.9,13.4,50.3,-33.6,51.3,31.0,54.6,79.863,66.2,24.719,75.1,96.5,11.5,95.1,16.2,12.5,12.6,0.0,30.8,5.631,38.4,0.038,48.8,0.643,28.3
206,Alan Escobar,CHW,17.0,18.048,98.6,114,0.46,15.8,50.0,50.5,39.5,36.2,14.1,9.7,37.5,22.9,25.8,10.6,38.5,25.4,46.8,41.8,63.5,68.4,9.9,54.2,-46.5,24.5,32.599,46.9,75.0,43.6,27.228,65.7,95.7,9.9,93.0,9.9,25.0,31.4,0.0,30.8,7.538,71.0,0.044,55.0,0.833,63.5
207,Juan Alva,MIA,20.0,20.449,30.0,139,1.36,88.6,49.9,50.0,96.6,100.0,14.3,10.4,55.3,62.6,34.8,21.7,75.9,93.2,72.0,93.1,64.0,68.8,10.4,20.2,-5.8,95.9,18.072,98.6,88.108,94.4,17.699,95.2,96.5,11.5,92.6,8.8,16.7,16.2,0.0,30.8,5.827,42.5,0.094,83.7,0.867,70.8
208,Bralyn Brazoban,PIT,19.0,19.97,37.7,81,1.23,81.6,49.9,50.0,9.9,2.1,93.2,96.9,54.0,60.3,73.6,90.7,32.0,17.3,43.3,32.7,66.1,72.5,95.7,66.7,-58.0,8.7,42.396,9.9,68.0,14.5,39.521,13.0,110.9,93.8,108.6,98.6,60.0,93.4,1.2,81.0,7.962,77.8,0.025,34.4,1.0,91.7
209,Renyel Campos,TOR,19.0,19.203,68.8,74,1.04,67.0,49.9,50.0,57.7,61.4,19.2,15.1,46.8,42.3,33.0,19.4,52.2,54.6,56.2,66.7,64.1,69.2,16.5,42.6,-29.7,59.2,30.189,59.4,81.579,72.7,30.328,51.3,99.0,16.9,95.0,15.8,20.0,21.0,0.0,30.8,7.489,69.8,0.027,38.0,1.0,91.7
210,Bo Walker,ARI,20.0,20.438,30.2,112,0.75,40.7,49.8,49.4,33.3,25.1,83.9,88.8,59.7,71.7,71.8,88.2,46.5,42.5,44.2,35.3,39.7,32.2,81.1,55.6,-41.1,36.4,33.858,41.1,70.339,21.5,38.725,14.0,107.5,73.9,106.1,91.8,75.0,97.9,1.8,88.0,4.466,23.4,0.036,46.0,0.8,56.8
211,Joephillip Guzman,BAL,19.0,19.606,55.0,113,0.51,20.3,49.8,49.4,78.8,88.2,44.9,43.4,22.8,7.5,33.8,20.3,50.8,51.2,39.5,23.6,17.0,14.5,33.4,44.2,-10.6,93.5,30.752,55.3,69.048,17.0,24.118,77.3,101.9,30.4,99.4,37.8,24.5,28.7,1.8,88.0,3.0,9.9,0.018,28.1,0.286,13.0
212,Rashawn Pinder,TEX,19.0,19.214,68.4,109,1.27,83.7,49.7,49.0,65.4,71.7,25.4,21.5,27.2,11.5,26.3,11.4,46.3,42.1,50.4,50.6,58.6,57.0,24.7,46.6,-33.0,53.1,21.923,92.8,74.257,41.8,29.677,54.8,101.4,27.1,96.9,21.0,12.5,12.6,0.0,30.8,6.353,49.8,0.092,82.2,0.714,39.7
213,Queni Pineda,NYY,19.0,19.231,67.9,240,0.82,46.5,49.6,48.8,40.7,37.0,44.8,42.9,37.4,22.6,41.1,31.6,39.0,26.7,45.0,37.1,56.8,54.6,47.9,57.9,-40.0,39.0,29.239,63.5,71.074,24.9,40.212,10.9,104.1,46.4,100.9,50.1,33.3,49.9,0.0,30.8,6.322,48.7,0.062,68.0,0.789,54.0
214,Anthony Frobose,NYM,18.0,19.097,72.7,167,0.61,30.3,49.4,48.4,24.0,13.8,52.1,53.4,38.8,26.0,45.4,38.9,31.4,16.9,42.1,30.0,63.6,68.6,57.3,65.0,-59.9,6.5,29.078,64.5,70.06,20.0,42.066,7.2,105.5,56.9,101.6,57.9,36.4,57.5,0.0,30.8,7.844,76.3,0.06,66.2,0.714,39.7
215,Yorber Semprun,NYM,18.0,18.935,78.5,72,1.14,74.9,49.4,48.4,50.8,51.9,11.3,5.6,37.9,24.0,24.6,9.7,44.3,37.4,58.3,71.3,86.1,94.2,6.2,42.4,-40.3,38.4,28.75,65.9,81.25,71.5,28.313,59.2,92.6,5.3,91.9,7.5,0.0,4.3,0.0,30.8,8.502,87.7,0.112,89.1,0.917,79.3
216,Engel Paulino,MIL,19.0,19.718,51.0,125,0.68,35.0,49.3,47.7,13.0,4.3,77.2,82.6,49.6,48.9,63.4,72.3,31.3,16.5,42.6,30.9,65.3,71.3,74.1,62.6,-64.8,3.4,34.772,35.7,65.979,10.6,46.087,2.9,107.7,75.4,103.0,72.1,51.7,88.6,2.4,91.1,6.785,57.4,0.08,75.6,0.833,63.5
217,Jose Urbina,ARI,20.0,20.271,33.3,93,0.98,62.6,49.3,47.7,42.0,39.4,89.1,94.2,43.7,35.5,66.4,79.7,42.8,33.7,34.2,13.9,16.9,14.1,87.0,60.2,-45.2,26.8,23.394,88.6,66.667,12.0,40.816,9.9,108.4,80.6,107.8,96.7,42.9,75.4,2.2,90.7,5.143,32.7,0.0,6.3,0.0,6.3
218,Jesus Fernandez,ATH,20.0,20.515,28.7,159,1.06,68.4,49.3,47.7,80.2,89.4,32.7,26.8,54.0,60.3,43.4,36.0,67.1,83.8,64.2,81.5,58.3,56.3,38.5,33.6,-4.4,97.1,34.049,39.6,92.126,98.6,13.502,99.0,106.0,59.8,91.5,6.5,8.3,9.4,0.0,30.8,6.128,46.1,0.063,68.4,0.833,63.5
219,Yeider Mindiola,NYM,19.0,20.066,36.0,109,0.73,39.4,49.3,47.7,38.4,34.4,62.1,65.0,51.4,54.3,56.8,59.4,44.9,39.0,54.9,63.2,74.9,82.4,68.2,52.1,-45.9,26.0,27.778,71.3,69.355,17.9,37.288,20.3,106.2,61.2,104.0,78.6,50.0,84.8,0.0,30.8,8.561,88.6,0.073,72.2,0.8,56.8
220,Jose Tovar,TBR,17.0,20.742,21.9,118,1.18,78.1,49.2,47.1,81.0,90.6,56.3,59.4,25.0,9.8,40.6,30.7,53.0,56.3,54.1,61.5,56.4,54.1,57.4,39.6,-0.8,98.1,32.957,45.7,72.727,32.6,20.112,91.1,108.0,77.5,98.0,27.2,17.5,17.4,0.8,72.0,3.94,17.6,0.092,82.2,0.944,82.2
221,Israfell Bautista,TBR,19.0,19.855,44.1,207,0.97,61.7,49.1,46.9,46.5,46.0,41.6,37.2,50.2,50.5,45.9,39.6,48.4,46.4,60.5,75.0,84.8,93.4,50.2,47.2,-30.0,58.0,38.911,18.6,85.714,90.7,28.302,59.7,107.5,73.9,94.7,14.6,8.8,9.7,0.0,30.8,8.38,85.3,0.164,96.4,0.85,67.6
222,Wyatt Vincent,NYM,19.0,19.997,36.7,132,0.92,56.5,48.9,46.6,61.5,66.9,46.9,46.6,46.0,39.7,46.4,40.3,53.8,57.5,55.1,64.0,57.7,55.3,50.3,43.5,-36.4,44.8,27.152,75.8,79.675,65.2,23.077,81.9,104.2,47.8,101.3,54.1,23.1,26.8,0.0,30.8,7.818,75.1,0.053,61.5,0.583,24.5
223,Max Viera,TOR,25.0,25.196,0.7,69,1.49,92.9,48.8,46.3,52.0,54.1,58.3,61.7,78.8,92.6,68.6,83.7,65.4,80.2,74.4,97.3,92.3,99.2,46.6,23.7,-26.1,68.6,37.584,22.9,80.0,66.8,29.752,54.1,102.8,36.6,102.0,61.7,55.6,90.8,2.9,94.9,9.613,98.6,0.101,85.6,1.0,91.7
224,Carlos  Garces,CLE,19.0,19.89,41.4,172,1.14,74.9,48.8,46.3,82.0,91.4,11.6,5.8,41.4,30.9,26.5,11.8,61.7,74.0,70.6,91.7,88.3,96.1,7.0,24.2,-12.8,90.8,28.537,67.4,82.424,78.5,23.05,82.1,94.7,8.0,90.7,5.6,0.0,4.3,0.0,30.8,9.16,96.1,0.151,95.2,0.839,66.1
225,Jostin Ogando,BOS,18.0,18.708,85.7,110,0.54,23.7,48.6,45.8,15.9,6.3,54.4,56.3,22.5,7.1,38.4,27.4,19.2,2.7,33.6,12.7,62.5,65.7,60.5,73.1,-50.9,16.2,40.447,14.3,70.0,19.8,37.705,17.6,106.2,61.2,101.8,59.4,22.2,25.1,0.0,30.8,8.079,80.4,0.036,46.0,0.8,56.8
226,Yordani Martinez,MIA,19.0,19.598,55.4,136,0.94,58.5,48.6,45.8,69.2,75.7,10.1,4.3,43.4,34.8,26.8,12.6,56.3,62.6,65.4,83.8,83.7,91.8,4.9,30.2,-29.4,60.4,26.866,76.3,83.243,82.4,23.265,80.4,91.6,4.6,90.6,5.3,0.0,4.3,0.0,30.8,8.551,88.4,0.118,90.6,0.842,66.7
227,Jefrank Silva,CHW,18.0,18.951,77.3,122,0.57,27.2,48.5,45.4,53.2,55.0,26.8,23.2,44.6,37.3,35.7,23.7,48.9,47.6,40.9,26.2,24.8,19.7,28.0,52.6,-40.2,38.6,27.444,74.2,80.519,68.1,28.634,58.2,102.8,36.6,94.8,15.0,20.0,21.0,0.0,30.8,3.463,12.3,0.033,42.8,0.5,19.6
228,Henniel Alcala,CHC,20.0,20.164,34.8,62,1.13,74.3,48.2,45.0,74.0,83.1,37.0,32.0,52.8,56.6,44.9,38.0,63.4,76.7,54.9,63.2,38.0,29.8,38.0,36.4,-9.7,94.0,33.333,43.4,80.952,70.3,25.882,69.7,102.7,35.6,99.8,41.5,26.9,35.4,0.0,30.8,3.86,16.2,0.016,24.5,1.0,91.7
229,Juan Espinal,ATL,19.0,19.901,40.6,117,0.38,10.5,48.2,45.0,15.9,6.3,88.6,93.5,38.5,25.4,63.6,72.7,27.2,8.9,38.7,20.7,61.7,63.6,86.4,63.5,-47.9,22.2,41.649,12.1,64.706,7.4,42.439,6.0,108.6,81.8,106.3,93.4,40.4,69.6,2.6,92.6,5.662,39.0,0.094,83.7,0.846,67.1
230,Anderson Areinamo,HOU,19.0,19.299,66.4,168,0.96,60.7,48.1,44.7,71.7,79.5,17.0,13.5,16.7,5.1,16.8,3.4,44.2,36.7,52.2,54.6,68.1,74.9,13.5,40.0,-26.2,67.8,23.161,89.6,70.485,22.2,29.693,54.5,97.8,13.3,94.4,13.8,11.1,11.2,0.0,30.8,6.802,57.7,0.071,71.3,0.923,80.3
231,Jose Dickson,DET,19.0,19.784,46.5,52,0.87,52.4,48.0,44.2,47.0,47.0,34.1,28.7,70.0,85.4,52.0,50.5,58.5,65.6,57.6,69.6,55.9,53.6,33.6,40.0,-48.1,21.6,24.806,83.6,77.358,55.1,29.63,55.6,101.6,28.4,99.8,41.5,50.0,84.8,0.0,30.8,5.763,41.1,0.096,84.3,0.714,39.7
232,Mario Baez,ATL,19.0,19.989,37.2,79,0.85,50.6,48.0,44.2,61.4,66.7,64.6,68.4,32.6,15.0,48.6,45.5,47.0,43.5,39.0,22.0,22.9,18.4,56.4,46.8,-12.7,91.1,48.91,2.2,73.333,36.1,24.503,75.8,104.6,50.7,102.2,65.0,24.6,29.1,2.5,91.7,3.771,15.0,0.025,34.4,0.5,19.6
233,Corey Cousin,KCR,19.0,19.896,40.8,184,0.81,45.5,48.0,44.2,56.4,58.9,44.2,41.1,37.7,23.2,41.0,31.4,47.0,43.5,54.5,61.8,69.5,77.5,39.6,40.2,-38.6,41.4,24.313,85.7,72.811,33.1,30.793,49.8,103.5,41.3,99.3,37.0,30.8,42.3,0.5,64.4,8.246,82.6,0.06,66.2,0.786,53.1
234,Daniel Hernandez,WSN,18.0,18.511,91.1,84,0.38,10.5,47.9,43.5,55.5,57.9,14.2,10.1,48.6,46.9,31.4,18.8,52.0,54.0,36.0,16.5,3.9,0.2,10.2,50.6,-26.2,67.8,38.272,20.8,79.817,65.8,24.161,76.8,96.1,10.6,92.9,9.5,25.0,31.4,0.0,30.8,0.834,0.2,0.0,6.3,0.0,6.3
235,Bohan Adderley,NYM,19.0,19.778,47.7,189,0.95,59.4,47.9,43.5,22.4,11.6,69.4,74.8,33.6,16.3,51.5,49.8,28.0,9.7,45.1,37.4,79.4,85.7,77.6,62.6,-54.0,12.3,32.723,46.4,65.665,9.7,40.123,11.4,107.3,71.7,105.1,86.4,36.4,57.5,0.0,30.8,7.359,67.4,0.148,94.8,0.903,77.1
236,Sebastian Cadiz,CLE,20.0,20.55,27.8,67,1.06,68.4,47.9,43.5,65.8,72.1,48.3,49.3,61.4,74.5,54.8,56.4,63.6,77.1,53.0,58.0,31.7,23.9,38.3,33.0,-23.9,73.1,33.962,40.6,83.824,84.1,22.131,85.5,102.5,34.9,100.0,43.4,28.6,38.6,1.5,85.1,3.728,14.7,0.045,55.6,0.6,25.6
237,Lewis German,KCR,18.0,18.439,93.2,135,0.09,2.4,47.8,43.0,2.2,0.2,62.6,66.2,14.6,3.6,38.6,28.0,8.4,0.2,26.1,5.6,61.4,63.2,68.9,81.1,-71.1,1.4,48.852,2.4,64.912,8.2,44.231,4.1,106.3,62.4,104.0,78.6,20.0,21.0,0.0,30.8,7.889,77.1,0.044,55.0,0.75,45.4
238,Tre' Morgan,TBR,23.0,24.099,1.2,51,1.99,99.5,47.7,42.3,58.2,62.3,65.2,68.6,74.1,88.6,69.6,85.3,66.2,81.9,62.1,77.7,54.0,50.6,55.1,28.2,-17.6,84.9,48.558,2.7,82.353,77.5,24.779,74.9,104.5,49.6,102.1,63.4,40.7,70.7,9.8,100.0,6.501,51.4,0.02,30.0,1.0,91.7
239,Jeffery Heard,LAA,23.0,23.452,2.4,75,1.29,85.0,47.7,42.3,65.8,72.1,70.9,77.3,46.0,39.7,58.4,62.4,55.9,62.1,57.3,68.5,60.1,60.1,80.5,41.4,-25.3,70.3,30.5,57.6,76.596,50.7,26.471,66.9,108.2,78.9,104.6,83.0,30.4,41.4,0.0,30.8,7.92,77.3,0.04,51.0,0.75,45.4
240,Rayner Arias,SFG,20.0,20.312,32.6,120,0.52,21.5,47.7,42.3,43.6,41.5,54.5,56.6,65.6,80.9,60.0,65.8,54.6,59.8,53.8,60.7,52.2,48.3,57.3,45.0,-54.2,12.0,20.233,95.9,79.528,63.8,31.638,44.2,104.0,44.8,103.4,76.0,40.0,67.3,0.0,30.8,5.854,43.0,0.025,34.4,1.0,91.7
241,Josueth Quinonez,DET,19.0,19.493,58.8,84,1.15,76.1,47.7,42.3,85.1,95.9,8.5,2.9,46.0,39.7,27.2,13.2,65.6,80.6,52.8,56.3,27.3,21.5,2.9,30.8,-9.5,94.4,28.889,65.2,85.0,87.8,19.58,91.5,88.0,2.7,87.2,3.1,0.0,4.3,0.0,30.8,3.422,12.1,0.036,46.0,0.6,25.6
242,Josh Owens,TEX,19.0,19.617,53.7,168,0.85,50.6,47.7,42.3,9.0,1.0,86.9,92.0,42.8,33.7,64.8,75.7,25.9,8.0,30.1,8.1,38.4,30.8,86.1,69.9,-64.3,3.7,40.858,13.8,70.238,20.9,38.506,15.0,108.9,84.1,105.4,89.1,39.5,64.7,1.8,88.0,5.315,35.3,0.036,46.0,0.667,32.7
243,Raymond Mola,PIT,20.0,20.72,22.9,68,1.15,76.1,47.6,41.5,50.8,51.9,55.0,57.9,49.8,49.4,52.4,51.8,50.3,50.2,60.0,74.0,79.5,86.2,59.4,41.2,-27.9,64.3,34.667,37.0,77.419,55.7,33.028,37.7,104.8,52.8,102.7,69.2,31.6,43.8,0.0,30.8,7.019,61.1,0.235,99.3,0.941,81.2
244,Browm Martinez,WSN,19.0,19.734,50.5,137,0.84,49.2,47.4,41.3,55.5,57.9,34.2,29.0,60.0,73.2,47.1,41.4,57.8,64.9,49.8,49.3,33.9,25.5,33.9,42.2,-32.1,54.8,27.606,72.5,71.271,25.6,34.524,31.9,101.8,29.5,99.7,40.5,62.5,94.3,0.0,30.8,4.149,20.0,0.051,60.0,0.5,19.6
245,Isaac Ponce,SDP,19.0,19.803,44.9,93,0.71,37.8,47.3,41.1,35.9,30.0,85.4,91.1,33.6,16.3,59.5,65.2,34.8,20.3,25.4,5.1,6.8,5.6,87.8,66.4,-38.7,40.9,33.511,42.5,62.766,4.8,39.49,13.3,110.1,90.6,104.7,83.5,38.5,62.3,1.1,78.9,2.643,7.6,0.0,6.3,0.0,6.3
246,Jase Mitchell,HOU,19.0,19.89,41.4,160,0.61,30.3,47.2,40.6,71.5,79.1,29.8,25.0,40.0,28.1,34.9,22.0,55.8,61.8,55.7,65.5,55.7,53.0,28.9,35.2,-25.0,70.8,15.023,99.8,69.872,19.6,34.762,30.7,101.3,26.3,98.8,32.7,37.5,60.5,0.0,30.8,6.947,59.9,0.056,63.6,0.692,38.0
247,Yamvier Carrero,ATL,19.0,19.956,38.5,108,0.71,37.8,47.2,40.6,58.4,62.9,47.7,47.7,33.8,16.7,40.8,31.2,46.1,41.2,50.6,51.0,59.6,59.4,51.3,44.9,-19.4,82.0,40.828,14.0,71.875,27.8,27.108,65.9,104.3,48.7,101.4,55.2,29.2,39.7,0.0,30.8,5.498,36.5,0.093,83.2,0.833,63.5
248,Yulian Barreto,SFG,18.0,18.919,80.0,173,0.56,26.3,47.2,40.6,35.4,29.5,22.0,17.8,50.6,52.5,36.3,25.6,43.0,34.3,46.2,40.0,52.6,49.2,18.6,49.3,-42.8,31.8,34.877,35.3,76.712,51.2,31.595,44.7,97.9,13.6,97.9,26.1,33.3,49.9,0.0,30.8,6.757,56.5,0.029,40.5,0.833,63.5
249,Francisco Espinoza,LAD,19.0,19.433,60.6,57,1.49,92.9,47.1,40.1,72.8,81.2,12.9,8.1,42.0,32.0,27.4,13.5,57.4,63.9,52.4,55.2,42.3,35.4,8.0,34.3,-26.3,67.0,23.529,88.0,82.54,79.7,27.473,64.5,93.2,6.2,93.2,10.7,0.0,4.3,0.0,30.8,4.499,23.9,0.018,28.1,1.0,91.7
250,Jesus Morales,KCR,18.0,19.053,74.6,70,-0.16,0.7,47.0,39.9,9.4,1.4,56.2,59.1,39.7,27.8,48.0,43.5,24.6,6.8,36.3,17.1,59.8,59.8,63.1,68.8,-75.7,0.5,36.994,26.1,60.938,3.9,42.188,6.8,106.6,65.6,101.8,59.4,42.9,75.4,0.0,30.8,7.638,72.5,0.014,22.5,1.0,91.7
251,Alfredo Rodriguez,TBR,20.0,20.947,15.8,113,0.75,40.7,46.8,39.6,43.0,41.1,77.3,82.9,50.2,50.5,63.8,72.9,46.6,42.8,48.7,47.6,52.9,49.6,71.4,43.6,-29.2,61.0,43.099,8.7,72.222,29.5,30.811,49.3,106.4,63.6,104.6,83.0,41.0,71.0,2.7,93.4,5.797,41.8,0.027,38.0,1.0,91.7
252,Vladi Gomez,NYM,20.0,20.939,16.4,139,1.59,95.2,46.7,39.4,82.2,91.8,21.1,16.2,51.1,53.6,36.1,24.8,66.6,82.6,74.7,97.6,90.9,97.8,19.3,17.8,-19.4,82.0,27.241,75.4,86.538,92.3,18.981,92.8,100.4,22.0,94.9,15.3,9.1,9.9,0.0,30.8,9.136,95.7,0.237,99.5,0.868,71.0
253,Maikol Orozco,DET,20.0,20.947,15.8,167,0.69,36.0,46.4,39.1,35.7,29.7,82.5,87.4,72.4,87.8,77.4,95.3,54.0,57.9,42.7,31.3,20.1,16.9,80.6,48.2,-41.3,36.0,33.956,40.8,75.956,47.9,35.461,27.1,107.3,71.7,106.5,94.0,71.4,97.0,1.2,81.0,4.919,29.3,0.006,13.9,0.333,13.9
254,Luis Aguilera,DET,19.0,19.625,53.4,118,0.81,45.5,46.3,38.8,67.3,73.4,12.6,7.5,49.8,49.4,31.2,18.4,58.6,65.9,57.3,68.5,54.9,51.9,9.0,31.2,-14.4,89.4,39.171,17.4,84.615,87.0,21.596,86.7,97.4,12.6,88.4,3.6,12.5,12.6,0.0,30.8,7.193,63.8,0.034,43.5,0.8,56.8
255,Roybert Herrera,NYM,19.0,19.143,71.4,103,0.57,27.2,46.3,38.8,44.3,43.4,37.0,32.0,44.3,36.7,40.6,30.7,44.3,37.4,34.4,14.3,14.6,13.3,38.0,54.7,-35.9,45.9,32.453,48.3,80.342,67.6,34.021,34.3,102.7,35.6,99.8,41.5,20.0,21.0,0.0,30.8,2.746,8.7,0.01,17.9,0.5,19.6
256,Kleiver Chauran,TBR,20.0,20.742,21.9,225,1.2,80.2,46.2,38.4,60.4,65.5,44.1,40.8,40.0,28.1,42.0,33.7,50.2,50.0,62.2,78.0,86.2,94.6,38.9,30.4,-19.1,82.4,35.424,31.6,79.31,62.8,30.966,48.8,104.5,49.6,97.1,22.9,17.2,17.1,0.9,75.6,9.025,94.0,0.102,86.1,0.885,73.9
257,Oswaldo Osorio,LAD,21.0,21.358,10.9,98,0.52,21.5,46.1,38.0,38.2,33.9,93.3,97.1,57.0,65.9,75.2,92.1,47.6,45.2,38.1,19.4,19.2,16.4,97.4,54.2,-49.0,19.8,27.869,70.0,72.143,29.2,33.508,36.5,113.4,98.3,107.6,96.0,50.0,84.8,1.0,77.8,5.649,38.6,0.0,6.3,0.0,6.3
258,Manuel German,KCR,21.0,21.311,11.4,146,1.26,83.1,46.1,38.0,27.0,17.4,94.7,97.9,62.8,76.9,78.8,97.1,44.9,39.0,41.4,27.9,34.3,26.3,95.9,53.6,-43.8,30.0,43.226,8.2,76.056,48.6,31.159,47.8,112.0,95.9,107.6,96.0,44.8,77.1,2.1,89.9,6.087,45.7,0.014,22.5,0.667,32.7
259,Luis Frias,SFG,21.0,22.037,6.5,185,0.81,45.5,46.0,37.6,48.8,48.8,56.2,59.1,72.4,87.8,64.3,74.8,60.6,71.0,64.7,82.4,72.8,80.9,59.6,33.0,-41.1,36.4,27.54,73.4,76.214,49.5,31.788,42.9,104.2,47.8,103.9,77.3,66.7,95.4,0.0,30.8,7.973,78.0,0.086,78.3,0.8,56.8
260,Abel Lorenzo,LAD,20.0,21.018,13.5,184,1.15,76.1,46.0,37.6,15.6,5.8,91.1,95.5,60.2,73.7,75.6,93.0,37.9,24.0,48.3,46.7,69.0,76.3,97.8,55.6,-49.5,18.6,46.978,3.9,74.396,42.3,35.809,25.6,113.3,97.8,108.1,97.7,46.2,78.1,0.5,64.4,7.608,71.7,0.109,88.2,0.69,37.7
