Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
85,Gerardo Rodriguez,BOS,A+,20.0,845,,,,25,27,58.19,300,64.11,72.88,55.96,64.18,64.22,808269
85,Yeiferth Castillo,CLE,A,19.0,777,,,,,,56.01,585,65.2,74.58,53.79,60.51,64.22,821151
87,Alirio Ferrebus,PHI,A+,20.0,775,,,,16,22,60.03,158,62.26,76.27,58.96,59.87,64.2,808232
88,Kenly Hunter,STL,R,18.0,328,,,,,,62.4,57,63.39,68.38,65.33,58.79,64.13,829077
89,Alan Angulo,KC,R,18.0,341,,,,,,57.61,368,65.72,66.92,64.52,53.53,64.09,830406
89,Jesús  Báez,STL,AA,21.0,1551,,,,16,20,59.15,213,60.37,76.42,61.48,61.86,64.09,800305
91,Juan Ortuno,MIL,A,19.0,736,,,,,,59.38,203,63.03,72.31,60.52,60.51,64.06,821187
92,James Triantos,CHC,AAA,23.0,2329,,,,,,59.72,176,63.0,71.75,62.51,58.07,64.03,701649
93,Hayden Alvarez,LAA,A+,19.0,995,286.0,,,20,12,61.75,76,59.7,73.23,65.1,63.42,63.99,820986
94,Mike Sirota,LAD,AA,23.0,725,35.0,45.0,60.0,3,4,55.91,604,62.23,75.74,64.87,49.26,63.98,701527
95,Wilder Dalis,COL,A+,19.0,1085,,,,14,18,62.09,63,61.24,69.56,65.43,63.42,63.95,815195
96,Breyson Guedez,OAK,A+,18.0,696,,,,23,23,60.3,140,66.57,64.8,55.86,67.31,63.9,829052
97,Nauris De La Cruz,WSH,R,18.0,341,,,,28,30,59.45,197,66.22,66.46,59.1,58.79,63.73,832703
98,Cam Cannarella,MIA,AAA,22.0,433,208.0,,,7,8,58.91,229,55.79,83.71,61.76,62.79,63.72,703448
99,Welbyn Francisca,CLE,A+,20.0,1204,,,,16,13,61.7,79,61.38,69.36,63.5,64.6,63.7,806988
100,Hector Osorio,TEX,A+,21.0,1118,,,,,,56.43,512,60.47,80.95,62.06,48.99,63.69,800540
101,Leo Bernal,STL,AAA,22.0,1970,,,,,,59.31,206,59.98,74.06,58.67,69.28,63.68,699024
102,Francisco Perez,TEX,R,18.0,132,,,,,,56.2,553,67.4,57.51,68.7,53.64,63.61,806621
102,Dante Nori,PHI,AA,21.0,879,187.0,,,6,7,58.1,308,61.88,70.98,57.49,69.09,63.61,807276
104,Kaelen Culpepper,MIN,AAA,23.0,972,33.0,74.0,52.0,,,58.07,309,60.23,75.12,63.16,58.07,63.59,701785
105,Sebastian Blanco,COL,A,18.0,580,,,,,30,58.48,273,62.8,74.99,55.47,61.07,63.55,829949
105,Jose Riera,CLE,R,18.0,397,,,,,,57.39,394,63.42,70.08,63.89,53.53,63.55,829986
107,Santiago Almao,TEX,R,18.0,342,,,,,,59.35,205,62.95,71.5,59.91,59.05,63.5,830046
108,Roldy Brito,COL,A+,19.0,1078,162.0,,,5,4,61.41,96,56.92,79.07,62.49,63.42,63.42,821041
109,Yolfran Castillo,TEX,A,19.0,1038,,,,10,8,59.83,171,61.14,73.69,60.39,60.51,63.41,815931
110,Caden Bodine,TB,AA,22.0,517,196.0,,,14,13,55.97,592,54.92,81.71,67.2,58.16,63.4,805207
