Combined_Rank,Pos_Adj_Rank,PlayerId,Name,Pos,FantasyPos,Team,Level,Age,Last_Season,Career_PA,Total_Weighted_PA,TOOLS_Score,ABILITY_Score,Current_Score,OVR_Score,Archetype,Archetype_Adj,Combined_Score,Pos_Bonus,Pos_Adj_Score,Discipline_Flag,Career_Disc_Flag,Disc_Composite_Z,Disc_Slope,Career_K%,Career_HRFB,Career_SBTalent,Hard_Floor_Flag,Below_OVR_Floor,Age_AA_Debut,AA_PPPAZ_Combo,AgeAA_Combo_Bonus,AgeAA_Combo_Flag_Label
36,31,815931,Yolfran Castillo,SS,SS,TEX,A,19.0,2026,1078,193.21,65.3,81.38,73.34,69.34,Pure Contact,2.0,73.34,3.0,76.34,,,0.9944,-0.0194,0.14679962894248608,0.03941743970315399,0.07503153988868275,,False,,,0.0,
37,33,694991,Mitch Jebb,SS,SS,PIT,AAA,24.0,2026,1446,740.53,67.44,78.04,72.74,69.41,Pure Contact,2.0,73.07,3.0,76.07,,,1.1008,0.0032,0.1394857142857143,0.028812599681020734,0.06395071770334927,,False,23.0,0.79,0.0,
38,73,834681,Matthew Miura,OF,OF,STL,A,22.0,2026,356,80.32,67.24,79.64,73.44,68.66,Pure Contact,2.0,73.05,-2.0,71.05,,,1.4949,0.017,0.13390449438202248,0.09598876404494382,0.06552134831460674,,False,,,0.0,
39,38,808365,Dameury Pena,2B,2B,TOR,A+,20.0,2026,1178,252.16,66.61,81.5,74.06,67.69,Pure Contact,2.0,72.88,1.5,74.38,,,1.8841,-0.0073,0.06926994906621392,0.03843972835314091,0.045115534804753825,,False,,,0.0,
40,24,823787,Rainiel Rodriguez,C,C,STL,AA,19.0,2026,1059,361.64,60.01,85.23,72.62,66.87,Contact/Power,0.0,72.74,5.0,77.74,,,0.3784,-0.1331,0.20268177525967895,0.1890887629839471,0.008013031161473089,,False,19.0,1.0,3.0,Young AA Elite
41,34,815195,Wilder Dalis,SS,SS,COL,A+,19.0,2026,1137,188.79,75.86,74.35,75.1,70.2,Contact/Power,0.0,72.65,3.0,75.65,,,0.3788,-0.0833,0.20452602230483274,0.12894459102902375,0.05314925241864556,,False,,,0.0,
42,35,816113,Eli Willits,SS,SS,WSH,A+,18.0,2026,579,164.96,69.44,77.34,73.39,71.12,Speed,0.0,72.26,3.0,75.26,,,0.6915,0.0823,0.19804835924006908,0.10320552677029361,0.08636321243523316,,False,,,0.0,
43,80,691181,Emmanuel Rodriguez,CF,OF,MIN,AAA,23.0,2026,1514,783.19,83.19,67.13,75.16,75.28,Three True Outcomes,-3.0,72.22,-2.0,70.22,whiff,,-0.316,0.0067,0.29642371234207965,0.19717432052483597,0.03518575445173384,,False,21.0,1.67,0.0,
44,81,814455,Nick Mitchell,OF,OF,WSH,AA,22.0,2026,923,390.45,67.75,77.21,72.48,67.87,Pure Contact,2.0,72.18,-2.0,70.18,,,0.8931,0.0093,0.16080173347778984,0.06498483206933911,0.05289003250270855,,False,22.0,0.4,0.0,
45,82,702662,Dylan Dreiling,OF,OF,TEX,AA,23.0,2026,1103,503.52,77.88,67.68,72.78,71.31,Average,0.0,72.04,-2.0,70.04,,,0.2028,-0.0417,0.20807796917497734,0.12581504986400727,0.022045421577515868,,False,23.0,0.95,0.0,
46,45,801501,Nate Furman,2B,2B,SF,AAA,24.0,2026,1286,747.72,67.27,75.65,71.46,68.47,Pure Contact,2.0,71.96,1.5,73.46,,,1.329,-0.0077,0.13512224938875306,0.09316748166259169,0.053830073349633245,,False,22.0,0.17733333333333332,0.0,
47,27,803175,Ethan Anderson,C,C,BAL,AA,22.0,2026,802,368.5,67.06,83.74,75.4,68.39,Average,0.0,71.9,5.0,76.9,,,0.4855,-0.0497,0.1863063063063063,0.1346970074812968,0.027982668329177063,,False,21.0,-0.32,0.0,
48,63,825927,Rafe Perich,3B,3B,TEX,AA,24.0,2026,923,364.22,76.84,67.52,72.18,70.49,Contact/Power,0.0,71.34,0.5,71.84,,,0.2085,-0.041,0.21461538461538462,0.16106825568797403,0.014337378114842904,,False,24.0,1.2,0.0,
49,87,800957,Brendan Jones,CF,OF,MIA,AAA,24.0,2026,1067,572.19,65.68,81.15,73.42,69.12,Speed,0.0,71.27,-2.0,69.27,,,0.4282,-0.0876,0.2103582089552239,0.08941194029850746,0.09035512437810946,,False,23.0,1.37,0.0,
50,50,829703,Emmanuel Cedeno,2B,2B,TB,R,18.0,2026,455,45.5,81.32,64.54,72.93,69.6,,0.0,71.26,1.5,72.76,,,2.3915,-0.144,0.09204395604395603,0.023,0.05609912087912088,,False,,,0.0,
51,32,691627,Ricardo Olivar,C,C,MIN,AAA,24.0,2026,1676,641.3,59.65,87.36,73.5,68.89,Contact/Power,0.0,71.19,5.0,76.19,hard,,0.3417,0.0247,0.20311704063068522,0.12402728926622195,0.020703274711946638,,False,22.0,0.5031818181818182,0.0,
52,52,811312,Justin Riemer,2B,2B,OAK,AAA,24.0,2026,759,291.71,80.42,57.63,69.03,69.11,Pure Contact,2.0,71.07,1.5,72.57,,,1.2383,0.0712,0.17580213903743316,0.03815106951871658,0.036582620320855616,,False,23.0,0.22286713286713286,0.0,
53,41,803745,Adrian Santana,SS,SS,MIA,AA,20.0,2026,1287,403.63,56.4,85.39,70.9,67.13,Pure Contact,2.0,71.02,3.0,74.02,,,0.9508,0.0655,0.13447048611111112,0.02066122766122766,0.08656076146076147,,False,20.0,0.52,0.0,
54,42,828076,Dax Kilby,SS,SS,NYY,A,19.0,2026,245,55.05,74.45,71.21,72.83,69.12,Speed,0.0,70.97,3.0,73.97,,,1.3937,,0.14,0.08674285714285715,0.10064979591836734,,False,,,0.0,
55,98,815589,Bo Davidson,OF,OF,SF,AAA,23.0,2026,1365,678.56,60.43,82.66,71.54,70.06,Contact/Power,0.0,70.8,-2.0,68.8,,,-0.1033,-0.0154,0.2336269430051813,0.21666580310880829,0.027418134715025907,,False,22.0,0.32,0.0,
56,101,807276,Dante Nori,OF,OF,PHI,AA,21.0,2026,942,333.8,72.33,67.97,70.15,67.29,Pure Contact,2.0,70.72,-2.0,68.72,,,0.8726,-0.07,0.162,0.03884713375796178,0.0620187898089172,,False,20.0,0.08375,0.0,
57,107,702693,Jaison Chourio,OF,OF,CLE,AA,21.0,2026,1720,538.82,65.74,75.66,70.7,65.86,Pure Contact,2.0,70.28,-2.0,68.28,,,0.8334,-0.0486,0.19232558139534883,0.06354651162790699,0.05999936046511627,,False,21.0,0.5,0.0,
58,35,823779,Ryan Sprock,C,C,TOR,A+,21.0,2026,513,134.16,66.98,71.65,69.32,67.2,Pure Contact,2.0,70.26,5.0,75.26,,,1.5308,0.232,0.13584699453551913,0.12841715399610137,0.02245964912280702,,False,,,0.0,
59,47,703197,Michael Arroyo,SS,SS,SEA,AAA,21.0,2026,2157,911.98,61.93,81.81,71.87,68.4,Contact/Power,0.0,70.14,3.0,73.14,,,0.3827,0.0043,0.1953433922996878,0.12375182101977107,0.021316493236212278,,False,20.0,0.14,0.0,
59,111,702556,Austin Overn,OF,OF,TB,AA,23.0,2026,865,387.89,66.36,88.0,77.18,72.85,Three True Outcomes,-3.0,70.14,-2.0,68.14,,soft+worsening,-0.7379,-0.0968,0.2821040462427746,0.1564901734104046,0.13217768786127168,,False,22.0,1.47,0.0,
61,67,806884,Luis Escudero,2B,2B,NYY,A,20.0,2026,709,97.16,73.76,66.46,70.11,69.98,Contact/Power,0.0,70.04,1.5,71.54,,,1.466,-0.0209,0.1548660084626234,0.10182369534555714,0.07014160789844852,,False,,,0.0,
62,116,814154,Scott Bandura,OF,OF,SF,AAA,24.0,2026,1637,888.05,66.4,79.18,72.79,67.18,Speed/K-Risk,0.0,69.99,-2.0,67.99,,,-0.2383,0.055,0.24607667210440456,0.10143393148450244,0.05711598694942903,,False,23.0,0.11,0.0,
63,49,703639,Nico Perez,SS,SS,LAD,A+,21.0,2026,749,193.45,69.47,71.02,70.24,69.3,Speed,0.0,69.77,3.0,72.77,,,-0.1947,0.0193,0.24661224489795916,0.08704138851802404,0.09990013351134845,,False,,,0.0,
64,51,806965,Starlyn Caba,SS,SS,MIA,A+,20.0,2026,1108,245.3,71.37,67.19,69.28,65.92,Pure Contact,2.0,69.6,3.0,72.6,,,1.2081,-0.0752,0.16408844765342961,0.054004512635379066,0.07386624548736462,,False,,,0.0,
65,53,830398,Elaineiker Coronado,SS,SS,TOR,R,18.0,2026,377,37.7,81.41,60.61,71.01,68.04,,0.0,69.53,3.0,72.53,,,2.4675,0.089,0.10315649867374005,0.026347480106100794,0.013396551724137932,,False,,,0.0,
66,126,828519,Braylon Whitaker,OF,OF,BAL,A+,20.0,2026,438,107.48,72.69,65.16,68.92,66.0,Pure Contact,2.0,69.46,-2.0,67.46,,,1.3141,,0.14250696378830086,0.034703196347031964,0.05818493150684932,,False,,,0.0,
67,56,24388,José Rodríguez,SS,SS,PHI,AA,24.0,2025,2247,966.07,43.86,94.18,69.02,63.77,Speed,0.0,69.4,3.0,72.4,,,0.0136,0.0236,0.19103336422613532,0.10442817423540315,0.051232715477293786,,False,20.0,1.3105220883534137,3.0,Young AA Elite
68,129,694444,Tavian Josenberger,OF,OF,BAL,AA,24.0,2026,1167,555.41,73.24,68.27,70.76,67.92,Speed,0.0,69.34,-2.0,67.34,,,0.3009,-0.0609,0.219057412167952,0.07284061696658098,0.0872464438731791,,False,22.0,0.3258214285714286,0.0,
69,57,829501,Stiven Marinez,SS,SS,NYY,R,18.0,2026,455,45.5,77.03,64.4,70.72,67.87,,0.0,69.3,3.0,72.3,,,0.973,0.104,0.18153846153846154,0.07590109890109889,0.11065846153846152,,False,,,0.0,
70,40,800208,Axiel Plaz,C,C,PIT,A+,20.0,2026,1210,296.78,68.76,74.35,71.56,66.91,Power/K-Risk,0.0,69.24,5.0,74.24,,,-0.0892,0.0306,0.22661157024793388,0.2105685950413223,0.005165289256198347,,False,,,0.0,
71,132,703405,Edwin Sanchez,RF,OF,HOU,R,21.0,2026,742,74.2,74.98,67.34,71.16,67.2,,0.0,69.18,-2.0,67.18,whiff,,1.0453,0.0563,0.19398907103825136,0.11701502732240437,0.025999730458221022,,False,,,0.0,
72,60,829699,Marconi German,SS,SS,WSH,R,18.0,2026,399,39.9,76.25,64.66,70.46,67.77,,0.0,69.11,3.0,72.11,,,0.5847,-0.092,0.2233082706766917,0.19487218045112784,0.08894010025062656,,False,,,0.0,
