year,source,team_id,rank,mlb_rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
2026,PIPE,3,16,,Drue Hackenberg,P,6-2,220,R,R,2002-04-01,"Lehighton,PA",AAA,,2022-2026,2023-  2-  59-ATL,Minors,,
2026,PIPE,3,17,,Jhancarlos Lara,P,6-3,190,R,R,2003-01-15,"San Cristobal,DR",AAA,,2022-2026,,Minors,,
2026,PIPE,3,18,,Rolddy Munoz,P,6-2,183,R,R,2000-04-14,"Santo Domingo,DR",MLB,2025-2026,2019-2026,2019-  UDFA  -ATL,Minors,,
2026,PIPE,3,19,,Owen Carey,OF,6-0,185,L,L,2006-07-22,"Manchester,NH",AA,,2025-2026,2024- 15- 461-ATL,Minors,,
2026,PIPE,3,20,,Eric Hartman,OF,6-1,185,L,R,2006-06-16,"St. Albert,AB",AA,,2025-2026,2024- 20- 611-ATL,Minors,,
2026,PIPE,3,21,,Luis Guanipa,CF,5-11,188,R,R,2005-12-15,"Isla de Margarita,VZ",A+,,2023-2026,2023-  UDFA  -ATL,Minors,,
2026,PIPE,3,22,,Hayden Harris,P,6-0,186,L,L,1999-03-02,"Augusta,GA",MLB,2025-2025,2018-2026,2022-  UDFA  -ATL,Minors,,
2026,PIPE,3,23,,Landon Beidelschies,P,6-3,230,L,L,2004-03-28,"Canfield,OH",A,,2023-2026,2025-  6- 187-ATL,Minors,,
2026,PIPE,3,24,,Ethan Bagwell,P,6-4,230,R,R,2006-02-24,"Maryville,IL",A+,,2024-2026,2024-  6- 191-ATL,Minors,,
2026,PIPE,3,25,,Jose Perdomo,SS,5-11,180,R,R,2006-09-20,"Maturin,VZ",A,,2024-2026,2024-  UDFA  -ATL,IL-7,,
2026,PIPE,3,26,,Patrick Clohisy,LF-RF,5-10,190,L,L,2001-12-06,"St. Louis,MO",AAA,,2022-2026,2024- 11- 341-ATL,Minors,,
2026,PIPE,3,27,,Jose Manon,SS,6-2,165,R,R,2008-12-17,"Sabana Grande De Boya,DR",Rk,,2026-2026,,Minors,,
2026,PIPE,3,28,,Dixon Williams,2B-OF,6-2,210,L,R,2003-12-19,"Greenville,NC",A+,,2023-2026,2025-  4- 136-ATL,Minors,,
2026,PIPE,3,29,,Raudy Reyes,P,6-4,210,R,R,2008-08-22,"Santo Domingo,DR",Rk,,2025-2025,2025-  UDFA  -ATL,Minors,,
2026,PIPE,3,30,,Isaiah Drake,CF,6-0,180,L,R,2005-07-15,"Atlanta,GA",A+,,2023-2026,2023-  5- 162-ATL,IL-7,,
2026,BA,4,1,9,Samuel Basallo,C-1B,6-4,180,L,R,2004-08-13,"Santo Domingo,DR",MLB,2025-2026,2021-2026,2021-  UDFA  -BAL,IL-10,,
2026,BA,4,2,21,Dylan Beavers,RF-CF,6-5,206,L,R,2001-08-11,"San Luis Obispo,CA",MLB,2025-2026,2020-2026,2022-  1-  33-BAL,Active,,
2026,BA,4,3,72,Trey Gibson,P,6-5,240,R,R,2002-05-18,"Newport News,VA",MLB,2026-2026,2021-2026,2023-  UDFA  -BAL,Minors,,
2026,BA,4,4,86,Nate George,OF,6-0,200,R,R,2006-06-04,"Joliet,IL",A+,,2025-2026,2024- 16- 489-BAL,IL-7,,
2026,BA,4,5,95,Luis De Leon,P,6-3,168,L,L,2003-04-14,"Barahona,DR",AAA,,2022-2026,,Minors,,
2026,BA,4,6,,Ike Irish,C,6-2,201,L,R,2003-11-26,"Grand Rapids,MI",A+,,2023-2026,2025-  1-  19-BAL,IL-7,,
2026,BA,4,7,,Esteban Mejia,P,6-3,175,R,R,2007-03-07,"Villa Altagracia,DR",A,,2024-2026,2024-  UDFA  -BAL,Minors,,
2026,BA,4,8,,Enrique Bradfield,CF-LF,6-0,170,L,L,2001-12-02,"Pembroke Pines,FL",AAA,,2021-2026,2023-  1-  17-BAL,Minors,,
2026,BA,4,9,,Wehiwa Aloy,SS,6-2,200,R,R,2004-02-04,"Wailuku,HI",AA,,2023-2026,2025-  1-  31-BAL,Minors,,
2026,BA,4,10,,Braxton Bragg,P,6-2,207,R,R,2000-10-28,"Kansas City,MO",AA,,2020-2025,2023-  8- 241-BAL,IL-7,,
2026,BA,4,11,,Aron Estrada,2B,5-8,142,B,R,2005-01-13,"Caja Seca,VZ",AA,,2022-2026,2022-  UDFA  -BAL,Minors,,
2026,BA,4,12,,Boston Bateman,P,6-8,240,R,L,2005-09-20,"Henderson,NV",A+,,2025-2026,2024-  2-  52-SDN,Minors,,
2026,BA,4,13,,Nestor German,P,6-3,225,R,R,2002-02-26,"Seattle,WA",AAA,,2021-2026,2023- 11- 331-BAL,Minors,,
2026,BA,4,14,,Levi Wells,P,6-2,216,R,R,2001-09-21,"Houston,TX",AAA,,2021-2026,2023-  4- 118-BAL,IL-7,,
