Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
11,Wilyer Abreu,BOS,RF,24.0,24.268,71.4,362,1.24,88.0,77.2,94.0,70.2,75.7,77.9,83.2,60.2,64.1,69.1,84.9,65.2,71.9,64.3,73.4,62.4,61.4,-24.8,75.4,25.977,73.4,84.009,60.2,26.418,52.6,112.7,83.6,103.8,56.9,38.9,57.0,7.7,88.7,16.6,48.9,0.246,60.2,0.471,87.8,5.232,59.9,0.022,55.4,0.889,76.3
12,Vaughn Grissom,BOS,2B,22.0,22.732,91.7,466,1.16,83.8,77.0,93.4,77.9,85.8,49.5,49.8,86.0,92.7,67.8,82.6,82.0,92.0,78.3,92.2,71.0,77.2,-16.0,93.0,28.66,53.8,87.661,82.6,21.924,76.5,109.8,59.8,102.3,36.4,37.4,51.1,3.6,42.0,13.7,32.7,0.282,89.4,0.42,74.3,6.101,74.6,0.028,64.1,0.867,74.9
13,José Fermín,STL,LF,24.0,24.507,65.1,80,1.2,85.9,76.8,92.8,94.2,98.8,24.5,17.1,87.5,95.1,56.0,63.0,90.8,98.2,83.6,97.3,69.1,72.8,2.4,100.0,24.551,80.7,92.857,97.6,9.6,99.7,109.0,43.4,99.8,7.0,36.7,47.6,1.3,7.6,19.4,68.8,0.261,77.4,0.345,31.5,6.931,83.2,0.012,37.7,1.0,90.4
14,Drew Waters,KCR,LF,24.0,24.75,59.9,58,1.23,87.1,76.7,92.2,50.8,54.0,78.7,84.4,88.6,95.4,83.6,98.6,69.7,77.2,75.5,90.4,87.0,94.6,-34.5,44.6,30.709,39.1,87.143,79.8,20.184,83.8,111.8,77.7,104.3,63.5,33.3,29.7,6.9,81.2,20.5,74.6,0.301,97.4,0.487,90.8,8.53,97.2,0.034,72.8,1.0,90.4
15,Jonny DeLuca,TBR,RF,24.0,25.224,49.2,181,1.27,89.2,76.6,91.6,74.7,81.7,57.7,58.6,75.8,81.3,66.8,81.0,75.2,86.7,73.0,86.8,68.5,71.9,-21.0,85.5,29.87,45.6,92.174,96.6,18.551,91.4,110.2,65.7,102.1,32.4,30.7,16.8,5.0,59.6,24.6,88.4,0.242,55.0,0.383,55.2,6.102,74.9,0.016,45.5,1.0,90.4
16,Royce Lewis,MIN,3B,24.0,24.32,70.2,51,1.8,99.4,76.4,91.0,32.4,26.8,92.0,98.5,69.6,74.6,80.8,97.9,51.0,52.3,55.9,61.1,65.6,66.5,-41.2,27.5,29.167,50.9,82.692,50.8,33.333,16.8,111.2,72.8,106.9,90.5,48.5,90.5,9.8,96.9,30.3,98.5,0.28,88.4,0.562,97.9,4.909,51.2,0.059,91.6,0.75,52.4
17,Justin Foscue,TEX,2B,24.0,24.58,63.6,563,1.16,83.8,75.8,90.4,90.3,97.1,46.7,46.3,74.7,80.7,60.7,71.7,82.5,93.4,74.4,88.6,58.3,56.0,-9.7,96.8,25.411,77.1,91.877,96.3,17.729,93.9,109.9,61.5,103.1,48.9,34.5,34.6,3.0,33.0,23.9,86.4,0.241,53.1,0.353,36.1,5.739,70.0,0.025,60.8,0.667,35.9
18,Iván Herrera,STL,DH,23.0,23.329,87.5,375,1.12,77.2,75.7,89.8,83.0,91.7,70.9,76.5,57.8,60.7,64.4,78.6,70.4,78.7,69.0,82.6,66.1,67.1,-21.0,85.5,20.941,95.1,80.788,37.6,25.856,58.4,113.3,88.8,106.6,88.1,43.3,76.8,5.1,61.3,13.5,32.0,0.262,78.1,0.425,76.6,5.309,62.1,0.029,66.2,0.846,72.5
19,Elly De La Cruz,CIN,SS,21.0,21.717,97.6,186,1.39,93.4,75.5,89.2,32.0,26.0,92.3,98.8,51.0,51.7,71.6,88.2,41.5,35.9,53.5,56.3,77.5,85.6,-39.8,31.5,30.043,43.7,78.363,21.1,33.44,15.9,118.8,100.0,110.2,99.8,55.0,97.6,9.1,95.6,15.6,44.5,0.269,80.9,0.541,96.9,7.798,93.9,0.059,91.6,0.647,31.7
20,Elehuris Montero,0,1B,24.0,25.12,52.0,163,1.75,98.8,73.8,88.6,50.8,54.0,91.7,97.4,91.4,96.9,91.6,100.0,71.1,80.1,50.4,48.5,9.1,7.2,-25.8,70.0,35.989,17.4,91.083,94.5,26.389,52.9,114.4,95.4,107.1,91.7,41.2,67.1,7.4,87.6,32.8,99.4,0.28,88.4,0.495,92.0,2.038,9.2,0.0,9.0,0.0,9.0
21,Jordan Westburg,BAL,3B,24.0,24.613,62.5,300,1.26,88.6,73.5,88.0,49.4,50.9,78.1,83.8,57.0,58.6,67.6,82.3,53.2,56.6,59.6,65.3,72.5,80.2,-33.3,48.8,27.823,61.5,79.946,29.7,30.241,32.7,110.2,65.7,106.0,83.5,51.2,95.7,7.3,86.5,13.2,27.7,0.272,84.4,0.502,94.3,6.552,78.3,0.02,53.0,1.0,90.4
22,Christian Encarnacion-Strand,CIN,3B,23.0,23.83,80.7,315,1.37,92.2,73.4,87.1,35.4,29.7,92.4,99.1,68.7,73.7,80.6,97.4,52.0,54.1,53.3,55.4,55.7,53.3,-33.6,47.6,40.417,6.7,82.051,45.0,27.57,47.7,114.0,93.4,106.8,89.9,48.6,91.0,8.3,92.4,24.6,88.4,0.285,92.4,0.53,96.0,5.259,60.6,0.006,25.4,1.0,90.4
23,Henry Davis,PIT,C,23.0,24.025,75.2,61,1.08,70.4,73.4,87.1,74.3,80.9,80.3,87.0,76.6,82.0,78.4,95.1,75.4,87.5,74.4,88.6,72.3,79.6,-22.9,80.9,24.49,81.5,84.615,63.0,27.723,46.8,109.2,48.0,106.0,83.5,42.9,74.6,8.2,91.9,19.4,68.8,0.283,90.2,0.482,90.2,5.882,72.2,0.048,86.5,0.75,52.4
24,Davis Schneider,TOR,LF,24.0,24.676,60.9,390,1.14,80.8,73.3,86.2,74.3,80.9,78.6,84.1,62.8,68.2,70.7,87.2,68.6,75.8,62.4,70.7,50.0,49.1,-26.0,69.3,20.985,94.8,82.957,52.9,26.143,56.0,109.7,58.1,104.4,64.7,42.7,73.5,7.2,84.7,25.4,91.1,0.254,72.6,0.494,91.4,4.428,42.5,0.023,56.9,0.75,52.4
25,Curtis Mead,CHW,3B,22.0,22.927,90.8,277,1.14,80.8,73.2,85.6,75.7,82.9,59.8,62.4,82.0,89.0,70.9,87.5,78.8,89.6,67.5,79.6,44.7,37.1,-22.3,82.7,28.495,56.0,88.0,85.9,19.172,87.8,109.5,53.7,104.6,67.4,40.6,65.0,4.7,55.5,15.6,44.5,0.262,78.1,0.418,73.4,4.927,52.3,0.014,42.2,0.667,35.9
26,Wade Meckler,SFG,LF,23.0,23.441,85.6,101,1.09,72.5,73.1,85.0,84.1,93.3,34.8,34.3,79.6,84.6,57.2,65.4,81.8,91.7,83.8,98.2,87.8,95.8,-21.8,83.8,20.763,95.4,85.849,70.9,23.871,67.9,102.5,1.8,99.9,7.3,20.6,2.4,3.0,33.0,28.1,95.9,0.28,88.4,0.395,60.4,6.758,80.1,0.069,94.6,1.0,90.4
27,Ronny Mauricio,NYM,SS,22.0,22.489,93.9,526,1.14,80.8,72.5,84.4,44.8,44.3,79.3,85.9,80.2,87.2,79.8,96.0,62.5,68.7,66.3,76.6,74.0,82.6,-30.7,55.2,38.394,11.0,86.492,76.1,23.554,69.4,116.0,98.2,109.1,98.3,43.2,75.8,5.9,71.4,16.0,46.3,0.272,84.4,0.425,76.6,6.145,75.5,0.045,83.2,0.774,58.7
28,Alika Williams,PIT,SS,24.0,24.553,64.5,144,1.15,82.3,72.1,83.8,81.0,88.5,45.1,43.6,83.8,90.2,64.4,78.6,82.4,92.8,70.6,84.4,46.9,40.4,-20.2,86.4,26.923,67.0,87.582,81.7,19.13,88.4,105.9,10.4,103.1,48.9,37.5,51.8,4.2,50.2,15.0,40.7,0.274,85.9,0.402,64.4,4.178,38.2,0.02,53.0,0.75,52.4
29,Masyn Winn,STL,SS,21.0,21.528,98.5,496,1.12,77.2,71.7,83.2,66.5,70.8,39.1,37.5,78.9,83.8,59.0,68.3,72.7,82.3,76.1,91.6,82.9,90.4,-24.5,76.8,31.876,33.6,88.353,87.2,18.765,89.9,110.1,63.9,101.9,28.7,31.8,20.9,2.6,27.4,15.4,43.1,0.252,70.6,0.369,46.0,8.033,95.4,0.034,72.8,0.895,77.2
30,Brett Baty,NYM,3B,23.0,23.88,79.8,120,1.39,93.4,71.6,82.6,44.2,43.4,90.0,96.6,58.1,61.5,74.0,90.8,51.2,53.1,43.8,37.7,29.2,23.1,-35.9,39.8,27.333,65.4,78.146,19.6,32.189,23.2,112.9,85.6,107.4,93.0,57.9,99.4,9.2,96.2,17.1,52.9,0.3,96.6,0.579,98.8,2.714,15.9,0.017,48.8,0.5,23.1
31,Christopher Morel,TBR,1B,24.0,24.268,71.4,134,1.54,96.4,71.3,82.0,16.1,8.3,97.3,100.0,30.8,25.5,64.0,78.0,23.5,11.8,41.2,32.3,76.6,84.1,-48.5,15.0,33.766,23.2,72.185,5.2,36.471,8.3,114.2,94.6,109.3,98.8,54.1,97.2,11.2,98.8,25.7,92.5,0.243,56.4,0.563,98.2,7.664,91.7,0.03,68.3,0.8,64.1
32,Bo Naylor,CLE,C,23.0,23.606,83.5,264,1.11,75.4,70.3,81.4,79.2,86.9,75.8,80.1,64.2,69.7,70.0,86.2,71.7,80.7,57.1,62.9,27.9,22.2,-23.1,80.4,24.49,81.5,82.838,52.3,23.094,72.5,111.1,71.9,105.5,79.4,44.9,82.3,6.4,78.0,16.2,47.6,0.259,76.1,0.465,86.2,3.724,30.3,0.007,28.7,0.5,23.1
33,Samad Taylor,SEA,LF,24.0,25.221,49.5,406,1.16,83.8,70.2,80.8,67.4,72.5,31.8,30.3,48.6,46.9,40.2,28.1,58.0,62.7,68.3,80.5,88.9,96.4,-25.5,71.1,26.798,67.9,83.088,54.1,25.882,57.5,106.5,15.0,100.9,15.3,28.1,11.8,3.7,44.2,13.2,27.7,0.233,43.1,0.362,41.4,7.775,93.0,0.104,99.4,0.811,67.7
34,Jo Adell,LAA,RF,24.0,24.479,65.7,325,1.17,85.0,69.8,80.2,36.0,30.6,93.7,99.4,50.8,50.8,72.2,89.4,43.4,39.1,50.2,47.3,63.7,63.5,-41.0,28.0,28.871,52.9,81.414,41.3,30.565,30.6,118.4,99.7,110.2,99.8,41.8,68.7,9.2,96.2,21.1,77.5,0.246,60.2,0.467,86.9,5.088,55.4,0.027,62.6,0.9,78.4
35,Noelvi Marte,CIN,RF,21.0,21.955,96.3,167,1.08,70.4,69.4,79.6,54.6,57.2,59.7,62.1,83.4,89.9,71.6,88.2,69.0,76.1,74.4,88.6,85.1,91.6,-25.2,72.5,32.558,29.1,87.097,79.2,27.341,48.0,113.8,92.2,105.6,80.3,41.2,67.1,3.0,33.0,17.4,56.4,0.279,87.6,0.397,61.8,8.345,96.9,0.048,86.5,0.8,64.1
36,Brayan Rocchio,CLE,SS,22.0,22.71,92.0,534,1.09,72.5,69.3,79.0,76.5,84.4,28.2,22.6,72.8,78.3,50.5,50.3,74.6,85.6,75.8,91.0,78.0,86.8,-13.8,94.3,29.882,45.3,87.667,82.9,21.466,78.9,107.4,23.9,101.7,25.4,31.8,20.9,2.4,25.2,14.1,35.6,0.247,62.7,0.353,36.1,6.934,83.5,0.047,85.0,0.781,59.6
37,Miguel Vargas,CHW,3B,23.0,23.869,80.1,285,1.06,66.5,68.4,78.1,85.7,94.2,53.3,53.7,49.2,47.9,51.2,51.8,67.4,74.6,66.3,76.6,64.0,64.1,-23.9,79.4,18.182,99.1,82.682,50.3,20.675,81.3,109.4,51.2,102.6,41.9,34.1,33.0,4.2,50.2,21.7,79.7,0.238,48.2,0.39,57.6,4.71,47.4,0.028,64.1,1.0,90.4
38,Ceddanne Rafaela,BOS,CF,22.0,23.031,90.5,219,1.32,90.4,68.4,78.1,23.3,13.5,70.3,75.4,73.8,79.2,72.0,89.0,48.6,49.4,52.5,53.6,60.5,58.7,-38.3,34.9,43.232,2.8,84.549,62.4,31.767,25.1,106.4,13.8,103.9,57.6,45.7,85.0,8.7,93.4,19.7,71.6,0.273,85.3,0.473,88.5,6.736,79.8,0.027,62.6,0.545,26.6
39,Enmanuel Valdez,PIT,1B,24.0,24.756,59.6,229,1.08,70.4,68.2,77.2,82.3,90.2,65.7,68.8,56.8,58.0,61.2,72.5,69.6,76.8,62.0,70.1,47.0,41.3,-22.7,82.0,21.378,94.2,86.694,76.5,24.39,65.4,108.5,36.5,103.0,46.8,35.2,38.2,6.6,79.7,26.1,93.4,0.228,37.0,0.409,69.3,5.136,57.2,0.017,48.8,0.571,28.1
40,Joey Ortiz,MIL,SS,24.0,25.213,50.2,389,1.12,77.2,68.0,76.6,56.0,58.6,55.5,55.7,94.6,97.9,75.0,92.8,75.3,87.2,71.9,85.9,65.1,65.9,-27.2,64.7,35.68,18.3,89.738,91.7,18.663,90.8,114.9,97.2,105.3,76.6,45.6,84.6,2.1,20.8,14.0,35.2,0.301,97.4,0.413,71.7,6.453,77.4,0.028,64.1,0.733,47.0
41,Hunter Goodman,COL,C,23.0,23.978,76.1,67,2.34,100.0,67.5,76.0,16.6,8.9,91.9,98.2,79.9,85.8,85.9,99.4,48.2,48.2,35.7,21.3,10.5,10.8,-44.8,19.9,37.956,12.5,84.848,65.1,33.898,14.7,111.5,75.5,107.0,91.0,42.2,71.7,13.4,99.7,22.2,81.3,0.294,94.8,0.578,98.5,2.489,12.8,0.0,9.0,0.0,9.0
42,Mark Vientos,NYM,1B,23.0,23.803,81.7,267,1.23,87.1,66.5,75.4,43.4,41.3,91.7,97.4,54.2,54.1,73.0,90.2,48.8,50.0,35.7,21.3,9.4,8.4,-32.5,51.1,30.333,40.7,76.568,15.0,30.722,28.4,112.8,84.6,108.4,96.6,57.4,99.1,10.5,97.9,17.6,58.1,0.289,93.3,0.594,99.1,2.155,10.1,0.0,9.0,0.0,9.0
43,Yonathan Perlaza,SDP,2B,24.0,24.887,57.0,540,1.15,82.3,66.3,74.6,50.3,52.8,63.3,66.7,40.4,38.2,51.8,53.8,45.3,43.0,50.1,46.4,59.7,57.5,-29.3,61.2,29.17,50.5,79.284,25.7,32.271,22.6,110.1,63.9,104.7,68.7,38.9,57.0,5.0,59.6,19.5,70.0,0.242,55.0,0.396,61.2,5.745,70.3,0.024,58.7,0.722,44.3
44,Jorge Barrosa,ARI,CF,22.0,22.615,92.7,493,1.06,66.5,66.3,74.6,78.2,86.2,33.3,32.7,67.0,72.5,50.2,49.2,72.6,82.0,71.1,85.0,68.2,71.0,-17.2,91.7,28.357,57.8,86.122,73.7,22.286,74.9,109.1,45.1,101.2,19.4,35.6,40.4,2.2,22.3,18.4,63.5,0.246,60.2,0.358,39.8,7.085,85.6,0.03,68.3,0.682,40.1
45,Everson Pereira,TBR,RF,22.0,22.472,94.2,158,1.13,79.3,65.3,73.1,26.6,17.4,82.1,90.2,25.3,17.6,53.7,59.0,26.0,15.3,42.8,35.6,76.6,84.1,-47.4,15.9,28.418,56.6,75.688,11.6,36.42,8.6,114.5,96.2,107.1,91.7,45.8,85.6,7.0,82.4,14.6,38.7,0.23,39.0,0.44,82.6,6.837,81.7,0.025,60.8,1.0,90.4
46,Darell Hernaiz,ATH,SS,21.0,22.157,95.4,245,1.03,64.1,65.3,73.1,77.6,85.2,39.1,37.5,70.8,76.1,55.0,60.7,74.2,85.0,69.4,83.5,59.9,58.1,-12.2,95.4,30.279,41.9,87.546,81.3,19.529,86.5,112.0,80.4,105.0,72.2,40.0,62.5,1.6,12.5,10.6,13.8,0.246,60.2,0.347,33.3,5.531,65.7,0.024,58.7,0.75,52.4
47,Oswald Peraza,LAA,2B,23.0,23.291,88.1,300,1.08,70.4,65.3,73.1,49.0,49.8,59.1,61.2,56.4,57.0,57.8,66.4,52.7,55.0,61.4,68.9,78.8,88.0,-26.9,66.4,32.612,28.4,84.824,64.5,29.138,36.4,112.1,81.5,103.8,56.9,36.1,43.4,4.3,51.7,22.1,80.9,0.238,48.2,0.367,43.9,6.705,79.2,0.053,88.9,0.8,64.1
48,Wenceel Pérez,DET,RF,23.0,23.918,78.0,160,1.09,72.5,65.1,71.6,77.1,84.7,21.6,14.5,43.8,42.2,32.7,17.1,60.4,65.6,63.4,71.9,69.2,73.7,-19.3,89.1,27.749,62.4,85.454,68.7,23.616,69.1,104.8,5.5,100.4,11.8,37.3,50.2,2.5,26.5,16.9,51.2,0.213,18.8,0.326,20.9,7.169,87.2,0.038,79.0,0.545,26.6
49,Coby Mayo,BAL,3B,21.0,21.804,97.2,267,1.07,68.3,65.1,71.6,60.9,65.1,80.9,88.1,48.0,45.9,64.4,78.6,54.4,58.4,49.6,45.2,39.8,31.7,-30.7,55.2,25.323,77.4,82.353,48.8,26.906,50.2,112.0,80.4,106.1,84.9,52.5,96.6,6.4,78.0,33.5,99.7,0.237,47.2,0.418,73.4,3.338,25.1,0.004,20.4,1.0,90.4
50,Zack Gelof,ATH,3B,23.0,23.948,77.4,306,1.1,74.3,64.8,70.7,39.1,35.5,69.7,73.7,39.6,37.0,54.6,60.1,39.4,32.6,53.3,55.4,81.1,89.8,-43.1,22.8,23.697,84.4,72.995,7.6,34.924,11.9,108.2,33.0,104.0,59.0,42.7,73.5,7.2,84.7,17.9,60.2,0.253,71.6,0.474,89.1,6.808,80.4,0.065,94.0,0.8,64.1
51,Colt Keith,DET,3B,21.0,22.127,95.7,300,1.1,74.3,64.4,70.1,60.2,64.2,71.4,77.7,56.0,56.1,63.7,76.8,58.1,63.0,45.7,41.3,20.9,18.6,-27.3,63.9,28.641,54.1,82.229,47.1,25.54,60.2,110.1,63.9,104.4,64.7,40.1,63.3,5.7,67.9,23.7,85.5,0.248,64.8,0.446,83.0,3.039,20.8,0.003,19.5,0.5,23.1
52,Austin Martin,MIN,RF,24.0,24.523,64.8,250,0.97,57.2,64.1,69.5,92.6,97.9,25.4,18.5,79.5,84.1,52.4,56.3,86.0,95.4,80.8,94.6,70.2,74.9,-20.0,86.9,17.286,100.0,90.813,94.2,17.287,95.7,106.9,18.0,101.1,18.3,31.7,20.0,2.8,29.8,9.8,10.7,0.248,64.8,0.355,37.9,5.015,54.1,0.063,93.1,0.8,64.1
53,Eddys Leonard,ATL,SS,22.0,22.886,91.1,170,1.13,79.3,63.8,68.9,38.6,34.7,66.5,69.7,78.8,83.3,72.6,89.9,58.7,63.6,50.5,49.4,34.2,28.7,-32.4,51.4,35.714,18.0,85.075,66.4,29.003,37.6,111.6,76.3,105.8,82.1,39.1,58.7,3.5,40.2,20.9,76.5,0.284,91.3,0.455,85.0,3.712,30.0,0.012,37.7,0.667,35.9
54,Edouard Julien,MIN,2B,24.0,24.419,66.5,169,0.95,54.2,63.5,68.0,71.5,77.1,77.8,82.7,79.6,84.6,78.7,95.7,75.6,87.9,69.4,83.5,57.0,54.5,-31.5,53.7,18.284,98.5,87.94,85.6,22.143,75.5,112.7,83.6,105.1,73.9,41.9,70.0,7.7,88.7,8.6,7.0,0.256,73.7,0.496,92.5,4.352,41.4,0.018,50.9,1.0,90.4
55,José Tena,WSN,DH,22.0,22.53,93.6,66,1.2,85.9,63.5,68.0,30.3,23.9,77.7,82.1,57.2,59.5,67.4,82.0,43.8,40.1,36.3,22.8,21.4,19.8,-45.5,18.5,28.873,52.6,78.313,20.5,31.452,26.3,107.3,22.2,104.7,68.7,43.2,75.8,10.6,98.2,22.7,82.4,0.291,94.0,0.503,94.8,4.285,40.1,0.0,9.0,0.0,9.0
56,Endy Rodríguez,PIT,C,23.0,23.346,87.0,307,0.96,55.7,63.1,67.1,73.2,79.2,55.8,56.6,65.3,70.9,60.6,71.1,69.2,76.5,68.6,81.4,67.3,68.9,-18.9,90.2,30.084,43.1,85.373,67.9,21.96,76.1,108.9,42.2,104.8,70.0,32.0,22.3,4.6,54.7,16.4,48.3,0.247,62.7,0.395,60.4,6.449,77.1,0.013,39.5,1.0,90.4
57,Heliot Ramos,SFG,LF,23.0,24.063,74.6,262,1.1,74.3,63.0,66.2,26.8,18.5,82.1,90.2,56.0,56.1,69.0,84.3,41.4,35.5,50.3,47.9,68.2,71.0,-40.1,30.1,33.677,23.9,81.25,39.4,32.2,22.9,112.3,82.3,107.8,95.1,43.3,76.8,7.3,86.5,14.5,38.2,0.254,72.6,0.454,84.4,6.829,81.0,0.034,72.8,0.692,41.3
58,Jaylen Palmer,CHC,SS,22.0,23.165,89.6,79,1.12,77.2,63.0,66.2,29.6,23.1,79.4,86.2,21.8,14.1,50.6,50.8,25.7,14.7,39.2,27.5,66.3,67.7,-56.9,6.0,23.037,87.2,78.667,21.7,42.017,2.1,107.8,27.7,105.4,78.0,61.1,99.7,8.9,94.8,40.5,100.0,0.216,22.0,0.47,87.5,5.449,63.9,0.038,79.0,0.75,52.4
59,Rafael Marchán,PHI,C,24.0,24.594,63.0,206,1.07,68.3,62.9,65.3,82.1,89.9,28.7,23.7,93.8,97.6,61.2,72.5,87.9,96.5,68.8,82.0,30.6,24.9,-6.7,99.1,30.075,43.4,93.011,98.2,13.726,97.9,108.4,35.8,98.6,4.3,21.5,2.8,1.5,10.6,22.7,82.4,0.282,89.4,0.376,49.5,4.549,45.3,0.005,21.9,0.333,19.2
60,Sal Frelick,MIL,RF,23.0,23.447,85.3,182,0.92,52.1,62.7,64.7,96.1,99.7,17.5,8.7,86.2,93.6,51.8,53.8,91.2,99.1,83.0,96.4,66.6,68.3,-9.4,97.2,22.081,92.4,93.401,99.1,11.62,98.8,106.5,15.0,100.1,8.1,28.0,11.3,1.6,12.5,13.5,32.0,0.255,73.4,0.343,29.8,5.881,71.9,0.044,82.6,0.667,35.9
61,Nick Loftin,KCR,3B,24.0,25.013,54.7,357,1.01,62.0,62.4,64.1,75.2,82.6,62.6,65.4,86.6,94.5,74.6,91.9,80.9,90.8,64.4,74.3,31.4,27.2,-16.9,92.0,30.79,38.5,89.333,90.8,19.135,88.1,109.9,61.5,103.0,46.8,36.9,48.9,5.3,63.9,18.3,62.7,0.27,82.4,0.422,75.2,2.907,17.4,0.017,48.8,0.6,29.6
