Season,team,PA_home,PA_road,xwOBA_home,xwOBA_road,PF_xwOBA,K_pct_home,K_pct_road,PF_K
2023,LOU,2891,2984,0.33656931411804203,0.3402543681599676,98.9,0.22933241093047388,0.1933646112600536,118.6
2023,SUG,2819,2977,0.30656042446060355,0.31060211909316593,98.7,0.2621496984746364,0.23681558616056433,110.7
2023,MEM,2835,2994,0.3130402650999999,0.3186023479647735,98.3,0.20634920634920634,0.20975283901135605,98.4
2023,ABQ,3003,3126,0.32565729453453385,0.3333989770128203,97.7,0.21045621045621046,0.19833653230966092,106.1
2023,OMA,2811,2957,0.3111298040015179,0.31937861390001654,97.4,0.22696549270722163,0.22015556307067974,103.1
2023,WOR,2679,2804,0.3143730885050265,0.3241682062682634,97.0,0.24076147816349383,0.22325249643366618,107.8
2023,COL,2733,2854,0.30892224008753705,0.3207517428960292,96.3,0.23124771313574827,0.23335669236159776,99.1
2023,JAX,2674,2816,0.3101597101365289,0.32227291571651634,96.2,0.2423335826477188,0.22301136363636365,108.7
2023,SL,2709,2878,0.31214144113775966,0.32691961188307506,95.5,0.21040974529346623,0.21056289089645588,99.9
2023,ROC,2723,2927,0.299812439307133,0.3226485321502544,92.9,0.2144693352919574,0.20635462931329004,103.9
2023,CLT,2667,3000,0.2908149159565539,0.333650448676333,87.2,0.2013498312710911,0.206,97.7
2024,TAC,2751,2769,0.336984327580509,0.3039971686966488,110.9,0.2202835332606325,0.20837847598410977,105.7
2024,WOR,2797,2848,0.3359579555331765,0.30972756167186133,108.5,0.2320343224883804,0.23314606741573032,99.5
2024,TOL,2663,2741,0.3266133087080541,0.30179025094162737,108.2,0.2594817874577544,0.2801897117840204,92.6
2024,RNO,2863,2902,0.32783783633517805,0.30870993235577804,106.2,0.1830247991617185,0.2074431426602343,88.2
2024,NAS,2559,2634,0.30683902191600765,0.2900499409252408,105.8,0.23329425556858147,0.2509491268033409,93.0
2024,SUG,2582,2723,0.3195288526891729,0.3019792079425175,105.8,0.22850503485670023,0.2478883584282042,92.2
2024,SAC,2690,2744,0.3106240059359652,0.2962998206404102,104.8,0.22676579925650558,0.26749271137026237,84.8
2024,OKC,2713,2790,0.31175210558032956,0.2976930534173274,104.7,0.2296350903059344,0.23189964157706094,99.0
2024,NOR,2597,2802,0.3014603683370972,0.2901788781652462,103.9,0.27570273392375816,0.2458957887223412,112.1
2024,DUR,2699,2843,0.2895715685699122,0.2808796735666465,103.1,0.2426824749907373,0.27013717903622936,89.8
2024,SWB,2688,2807,0.3223623557379519,0.31485330783604737,102.4,0.2113095238095238,0.23049519059494122,91.7
2024,JAX,2631,2712,0.2987395041811634,0.29219910854655773,102.2,0.23033067274800456,0.26216814159292035,87.9
2024,IND,2658,2791,0.3110781463350627,0.30621903670692463,101.6,0.23175319789315274,0.23969903260480116,96.7
2024,IOW,2688,2892,0.3092597809800956,0.304551353707261,101.5,0.24441964285714285,0.2413554633471646,101.3
2024,COL,2681,2825,0.3244551205557153,0.3209719323032879,101.1,0.2174561730697501,0.25203539823008847,86.3
2024,STP,2708,2844,0.30997245538028,0.306685227930661,101.1,0.2448301329394387,0.2348804500703235,104.2
2024,OMA,2612,2681,0.3070942050164545,0.3046408342246932,100.8,0.22817764165390506,0.22044013427825437,103.5
2024,BUF,2637,2781,0.3195203164286435,0.31858877776145295,100.3,0.2317026924535457,0.21610931319669183,107.2
2024,LV,2857,3005,0.3043496724705033,0.305268224204061,99.7,0.21981099054952746,0.2372712146422629,92.6
2024,GWN,2694,2749,0.31128625581720276,0.31276387088346175,99.5,0.20378619153674832,0.22699163332120773,89.8
2024,RR,2636,2820,0.295709005599974,0.2979664291839518,99.2,0.24317147192716237,0.23652482269503547,102.8
2024,MEM,2624,2820,0.30730793092498104,0.3127506151052147,98.3,0.1871189024390244,0.19609929078014185,95.4
2024,ELP,2779,2969,0.31200825909059393,0.3204603696214559,97.4,0.18495861820798848,0.20882452004041765,88.6
2024,ROC,2679,2813,0.298031849935529,0.3072919255755672,97.0,0.23068309070548712,0.21507287593316743,107.3
2024,CLT,2552,2710,0.29017223784629204,0.30117442832463553,96.3,0.23158307210031348,0.22287822878228783,103.9
