Rank,Name,Team,Pos,Age,Report
243,Edgar Montero,SAC,SS,19.5,"40% K%, 39.8% whiff% and 26 wRC+ in 14 games at Single-A. This is why I like to have some caution on DSL repeaters. He's still tooled up and we have to give him some time to adjust, so don't want to kill him yet"
244,Luis Cova,MIA,OF,19.3,DSL repeater who is striking out a ton in the very early going of rookie ball. Let's get a bigger sample
245,Patrick Forbes,ARI,RHP,21.1,Yet to debut with a flexor strain
246,Briggs McKenzie,ATL,LHP,19.7,Yet to debut
247,Michael Oliveto,DET,C,19.3,Yet to debut with a broken toe
248,Emanuel Luna,STL,OF,17.3,DSL starts in early June. Yet to debut
249,Angel Nunez Jr.,CIN,OF,17.1,DSL starts in early June. Yet to debut
250,Elian Rosario,TEX,3B/OF,17.7,DSL starts in early June. Yet to debut
251,Tyson Hardin,MIL,RHP,24.5,"2.82 xFIP (6.66 ERA) with a 33.3/8.3 K%/BB% in 25.2 IP at Double-A. The ERA is still a tad high, but I love seeing the strikeouts against advanced competition. I've never been the high guy on Hardin and I still think he's a back end guy, but I'll give him the Milwaukee bump with the strong K/BB"
252,Bryce Mayer,HOU,RHP,24.3,"3.86 ERA with a 39.7/9.0 K%/BB% in 18.2 IP at Double-A. The Astros aren't producing the rabbits out of their hats as much of late, but Mayer is that type without nasty stuff but strong production."
253,Yhoiker Fajardo,STL,RHP,19.7,"1.46 ERA with a 33.3/2.9 K%/BB% in 24.2 IP at High-A. The stuff is still more solid than truly nasty, but no stops in the lower minors have been able to slow him down yet"
254,Matt Wilkenson,CLE,LHP,23.5,"When you don't have big stuff, it's huge to see it in the upper minors, and Wilkenson is showing it in the upper minors with a 1.14 ERA and 34.1/8.0 K%/BB% in 23.2 IP. The fastball barely gets into the low 90's but hitters struggle with it, and he has a solid slider and change. There is quite clearly mid rotation upside in here, velocity be damned"
255,Alejandro Rosario,TEX,RHP,24.4,"Finally got TJ in January 2026 when it was announced he would need it in February 2025. Better late than never I guess. He was looking like a legit top of the rotation starter when healthy, so while it seems the odds of him getting back to that aren't super high, he's worth this ranking to see what happens"
256,Aaron Watson,CIN,RHP,19.4,"Debuting him in rookie ball, and while it's not a great assignment, I don't mind letting these high school break in as easy as possible to pro ball. He also pitched well in the first game. He's an underrated arm"
257,Jose Mejia,ARI,2B/3B,20.7,"He's old for Single-A, but it's still great to see his elite plate skills transferring with a 16.3/21.2 K%/BB% and 172 wRC+ in 26 games. And he's got a good looking righty swing and there is definitely some pop in the bat with 3 homers. He's shaping up to be a really good all round hitter"
258,Tai Peete,STL,OF,20.9,"35.6% whiff% and 30.7/9.6 K%/BB% at High-A shows the hit tool risk is still likely to tank him, but the upside is showing too with 4 homers, 4 steals, and a 129 wRC+ in 23 games"
259,Slade Caldwell,ARI,OF,19.11,".139 BA with a 32% whiff% is just not going to cut it for this profile. Some of it is bad luck and he's still getting on base and running, but I don't like this start at all"
260,Khristian Curtis,PIT,RHP,23.11,4.01 xFIP (5.33 ERA) with a 33.0/7.3 K%/BB% in 25.1 IP at Double-A. He's a big dude with big stuff and a starter's pitch mix. The K/BB looks great. Pitt has another good one
261,Chase Shores,LAA,RHP,21.11,"I still lean on him ending up in the bullpen, but he's showing off his upside in a starting role with a 3.69 xFIP (5.06 ERA) and a 34.3/13.4 K%/BB% in 16 IP at High-A. He's a huge dude with huge stuff, so why not bet on the upside at this point, and he can be a potentially back end bullpen arm if he can't start"
262,Bryce Cunningham,NYY,RHP,23.4,His season is just getting started and he's pitched well in 2 outings at High-A. Just gotta wait for him to get to higher levels
263,Zach Root,LAD,LHP,22.3,He's been out after just 5 IP for reasons I am unsure of. He wasn't pitching particularly well but the stuff and looked and it's obviously only 5 IP.
264,Cam Leiter,LAD,RHP,22.3,"The Dodgers took the shoulder surgery discount on Leiter and he's looked good in 10.2 IP at Single-A with a 3.38 ERA and 42.9/9.5 K%/BB%. They are obviously going to super slow play him, and while I love the Dodgers developing him, I hate that it's impossible to crack that rotation"
265,Kelvis Salcedo,DET,RHP,20.3,"He got a late start to the season but he's ramping up now at Single-A and he's pitched really well in 2 outings. He's a ""doesn't look the part"" discount guy who I like, but man, he really doesn't look the part"
266,Yordanny Monegro,BOS,RHP,23.5,"I was ready for battle. Me against the entire prospect world. I had the baseball bat I keep next to my bed because a home intruder could never defeat a guy with a baseball bat. I had a kitchen knife. And I had a screwdriver. That's basically all the weapons I have in my house. I was ready to defend Yordanny's honor against all doubters... and then he went down with a UCL injury that required Tommy John surgery that could knock him out for all of 2026 or close to it ... No. Not like this. This is isn't how I wanted to go out. And I hate to say it, but he's not quite good enough to really take the Tommy John discount on. Hold him for free, sure. Pick him up at the end of this season or in the next off-season, sure. But this is brutal. At full health, Monegro dominated with a secondary first profile, going to his plus slider the most. He also uses a plus curve and a bat missing changeup. Off those secondaries he mixed in a mid 90's sinker and 4-seamer. The fastballs aren't as good, which is why a lot of the prospect world was out, but I mean, it surely worked at Double-A with a 2.67 ERA and 35.8/5.8 K%/BB% in 33.2 IP before going down with the injury. I was ready to bet on the unique-ish profile and bet on fastball improvement over time, but coming off Tommy John. I'm way less gung ho about it"
267,Juan Valera,BOS,RHP,19.11,"Valera would have been a Top 100 prospect if he didn't go down with another elbow injury that required Tommy John. Brutal, but unfortunately, not surprising. His upside is high enough to not completely write off, but I'm not exactly going after him"
268,LuJames Groover,ARI,3B,24.1,"The plate skills are at least plus, and he's knocking on the door of the bigs but there is just little power or speed. Solid bat is the ceiling"
269,Max Anderson,DET,2B,24.2,He went down with a quad strain early in the season and is on the rehab trail now.
270,Gabriel Gonzalez,MIN,OF,22.4,"8 homers with solid contact rates in 32 games at Triple-A. He has a .182 BA, and while lot of that seems like bad luck with a .170 BABIP, it's not all bad luck with a 31.2% Hard Hit%. He's a decent proximity bat"
271,Roc Riggio,COL,2B,23.11,".229 BA with a 31.3% K% in 27 games at Double-A. The whiff rate isn't that bad, but as an older guy at Double-A, he needs to rake, and he's not raking"
272,Brandon Compton,MIA,OF,22.6,"Hitting well at High-A but the 32.9% K% and 42.5% whiff% is just too extreme, especially in the lower minors"
273,Alex Clemmey,WSH,LHP,20.9,21.6% BB% in 19.2 IP at Double-A. Control issues are out of  ... control
274,Esteban Mejia,BAL,RHP,19.2,6.27 ERA with a 24.7% BB% in 18.2 IP at Single-A. The stuff is great but obviously he's still quite raw
275,Jurrangelo Cijntje,STL,RHP/LHP,22.11,"Not pitching well at Double-A at all. The stuff is big, but it's just not coming together in pro ball for him"
276,Ethan Frey,HOU,OF,22.1,"I'm happy I showed some restraint on Frey's 2025 pro debut with him struggling at High-A this year with a 58 wRC+ in 22 games. The hit tool and groundballs are why I was a bit cautious, and both of those things have been a problem"
277,Jake Munroe,LAA,3B,22.8,"Munroe is a guy I wrote up earlier in the season as an underrated college bat with a hit/power combo that is transferring to High-A with 4 homers, a 159 wRC+ and 17.8/12.9 K%/BB% in 23 games. I want to see what he can do when he gets the upper minors."
278,Mitch Bratt,ARI,LHP,22.1,Looking like a back end starter at Triple-A
279,Jadher Areinamo,TBR,SS/2B,22.5,"6 homers with a .172 BA in 14 games at Double-A, but the .105 BABIP points towards major poor luck"
280,Aron Estrada,BAL,2B/OF,21.3,Struggling at Double-A but he hit well there last year and want to give him some time to get hot
281,Yophery Rodriguez,BOS,OF,20.5,"Yophery was mediocre at best at High-A last year, but he was only 19 years, and now he's still age appropriate at 20, and he's ripping it up with 8 homers and a 152 wRC+ in 24 games. The 24.8/7.9 K%/BB% still shows the rawness in his game, but his value is back on the rise with a nice looking lefty swing that is made for launch"
282,Yoelin Cespedes,BOS,2B,20.8,"Cespedes was an explosion candidate in 2025, and while that didn't happen with a rough season, it's happening in 2026 with 7 homers and a 151 wRC+ in 26 games. He's definitely starting to fill out and he has a howitzer of a righty swing. The power is legit. The hit tool has turned into a risk though with a 30.4% whiff%, so he hasn't completely regained his past shine"
283,Malachi Witherspoon,DET,RHP,21.9,"Malachi looks better than his highly drafted brother, Kyson, right now with a 2.66 xFIP (4.35 ERA) and a 32.6/6.7 K%/BB% in 20.2 IP at Single-A. Granted it's at a lower level, but Malachi is a big dude with big stuff and bat missing secondaries. The control looks good right now. Encouraging start to his career"
284,Kellon Lindsey,LAD,SS,20.7,Got a late start to the season but he's back on the rehab trail in rookie ball now
285,JD Dix,ARI,2B,20.7,"71 wRC+ in 23 games at Single-A, but the 2 homers, 7 steals, and 22.0/12.8 K%/BB% all look good. He's been unlucky"
286,Hayden Alvarez,LAA,OF,19.1,"Hit tool is taking a step back with a .255 BA and 23.8% K%. The 3 homers are nice to see in 26 games, but it comes with a 54.4% GB%. As I said this off-season, I like the talent, but have zero faith in the Angels to develop it, so I can't bet too hard on it"
287,Dean Moss,TBR,OF,20,"12.9/13.9 K%/BB% with 2 homers and 5 steals in 22 games at stateside rookie. He's only hitting .235 and the 22.3% whiff% isn't as impressive as the K rate, so I'm not going to fly him up the rankings, but I think that is a strong start and that he's living up to his billing as a strong hit tool hype"
288,Jordan Yost,DET,SS,19.4,"He looked much stronger this spring already and while he hasn't done anything in 9 games at Single-A with high groundball rates, I want to give him some more time"
289,Brendan Summerhill,TBR,OF,22.6,Not even the hit tool was transferring to Single-A with a 23.5% K% and .188 BA in 11 games and then he hit the IL
290,Nestor German,BAL,RHP,24.2,"He's missing bats at Triple-A and has been solid with a 4.01 xFIP and 30.1/13.2 K%/BB%, but he looks more like a back end arm with a 92.7 MPH fastball"
291,Jose Urbina,TBR,RHP,20.6,Off to a rough start at High-A but we are still in small enough sample land where I'll give him a bigger sample
292,Miguel Mendez,SDP,RHP,23.1,He was pitching well at Double-A but hasn't pitched since April 23rd for reasons I am unsure of
293,Noble Meyer,MIA,RHP,21.4,Yet to debut with a shoulder strain
294,Boston Bateman,BAL,LHP,20.7,"4.03 xFIP (5.32 ERA) with a 28.6/9.2 K%/BB% in 22 IP at High-A. Not exactly killing it, but good enough to want to see a bigger sample"
295,Thayron Liranzo,DET,C,22.1,Got a late start to the season due to an oblique strain and hasn't done anything in 6 games at Double-A yet
296,Carson Roccaforte,KCR,OF,24.1,"As a 24 year old at Double-A with a 30.1% K%, 35% whiff%, and .243 BA, it's highly likely the hit tool is not going to be good enough to a full time MLB player, but man is his fantasy upside so fun with lift/pull (8 homers), plus speed (9 steals) and plus CF defense. I think the proximity/upside combo deserves a spot"
297,Dakota Jordan,SFG,OF,23,"34.5% K% with a 148 wRC+ in 27 games at High-A says it all. The hit tool will likely never be good enough, but if he does get there in his mid to late 20's, the upside will be high"
298,Tony Blanco Jr.,PIT,1B/DH,20.11,He's hitting .195 with a 36% whiff%. The hit tool is highly likely not to be good enough but he's such a power hitting beast I'll still give him a decent ranking
299,CJ Hughes,MIL,SS,18.8,"Off to a dominant start at stateside rookie, slashing .455/.625/.909 with 1 homer, 3 steals, and a 31.3/31.3 K%/BB% in 4 games. He was a pure projection play for Milwaukee as one of the youngest and skinniest in the draft. And of course, we love betting on Milwaukee. The biggest red flag is the 50% whiff%, but I've seen a lot of these rookie ball whiff rates (not just this season), and I'm not sure they are accurate honestly. There is something fishy about them."
300,Junior Sanchez,ARI,RHP,20.7,"Sanchez is a short righty (5'10""), which is a profile that always struggles to gain too much steam in the rankings world, and he only throws low to mid 90's, but he's dominating High-A with a 1.96 ERA and 42.9/7.1 K%/BB% in 18.1 IP. I'm not really targeting him, but his performance deserves some respect"
301,Brady Ebel,MIL,SS/3B,18.9,"He's not hitting well but the plate skills are strong, he's running, he's not hitting the ball on the ground too much and the BABIP is low. I want to give him more time. And he's only 18"
302,Darell Morel,PIT,SS,18.7,"Projectable 6'4'' uber talent who is off to a good start in stateside rookie with a 14.3/35.7% K%/BB%. The 36.8% whiff% isn't as good as the K rate, but on the other hand, the GB% is way down so far. Just a high upside kid I want to keep on an eye on at the least"
303,Kyle Lodise,CHW,SS,22.6,"It's a repeat of last year with a terrible BA despite really strong contact rates at High-A. He doesn't have big raw power and he's lifting a lot, so the low BA isn't a total aberration, but I want to give it more time to see if it stabilizes at a higher level"
304,Gabriel Rincones,PHI,OF,25.2,His season is just getting started coming off a knee issue. Rincones is a proximity power play with some impressive EV/hard hit numbers
305,Anderson De Los Santos,BAL,3B,22.4,"Anderson is a surface stat play with excellent performance at Double-A, slashing .284/.431/.568 with 5 homers, 2 steals, and a 21.6/19.6 K%/BB% in 26 games. He's not a tools guy and I don't want to bet on him being an MLB starter, but I'll put him on as a surface stats play"
306,Handelfry Encarnacion,MIL,OF,18.11,He's still 18 years old in full season ball and he's hitting bombs with 5 homers in 29 games. The 25.9% whiff% looks better than the .211 BA. He's definitely been unlucky. The lefty swing is electric. I like the start
307,James Ellwanger,MIN,RHP,22,"Big dude with big stuff who was off to a great start in 3 games at Single-A before going down with an elbow strain. Maybe with the injury he doesn't deserve to crack this list, but he would have been higher than this without the injury"
308,Tim Piasentin,TOR,3B,19.1,First few games in stateside rookie were horrific and it's a bad sign they started him there to begin with but I'll wait for a bigger sample
309,Miguel Hernandez,STL,SS,17.11,Hasn't done much in 2 games in stateside rookie
310,Ronny Munoz,MIA,SS,17.7,DSL season starting in early June
