Rank,Name,Team,Pos,Age,Report
34,Joshua Baez,STL,OF,22.1,"33.3% K% and 36.1% whiff% is a bit worrisome with his history of hit tool risk. The elite power/speed combo is shining too though with 7 homers, 6 steals, and a 53.6% Hard Hit%, so he's settling into a very high risk, high reward range rather than building on those 2025 hit tool gains."
35,Mike Sirota,LAD,OF,22.1,"LA is too stacked for their own good at Double-A with De Paula, Hope and George, so Sirota is stuck decimating High-A again (192 wRC+ in 24 games). Seeing it in the upper minors is the last step towards an explosion, but we are going to have to wait"
36,Eric Hartman,ATL,OF,19.11,"Hartman gives me shades of Jared Kelenic (when he was good in the minors), and he's performing like him in the minors too, slashing .310/.389/.630 with 8 homers, 11 steals, and a 23.9/9.7 K%/BB% in 25 games at High-A. He's still 19, and he's doing it at High-A. The 22% whiff% and 27.8% GB% is excellent. He's looking like a true stud"
37,Josuar Gonzalez,SFG,SS,18.6,Just returned from a hamstring injury and is starting in rookie ball. I can't imagine it will be long before he gets the call to full season ball if it's hitting
38,Theo Gillen,TBR,OF,20.8,"Power is exploding with 6 homers in 19 games at High-A, although the 56.8% GB% is quite high, so a bigger sample is needed to see how real it is. I've been high on Gillen since he was drafted, and obviously this is a great start"
39,Braylon Payne,MIL,OF,19.9,"The 32% whiff% is still sticking in my craw a tad, but other than that, he's destroying High=A, slashing .290/.402/.609 with 6 homers, 7 steals, and a 24.4/14.6 K%/BB% in 19 games. He's lifting more, the hit tool is taking a step forward, and keep in mind he's still just 19 years old."
40,Ethan Holliday,COL,SS,19.2,"I split the difference between panic and patience after Holliday's rough pro debut, and that turned out to be the right move as he's off to a strong start, slashing .261/.418/.493 with 4 homers, 1 steal, and a 25.3/18.7 K%/BB% in 20 games at High-A. We can heavily dial down the power meter. He looks like a good one"
41,Tyler Bremner,LAA,RHP,22,"1.08 ERA with a 39.7/7.9 K%/BB% in 16.2 IP at High-A. Other top college starters went straight to Double-A, but he's dominating the competition put in front of him"
42,Anthony Eyanson,BOS,RHP,21.7,"Once we saw the fastball tick up into the mid 90's the breakout was inevitable, and now it's here with a 0.44 ERA and 47.9/4.2 K%/BB% in 20.1 IP at High-A. This guy ripped up the SEC with high K rates even with low 90's heat, so the fastball ticking up is a big deal. Only thing stopping him from an even higher ranking is seeing it in the upper minors."
43,Eduardo Quintero,LAD,OF,20.8,Struggling at High-A with a 69 wRC+ but he's been heating up and he's already hit well at the level last year. I think it's just a slow start. I would hold steady on his value
44,JoJo Parker,TOR,SS,19.9,"Cooled off since his hot start and is now hitting .200 with a 56.9% GB% and 108 wRC+. Some of that BA is clearly bad luck, but his value is more holding steady right now than exploding"
45,Ronny Cruz,WSH,3B/SS,19.9,"Cruz gives me shades of Alfonso Soriano, and he's performing like him too, slashing .343/.436/.616 with 6 homers, 18 steals, and a 22.9/11.9 K%/BB% in 25 games split between Single--A and High-A. The 38.2% whiff% is on the concerning side, but considering the strong K rate, I don't want to overly panic on that."
46,Tate Southisene,ATL,SS,19.7,"The small sample pro debut steered us wrong in this case. He's slashing .271/.441/.479 with 4 homers, 20 steals, and a 24.4/17.3 K%/BB% in 26 games. Atlanta surprised everyone when they took him 22nd overall, and they are being proved right"
47,Alfredo Duno,CIN,C,20.4,"Mediocre at High-A with a 96 wRC+, but the 25.7% whiff% and lift/pull look good, so it's only a matter of time before he goes on a homer binge. Hold strong"
48,Ethan Salas,SDP,C,19.11,"Bouncing back after 2 down seasons as a still 19 year old at Double-A, slashing .307/.402/.573 with 5 homers, 6 steals, and a 24.1/13.8 K%/BB% in 22 games at Double-A. The back looks healthy, the glove makes him a lock to stick behind the plate, and he's back on track to be an impact fantasy catcher"
49,Ryan Sloan,SEA,RHP,20.3,"7.13 ERA with a 24.7/11.1 K%/BB% in 17.2 IP. Upper minors hitters are giving him fits. He's only 20 and the stuff is stuff excellent, so let's give him some time to get comfortable, but this obviously isn't the slicing through the minors outcome I was hoping for"
50,Nathan Flewelling,TBR,C,19.6,"In the next wave of elite catcher prospect, slashing .321/.407/.641 with 7 homers and a 24.2/12.1 K%/BB% in 22 games at High-A as a 19 year old. There is some hit tool risk with a 28.2% whiff%, but the raw power is huge and now the GB% is way down"
51,Taitn Gray,TBR,1B,18.9,"Has the look of a middle of the order masher, slashing .304/.437/.481 with 3 homers, 3 steals, and a 15.5/19.4 K%/BB% in 23 games. He's still just 18 years old and he's a 6'4'' beast."
52,Josh Hammond,KCR,SS,19.8,"Slashing .298/.396/.489 with 2 homers, 5 steals, and a 21.6/14.4 K%/BB% in 25 games at Single-A. He's the 28th overall pick, got great backfield reviews, and is now ripping up Single-A"
53,Josiah Hartshorn,CHC,OF,19.3,"He's cooling off since his hot start, but the 14.8/20.9 K%/BB%, 16.1% whiff%, and power at 6'0'', 220 pounds is still a very exciting combination."
54,Cooper Flemming,TBR,SS,19.9,"Here is what I wrote in the last Rundown about Cooper Flemming, ""Flemming has been quietly destroying Single-A. He went 3 for 3 with 2 doubles yesterday and is now slashing .361/.443/.578 with 3 homers, 5 steals, and a 14.4/11.3 K%/BB% in 21 games. This is projectable 6'3'' kid with a sweet as hell lefty swing. The hit tool is clearly transferring with a 16.5% whiff% and he's showing his athleticism too with 5 steals. The only quibble is a 55.1% GB%, but he's still knocking homers out. The hype has really started to boil over on a lot of these 19 year olds blowing up in the lower minors, but it's still relatively quiet on Flemming. If you missed out on the first wave, jump on him now."""
55,Jhonny Level,SFG,SS,19.1,"I called him Michael Arroyo 2.0 this off-season, and he continues to follow that path with him conquering Single-A with across the board destruction"
56,Elian Pena,NYM,SS,18.6,"22.4% Hard Hit% is the only thing I don't like. Plate skills, base stealing, lift/pull, and production are all there, and he's only 18, so I love the start. But that Hard Hit is very low"
57,Juneiker Caceres,CLE,OF,18.9,"I liked Caceres this off-season, gave him a strong blurb, but then got a little lukewarm with his ranking. But I'm done being lukewarm on hit tool first types, and Caceres is one of the best hit tool first types as an 18 year old in full season ball with a 9.8/15.7 K%/BB%, 2 homers, 4 steals, and a 114 wRC+ in 21 games. The power/speed combo isn't going to be huge, but the hit tool will make up for it"
58,Kendry Chourio,KCR,RHP,18.7,The K/BB King is back to work at Single-A with a 1.65 ERA and 30.6/3.2 K%/BB% in 16.1 IP
59,Ethan Conrad,CHC,OF,21.1,Yet to debut with a back injury
60,Dax Kilby,NYY,SS,19.6,Yet to debut with a hamstring injury
61,Jarlin Susana,WSH,RHP,22.1,Yet to debut after undergoing lat surgery in September and there still isn't a timetable on his return
62,Cam Caminiti,ATL,LHP,19.9,"Not dominating High-A, but pitching well with a 3.52 xFIP (4.66 ERA) and a 26.2/7.4 K%/BB% in 29 IP"
63,Spencer Jones,NYY,OF,25,"We are seeing Murakami thrive with a 43.6% whiff% (so far), so why not Jones too. Jones also has a 43.5% whiff%, and like Murakami, he smokes the ball with a 95.3 MPH EV. It's the highest risk, highest reward profile in the minors. I want to stay in on this at a reasonable ranking"
64,Lazaro Montes,SEA,OF,21.6,"7 homers with a 36.8% whiff% and 150 wRC+ in 26 games at Double-A. We've known who Montes was since before he even stepped into pro ball. Low BA, high OBP slugger"
65,Ryan Clifford,NYM,1B/OF,22.9,"We know he's a low BA, high OBP slugger but the 39.8% K% in 31 games at AAA is a bit out of control right now"
66,Xavier Neyens,HOU,SS,19.7,"The power was not oversold with 5 homers and a 153 wRC+ in 20 games at Single-A, but the strikeouts are a bit worse than optimal with a 36.3% K%. The 32.4% whiff% actually isn't that bad for this profile though, and he's walking a ton, so he's basically living up to his scouting report to a T as a low BA slugger"
67,Carlos Lagrange,NYY,RHP,22.11,"99.2 MPH fastball with a 13.1% BB% and 34% whiff%. If the control relegates him to a pen role, he can still be an elite reliever, so I wouldn't even be too upset if that happens"
68,Henry Bolte,SAC,OF,22.9,"29.6% whiff% isn't that bad, but the 4 degree launch is still super low and the 39.8% Hard Hit% isn't that great. Regardless, he's ripping up Triple-A, he's an elite pure talent, and while I don't think the Athletics are going to pull the plug on Lawrence Butler, that is a path to playing time right now"
69,James Tibbs III,LAD,OF,23.7,"He's turned himself into a low BA, high OBP slugger with a 35% whiff% and 58% Hard Hit%. He's not lifting and pulling a ton, which I don't love and who knows when/if LA ever gives him a shot. Maybe we have to wait for a trade"
70,Charles Davalan,LAD,OF,22.5,"He's a 22 year old college bat in the lower minors, so his not huge tools could play down at higher levels, but he's destroying the level he's at, slashing .296/.389/.541 with 6 homers, 5 steals, and a 10.6/9.7 K%/BB% in 25 games. The contact is elite, he's lifting, and he's running. I still fear he's a 400-500 AB guy with the Dodgers, but I want to bet on this"
71,Devin Fitz-Gerald,WSH,2B/3B/SS,20.8,"Fitz was old for rookie ball and he's not a huge tools guy, so I was reluctant to go too high this off-season, but he's proving the bat is for real at High-A, slashing .293/.435/.511 with 3 homers, 10 steals, and a 16.4/16.4 K%/BB% in 23 games. He's still not a huge tools guy, but the guy can clearly hit"
72,Bryce Rainer,DET,SS,20.1,"Rainer was who I predicted would be the #1 prospect in baseball by next off-season, and that is already a disaster with a 44% K% and 70 wRC+ in the lower minors. He's never had a pretty swing, but it's even uglier after shoulder surgery. He's still smoking the ball, so, the shoulder is still supercharged ;), but the hit tool ain't, and it's a major concern right now."
73,Liam Doyle,STL,LHP,21.11,"7.31 ERA with a 24.7/9.6 K%/BB% in 16 IP at Double-A. Kade Anderson has blown by him in the Doyle vs. Anderson debate. You have to stay patient, but the hope was that he would just overpower minor league hitters, and it's clearly not happening. That deserves a drop"
74,Jonny Farmelo,SEA,OF,21.8,"The hit tool is killing him with a .202 BA and 28.1% K%. The 27% whiff% actually isn't that bad, so there is hope. I want to give him some more time before dropping him further because the upside is still so big"
75,Steele Hall,CIN,SS,18.9,"Sent to rookie ball, and if you want to read the tea leaves, those tea leaves would say Cincy has some concerns about the hit tool. And then he went 0 for 5 with 3 K in his first game (0 for 4 with 0 K in his 2nd game). We're about to see how bad the hit tool is, but there is clearly risk here"
76,Gage Jump,SAC,LHP,23.1,"The 95.6 MPH heater looks good with a 32.8% whiff%, but the secondaries haven't been great, and the numbers aren't great either with a 5.64 ERA, 1.61 WHIP and 31.7/13.5 K%/BB% in 22.1 IP."
77,Jamie Arnold,SAC,LHP,22.1,"4.32 ERA, 1.64 WHIP with a 28.4/9.5 K%/BB% in 25 IP at Double-A. He really hasn't been that great. I'll keep his value steady for now"
78,Gage Wood,PHI,RHP,22.5,Dominating Single-A but it's silly that he's even at Single-A to begin with. Value holds steady for me rather than blowing up
79,Hagen Smith,CHW,LHP,22.8,"17% BB% at AAA and it's mostly a 2 pitch mix. It's looking very relievery right now, but it's elite reliever potential if he does up there"
80,Esmerlyn Valdez,PIT,1B/OF,22.7,"Pitt got stacked in a hurry, but there is still going to be plenty of opportunity long term, and when Valdez does get that shot, he'll be a low BA slugger"
81,Hector Rodriguez,CIN,OF,22.2,"16.5/12.0 K%/BB% with 5 homers in 33 games at Triple-A. The raw power isn't huge, but the 43.5% Hard Hit% isn't bad and all this guy has done is hit at every level"
82,Travis Sykora,WSH,RHP,22,Underwent TJ in August of 2025 and will very likely miss all of 2026
83,Jett Williams,MIL,SS/OF,22.6,"31.1% Hard Hit% at Triple-A isn't going to cut it and it's led to a 93 wRC+ in 32 games. He lift/pulls, he runs, and he gets the bat on the ball, so maybe he can be a Statcast Killa type, but I would really want to see more hard hit balls than that"
84,Cooper Pratt,MIL,SS,21.9,"84.1 MPH EV with a 87 wRC+ in 25 games at Triple-A. The plate skills are still excellent, he's good on D, and he's young and projectable, so if/when the power comes, everything else is there"
85,Aiva Arquette,MIA,SS,22.6,"Made his season debuted, played two games, and then hasn't placed since April 30th. Not sure what, if anything is going on"
86,Angel Genao,CLE,SS,21.11,"54.7% GB% and 2 steals in 24 games at Double-A still has me questioning the upside, but the 18.2/20.0 K%/BB% and 131 wRC+ shows the guy can produce with the bat. Better real life bat that fantasy, but he should be good in fantasy too"
87,Caden Scarborough,TEX,RHP,21.1,Yet to debut after undergoing surgery to remove a melanoma
88,Jefferson Rojas,CHC,SS/2B,21,"Rojas' raw and game power are both up with 4 homers and a 31.7% GB% in 18 games at Double-A. The 24.6% whiff% says to not worry about the elevated K rate, and he's hitting well at Double-A with a 136 wRC+. The only oddity is 0 steals, but his trade record says he should start running more"
89,Jacob Reimer,NYM,3B,22.2,Mediocre at Double-A but he's been heating up of late and he's already played really well at the level last year. Value holds serve
90,Michael Arroyo,SEA,2B/OF,21.6,"He's now trending towards the OF, and as a corner outfielder, it puts a ton of pressure on his bat"
91,Ike Irish,BAL,OF/C,22.5,"51.9% GB% is still on the high side for a slugging corner OF, and he's a college bat at High-A, but he's crushing the level with a 164 wRC+ in 21 games. He's living up to his 19th pick in the draft hype"
92,Arjun Nimmala,TOR,SS,20.7,"Bouncing back from the rough 2nd half at High-A in 2025 with a 132 wRC+, but the .241 BA still shows the lingering hit tool issues"
93,John Gil,ATL,SS,30,"He showed the power explosion was coming in spring, and now it's here with 4 homers and a 41.3% GB% in 25 games at High-A. The plate skills and base running are still excellent. I had him as a potential breakout this off-season and the breakout is here"
94,Robert Arias,CLE,OF,19.7,"I've been an Arias fan for a little while now, writing him up several times over the years and writing in his Top 1,000 blurb, ""Arias is a future breakout candidate who has a strong foundation of excellent contact skills, a projectable 6’1” frame, CF defense and speed."" And now that breakout is here, slashing .337/.433/.517 with 4 homers, 11 steals, and a 15.4/14.4 K%/BB% in 22 games at Single-A. The 50% GB% is still on the high side, but the power uptick is clearly here"
