Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
62,Agustín Ramírez,MIA,C,22.0,23.055,89.4,287,0.89,53.6,59.7,63.6,62.3,68.0,64.7,69.0,55.8,56.1,60.2,68.7,59.0,63.4,59.5,66.3,60.4,64.5,-29.7,67.4,28.293,51.6,84.179,66.5,24.951,65.5,112.6,89.5,106.1,86.8,40.4,65.9,4.2,54.3,18.4,62.5,0.227,45.0,0.342,42.8,4.555,44.2,0.031,68.3,0.9,75.1
63,Jorge Barrosa,ARI,CF,23.0,23.617,83.8,324,0.95,61.8,59.7,63.6,69.1,75.7,24.2,17.6,66.0,69.2,45.1,39.2,67.6,74.6,65.1,76.9,60.3,63.6,-24.7,82.0,30.832,37.5,87.43,84.1,20.548,84.4,106.0,13.9,101.0,21.8,30.8,25.1,1.5,15.5,18.8,66.5,0.229,47.9,0.318,29.0,5.298,59.1,0.036,71.3,0.75,47.0
64,Oswald Peraza,LAA,2B,24.0,24.293,75.8,404,0.94,60.4,58.4,62.4,59.3,64.3,37.4,33.5,50.1,51.4,43.8,36.5,54.7,58.1,59.7,67.5,69.7,76.9,-31.6,62.3,26.297,63.5,83.597,61.5,28.258,45.7,108.3,37.0,103.0,49.3,31.8,28.8,2.7,32.8,17.2,55.2,0.222,38.7,0.314,26.2,5.616,63.3,0.059,89.6,0.774,52.1
65,Angel Martínez,CLE,LF,22.0,22.675,92.0,244,0.92,57.7,58.4,62.4,69.8,76.2,37.5,33.7,67.8,71.0,52.6,52.7,68.8,75.7,60.4,68.0,43.5,40.8,-22.6,86.0,32.453,27.3,91.096,95.0,17.672,93.1,108.6,40.8,101.2,23.4,30.6,23.8,2.9,34.9,21.1,77.3,0.224,40.7,0.324,32.1,4.735,48.4,0.02,53.0,0.556,22.5
66,Zac Veen,COL,LF,22.0,22.801,91.8,86,1.01,70.4,58.1,61.5,25.1,15.9,58.3,59.3,29.0,24.1,43.6,36.1,27.0,17.4,43.3,35.5,75.8,83.4,-47.7,20.5,33.908,21.8,81.731,47.6,28.834,41.4,105.9,13.3,103.3,52.4,41.8,72.8,7.0,87.6,16.4,50.9,0.188,10.4,0.363,54.3,5.712,65.8,0.065,92.9,0.857,67.8
67,Ronny Simon,PIT,2B,24.0,24.454,72.8,513,0.89,53.6,57.9,60.9,63.0,69.0,49.2,47.4,62.5,64.3,55.8,60.8,62.8,67.7,63.4,74.0,64.6,70.7,-29.0,69.1,30.141,42.2,84.718,70.5,22.011,78.9,110.9,75.3,104.5,71.0,40.1,63.8,3.1,37.3,15.0,42.7,0.233,54.5,0.323,31.5,6.179,71.7,0.038,73.4,0.741,41.1
68,Jorbit Vivas,NYY,3B,23.0,23.562,84.4,421,0.87,50.6,57.5,60.1,73.6,81.8,30.1,24.6,54.4,54.5,42.2,34.5,64.0,69.2,66.6,79.0,71.9,79.3,-19.4,90.2,28.158,51.9,86.796,80.6,25.064,64.8,109.8,60.4,100.8,20.1,26.6,13.0,1.7,18.6,17.6,58.4,0.212,28.2,0.298,19.1,6.158,71.2,0.047,82.8,0.8,57.7
69,Orelvis Martinez,WSN,2B,22.0,22.864,90.8,317,0.98,65.4,57.5,60.1,34.8,29.0,96.1,100.0,65.5,68.0,80.8,95.8,50.2,50.5,37.2,23.4,11.4,8.6,-40.1,41.9,30.952,36.7,81.36,45.4,34.711,14.1,115.2,96.9,107.2,94.3,45.9,88.8,8.5,95.9,27.5,94.7,0.262,85.6,0.513,98.3,2.988,20.1,0.0,5.6,0.0,5.6
70,Luisangel Acuña,NYM,SS,22.0,22.554,93.4,581,0.85,48.2,57.0,59.2,57.8,61.5,37.9,34.5,80.1,85.4,59.0,66.0,68.9,76.1,72.9,85.8,80.7,89.1,-27.3,73.7,34.938,16.9,89.13,91.1,22.008,79.2,109.6,56.9,103.0,49.3,35.9,44.3,2.6,31.9,8.5,8.7,0.245,69.1,0.332,36.7,7.996,94.3,0.068,93.5,0.741,41.1
71,Grant McCray,SFG,CF,23.0,23.814,81.3,208,0.95,61.8,56.4,58.6,32.4,23.7,60.3,62.3,45.5,45.2,52.9,53.6,39.0,34.7,50.0,48.5,72.2,79.9,-41.9,35.6,31.786,30.5,80.071,34.5,31.34,27.0,109.6,56.9,104.7,74.6,42.7,76.6,4.8,63.6,10.9,17.4,0.234,56.5,0.383,65.8,7.6,91.4,0.038,73.4,0.727,39.6
72,Trey Sweeney,DET,SS,24.0,24.435,73.3,483,0.91,55.6,56.2,57.7,40.3,35.5,66.6,72.0,56.8,57.8,61.7,71.5,48.6,48.1,55.3,55.0,68.7,75.7,-44.3,29.7,27.738,53.8,81.803,49.1,28.046,46.7,109.9,62.3,105.7,84.5,45.5,87.7,5.2,71.5,13.9,34.5,0.241,64.5,0.373,61.4,5.709,65.5,0.041,75.7,0.833,64.2
73,Victor Scott II,STL,CF,23.0,23.63,83.3,337,0.8,42.0,56.2,57.7,82.4,90.0,21.9,15.4,55.6,55.8,38.8,27.7,69.0,76.4,74.1,88.2,84.3,92.9,-23.1,85.2,24.426,75.2,87.824,86.4,20.0,86.1,109.4,53.5,100.5,17.4,25.7,10.5,1.5,15.5,10.6,16.5,0.209,24.8,0.275,12.8,6.844,82.9,0.083,97.6,0.857,67.8
74,Vaughn Grissom,BOS,2B,23.0,23.734,82.3,233,0.87,50.6,55.8,56.8,74.2,83.7,22.7,16.4,58.7,59.8,40.7,31.4,66.4,72.6,65.6,77.5,64.0,69.5,-22.3,86.6,25.145,70.7,84.549,69.5,27.824,48.6,107.8,30.6,100.3,16.1,31.3,26.4,1.3,13.6,11.4,20.8,0.229,47.9,0.334,38.6,4.442,42.4,0.043,79.6,0.909,76.9
75,Wenceel Pérez,DET,RF,24.0,24.92,64.3,63,0.83,45.9,55.3,56.2,60.4,66.3,41.9,38.5,45.3,44.3,43.6,36.1,52.8,55.0,66.7,79.9,94.3,99.4,-34.9,53.3,26.241,64.5,87.692,85.4,23.529,72.2,102.9,3.8,101.0,21.8,42.5,75.3,4.8,63.6,27.5,94.7,0.173,5.2,0.317,28.0,9.654,99.8,0.063,91.7,1.0,89.3
76,Edgar Quero,CHW,C,21.0,21.487,98.0,110,0.94,60.4,55.1,55.6,73.7,82.3,30.0,24.3,68.8,71.8,49.4,46.7,71.2,79.4,49.0,47.9,4.6,2.1,-26.4,77.9,26.267,64.3,83.333,59.6,22.705,77.4,106.7,19.6,101.7,30.4,30.7,24.6,2.7,32.8,9.3,11.3,0.253,77.9,0.342,42.8,1.038,3.2,0.0,5.6,0.0,5.6
77,Nolan Gorman,STL,3B,24.0,24.392,74.1,98,0.97,64.2,54.5,55.0,46.3,46.4,83.6,90.6,31.6,26.8,57.6,63.5,39.0,34.7,28.5,14.2,7.6,5.3,-37.8,47.0,27.317,56.6,78.906,28.0,30.978,29.0,111.3,80.3,104.3,67.2,47.0,90.6,10.2,99.5,15.2,43.8,0.219,35.2,0.474,93.4,2.33,10.7,0.0,5.6,0.0,5.6
78,Tyler Locklear,ARI,1B,23.0,23.849,80.8,317,0.81,43.2,54.2,54.4,42.2,38.6,82.4,89.7,59.0,60.0,70.7,85.0,50.6,51.6,57.2,59.8,70.5,78.1,-36.0,50.9,31.045,36.0,83.469,60.3,30.849,30.0,113.3,91.7,107.1,93.8,40.6,67.2,6.0,80.8,18.7,65.6,0.235,57.8,0.404,75.2,6.852,83.4,0.016,42.3,1.0,89.3
79,José Tena,WSN,DH,23.0,23.532,84.8,437,0.92,57.7,54.1,53.8,24.5,15.0,76.0,82.4,53.8,53.8,64.9,76.4,39.2,35.5,45.8,40.2,59.2,61.5,-44.8,28.5,36.285,12.4,79.439,30.8,30.425,32.8,112.1,85.2,106.3,89.1,50.2,96.8,5.3,73.0,14.5,39.5,0.252,76.9,0.417,80.1,6.004,69.5,0.033,69.8,0.652,27.8
80,Mark Vientos,NYM,1B,24.0,24.805,67.6,132,1.02,72.2,54.0,53.3,30.1,21.2,76.3,83.1,35.6,32.8,56.0,61.5,32.8,24.7,26.4,11.2,13.6,11.8,-46.2,25.3,29.221,45.7,75.676,14.8,33.193,18.9,110.0,64.5,106.3,89.1,48.7,95.2,7.6,91.9,5.1,1.7,0.234,56.5,0.432,84.9,3.448,25.6,0.0,5.6,0.0,5.6
81,Kevin Alcántara,CHC,DH,21.0,22.22,95.8,148,0.92,57.7,53.8,52.7,28.5,18.6,53.4,53.2,54.5,54.8,54.0,57.2,41.5,38.7,50.8,50.6,69.4,76.3,-46.7,23.2,30.435,39.5,81.875,49.9,31.783,25.1,110.9,75.3,104.3,67.2,48.8,95.5,3.4,42.3,16.1,48.9,0.236,59.1,0.343,43.9,5.162,56.6,0.047,82.8,0.875,71.3
82,Jordan Lawlar,ARI,LF,21.0,22.207,96.0,57,1.0,68.3,53.5,52.1,42.1,38.2,22.5,16.1,59.2,60.5,40.8,31.9,50.7,52.1,45.7,39.6,35.8,27.2,-47.3,21.6,23.585,79.8,80.597,38.7,29.348,37.0,104.4,7.4,101.1,22.7,33.3,34.0,0.0,3.2,29.4,97.8,0.255,79.8,0.323,31.5,4.381,41.7,0.017,46.2,0.333,11.8
83,Jakob Marsee,MIA,CF,23.0,23.258,87.0,89,0.81,43.2,53.0,50.9,71.9,79.4,23.0,16.9,28.0,22.8,25.5,11.2,50.0,50.0,61.2,70.1,83.7,92.3,-31.5,62.5,21.635,88.8,76.991,19.6,24.051,70.2,106.6,18.0,100.7,19.0,19.3,3.8,1.1,11.8,23.0,86.5,0.22,36.4,0.296,18.5,6.092,70.5,0.075,94.7,1.0,89.3
84,Connor Norby,MIA,1B,24.0,24.312,75.3,440,0.92,57.7,53.0,50.9,29.9,20.8,59.0,60.4,48.5,49.9,53.8,56.2,39.2,35.5,48.0,44.7,65.7,72.8,-44.0,30.3,32.819,25.8,79.255,30.3,29.785,35.2,106.9,21.6,101.5,27.3,33.9,36.7,5.9,80.3,20.4,72.2,0.243,66.7,0.405,75.6,5.904,68.7,0.03,66.6,0.812,59.8
85,Jace Jung,DET,3B,23.0,23.989,79.8,415,0.85,48.2,53.0,50.9,71.4,78.2,68.8,75.2,35.6,32.8,52.2,52.2,53.5,56.8,41.2,32.0,16.6,13.0,-28.7,70.0,22.445,85.4,78.728,26.3,26.955,53.8,111.4,80.8,103.2,51.2,35.7,42.9,5.3,73.0,18.0,60.2,0.227,45.0,0.395,71.6,2.7,16.1,0.005,16.6,0.5,17.2
86,Deyvison De Los Santos,MIA,1B,21.0,21.279,98.8,419,1.01,70.4,52.6,49.7,14.5,6.7,88.3,96.3,35.9,33.7,62.1,71.7,25.2,15.0,20.2,4.7,10.3,7.7,-46.6,23.6,46.061,0.5,75.0,12.7,35.12,12.7,116.0,98.5,108.0,97.1,41.6,71.5,7.9,93.2,13.4,31.3,0.236,59.1,0.454,91.8,2.758,17.4,0.0,5.6,0.0,5.6
87,Raynel Delgado,MIL,2B,24.0,24.49,72.3,340,0.86,49.7,52.4,49.1,42.8,40.4,50.2,48.3,59.1,60.3,54.6,57.8,51.0,52.4,57.3,60.7,70.0,77.5,-38.8,44.2,30.269,41.2,82.353,54.7,28.826,41.7,108.6,40.8,102.7,45.3,32.4,30.9,3.5,44.0,21.1,77.3,0.24,63.5,0.371,59.8,5.92,69.0,0.064,92.3,0.733,40.2
88,Brennen Davis,NYY,CF,24.0,24.912,64.7,181,0.88,51.8,51.9,48.5,54.6,57.1,85.6,93.1,22.4,17.5,54.0,57.2,38.5,33.5,32.4,17.8,20.3,16.0,-33.7,56.8,23.429,80.4,71.806,6.0,36.246,10.2,113.7,92.9,104.4,69.0,45.7,88.3,6.6,84.4,29.5,98.1,0.222,38.7,0.45,90.3,3.262,23.1,0.006,19.2,0.5,17.2
89,Jacob Berry,MIA,3B,23.0,23.406,86.0,102,0.78,39.6,51.8,47.9,66.3,72.5,27.5,20.6,64.0,66.4,45.8,40.8,65.2,70.2,68.1,80.5,73.9,80.5,-26.4,77.9,31.405,34.2,89.062,90.3,20.098,85.4,106.2,15.0,102.0,35.0,43.2,79.0,2.0,24.6,14.7,40.9,0.221,37.6,0.319,29.9,6.979,84.6,0.019,50.6,1.0,89.3
90,Kyle Teel,CHW,C,22.0,22.623,92.5,123,0.79,41.1,51.4,47.3,64.3,69.9,40.2,36.8,35.8,33.4,38.0,26.3,50.0,50.0,55.7,56.2,67.0,73.4,-30.9,63.5,24.342,75.4,80.42,37.2,27.65,49.6,109.6,56.9,102.3,39.8,26.4,12.7,3.3,40.9,8.1,7.8,0.218,34.4,0.337,41.1,5.4,60.3,0.024,58.6,1.0,89.3
91,Dustin Harris,TEX,LF,24.0,25.232,58.6,557,0.83,45.9,51.3,46.7,55.4,58.7,28.8,22.8,65.6,68.4,47.2,44.4,60.5,65.0,66.0,78.1,76.9,84.6,-34.0,56.6,30.491,38.7,86.667,79.7,22.795,77.2,106.9,21.6,99.7,12.5,23.2,7.4,2.2,26.8,22.3,82.9,0.231,51.4,0.314,26.2,6.622,79.7,0.062,90.8,0.778,53.0
92,Alexander Canario,PIT,LF,24.0,24.4,73.8,282,0.92,57.7,50.8,45.9,19.8,12.5,90.2,97.8,33.0,28.8,61.6,71.1,26.4,16.6,31.1,16.0,40.4,34.9,-49.7,17.0,31.442,33.3,73.699,8.2,37.568,6.7,110.9,75.3,107.3,94.8,45.3,87.1,9.6,98.4,20.5,73.2,0.235,57.8,0.467,93.1,4.063,35.7,0.018,48.5,0.714,36.4
93,Jacob Melton,HOU,LF,23.0,24.063,78.3,191,0.81,43.2,50.8,45.9,37.4,32.5,60.2,62.0,46.2,46.4,53.2,54.3,41.8,39.5,55.5,55.6,83.0,90.8,-43.4,31.8,31.978,30.3,84.188,66.7,25.284,61.8,113.6,92.3,105.7,84.5,41.5,71.1,4.7,62.0,7.9,7.1,0.21,25.7,0.329,34.6,6.276,73.9,0.057,88.8,1.0,89.3
94,Owen Caissie,CHC,RF,21.0,22.231,95.5,545,0.83,45.9,50.6,45.0,33.6,25.4,74.6,81.6,45.9,45.4,60.2,68.7,39.8,36.6,45.1,38.8,55.8,54.4,-44.7,28.8,28.838,48.1,78.797,27.3,32.081,23.6,115.5,98.0,106.5,91.3,42.9,77.9,5.0,68.0,14.2,36.7,0.241,64.5,0.393,70.2,4.922,51.6,0.02,53.0,0.846,66.3
95,Max Muncy,ATH,3B,21.0,22.1,96.3,202,0.89,53.6,50.2,44.4,34.8,29.0,54.9,56.3,37.9,36.0,46.4,42.6,36.3,29.5,40.2,28.7,48.0,45.6,-40.7,38.7,31.735,31.3,81.277,44.4,30.749,30.5,109.5,55.5,104.4,69.0,40.3,65.1,4.0,50.7,17.6,58.4,0.215,31.4,0.352,47.5,5.066,54.6,0.02,53.0,0.667,30.5
96,Everson Pereira,TBR,RF,23.0,23.474,85.5,182,0.88,51.8,50.0,43.8,18.8,11.7,80.2,86.2,33.0,28.8,56.6,62.0,25.9,16.1,38.0,25.4,62.1,66.9,-56.0,9.4,29.282,45.2,70.563,3.7,41.246,2.7,109.9,62.3,106.1,86.8,41.7,72.1,7.7,92.4,12.6,27.4,0.239,62.2,0.481,94.5,6.542,77.9,0.027,62.4,0.714,36.4
97,George Valera,CLE,LF,23.0,23.88,80.5,374,0.78,39.6,49.4,43.2,52.4,54.8,80.5,86.6,36.3,34.0,58.4,64.8,44.3,41.7,42.2,33.1,37.9,29.6,-42.0,34.9,21.916,88.3,80.335,36.2,28.682,42.4,113.1,91.1,105.6,83.4,45.1,85.9,6.4,82.8,20.7,74.7,0.22,36.4,0.389,68.0,3.573,28.3,0.016,42.3,0.75,47.0
98,Bryan Ramos,CHW,3B,22.0,22.554,93.4,279,0.77,37.9,49.3,42.6,56.8,60.4,62.2,65.5,56.2,56.7,59.2,66.7,56.5,60.3,50.8,50.6,39.3,32.5,-33.0,59.1,25.17,70.2,79.143,29.0,30.723,31.0,110.0,64.5,102.7,45.3,37.4,52.6,5.0,68.0,16.0,48.1,0.26,83.3,0.397,72.3,3.732,30.0,0.022,56.2,0.667,30.5
99,JT Schwartz,NYM,1B,24.0,24.789,68.3,178,0.79,41.1,49.1,42.0,58.8,63.5,45.5,43.4,62.6,64.5,54.0,57.2,60.7,65.8,56.7,58.0,48.7,46.7,-27.0,75.2,36.74,10.4,89.574,92.3,18.605,90.6,108.4,38.1,102.0,35.0,35.1,41.2,3.9,49.1,15.8,46.5,0.216,32.9,0.363,54.3,4.357,41.2,0.011,28.4,1.0,89.3
100,Carlos Rodríguez,ATL,RF,23.0,23.814,81.3,128,0.72,32.5,49.0,41.4,93.9,98.3,6.9,2.0,83.9,89.1,45.4,39.6,88.9,96.8,72.4,85.2,39.3,32.5,-3.9,99.3,23.108,82.1,92.073,97.3,12.613,98.3,104.5,8.1,97.2,1.6,16.0,1.7,0.0,3.2,7.0,5.1,0.246,70.6,0.294,17.9,4.876,50.5,0.016,42.3,0.5,17.2
101,Moisés Ballesteros,CHC,C,20.0,20.895,99.3,285,0.82,44.4,48.2,40.8,44.4,42.7,76.1,82.8,72.0,75.7,74.0,88.8,58.2,62.3,40.5,30.5,5.0,3.0,-34.1,56.2,35.852,13.6,83.721,62.5,25.397,61.0,109.9,62.3,104.5,71.0,37.8,54.1,6.3,82.1,20.9,76.3,0.258,81.5,0.42,81.9,1.252,4.2,0.0,5.6,0.0,5.6
102,Tristan Peters,TBR,CF,24.0,24.586,71.3,475,0.78,39.6,48.0,40.2,71.4,78.2,37.6,34.0,27.6,22.3,32.6,18.4,49.5,49.4,48.4,46.2,46.2,43.2,-26.8,76.1,25.239,69.7,79.872,33.4,25.281,62.0,108.2,35.9,100.3,16.1,23.5,7.9,3.2,39.2,25.9,92.4,0.204,21.7,0.317,28.0,5.475,61.5,0.017,46.2,0.533,21.9
103,Jordan Walker,STL,RF,22.0,22.36,94.8,377,0.75,35.5,47.8,39.6,46.8,46.7,78.9,84.6,66.0,69.2,72.4,87.6,56.4,60.0,47.6,42.6,29.9,20.7,-30.6,64.9,35.532,14.4,84.163,66.3,27.479,50.4,113.3,91.7,107.3,94.8,44.1,82.5,6.9,86.4,12.5,26.3,0.242,65.8,0.385,66.7,4.038,34.7,0.011,28.4,0.571,24.3
104,Trey Lipscomb,WSN,3B,24.0,24.296,75.6,264,0.85,48.2,47.2,39.1,46.2,46.2,32.0,27.0,62.8,64.8,47.4,45.2,54.5,57.8,50.4,49.7,42.1,38.2,-29.5,68.1,39.442,5.7,83.281,58.8,27.184,52.4,109.3,51.1,100.9,21.1,31.6,27.5,2.3,28.4,11.1,18.9,0.243,66.7,0.334,38.6,3.753,30.3,0.03,66.6,0.615,26.6
105,Victor Mesa Jr.,MIA,RF,22.0,23.061,89.0,351,0.85,48.2,46.7,38.5,38.5,33.6,51.1,50.2,37.3,35.2,44.2,37.5,37.9,32.6,38.1,26.0,38.5,30.2,-36.1,50.6,36.377,11.7,79.794,32.0,27.838,48.4,108.8,43.2,104.2,65.8,33.2,32.6,3.7,46.8,20.7,74.7,0.225,42.6,0.336,40.4,4.371,41.4,0.014,36.7,0.714,36.4
106,Alex Freeland,LAD,2B,22.0,23.102,88.3,163,0.67,29.3,46.3,37.9,61.5,67.0,57.4,58.3,48.2,49.4,52.8,53.2,54.8,58.4,52.4,52.7,47.4,45.0,-42.3,34.0,18.75,97.8,81.773,48.4,22.932,75.9,106.5,16.9,103.9,62.5,45.5,87.7,5.5,75.9,12.0,23.7,0.229,47.9,0.395,71.6,4.053,35.0,0.012,31.7,1.0,89.3
107,Brett Johnson,0,OF,24.0,24.734,69.1,92,0.83,45.9,45.7,37.3,52.2,54.1,41.0,37.7,17.8,13.0,29.4,14.8,35.0,27.8,37.4,24.3,42.1,38.2,-41.2,37.3,20.426,93.1,78.992,28.5,31.138,28.3,105.7,12.3,103.4,54.1,36.7,49.1,4.3,56.5,14.3,37.7,0.181,7.2,0.317,28.0,6.035,69.7,0.011,28.4,0.5,17.2
108,Christian Cairo,CLE,SS,23.0,23.305,86.8,248,0.67,29.3,44.9,36.7,70.7,77.2,18.0,11.9,23.7,18.7,20.8,7.7,47.2,46.2,56.4,57.4,74.8,81.7,-30.7,64.3,20.513,92.3,80.769,39.7,26.884,54.3,106.0,13.9,99.1,8.7,26.2,11.9,2.0,24.6,14.0,35.5,0.183,7.6,0.267,9.8,7.027,85.1,0.047,82.8,0.75,47.0
109,Thomas Saggese,STL,LF,22.0,22.475,94.5,524,0.77,37.9,44.8,36.1,35.4,30.4,53.7,53.7,57.4,58.3,55.6,59.7,46.4,45.5,47.5,42.0,49.7,48.8,-40.3,40.7,38.774,6.7,82.181,52.6,24.953,65.3,108.2,35.9,103.1,50.4,36.5,47.6,4.0,50.7,21.3,78.8,0.239,62.2,0.381,64.6,5.517,62.8,0.017,46.2,0.692,33.7
110,Livan Soto,BAL,SS,24.0,24.274,76.1,353,0.75,35.5,44.6,35.2,73.9,83.1,16.3,9.7,78.4,83.7,47.4,45.2,76.2,84.6,58.6,63.0,23.6,17.2,-21.9,86.8,28.944,47.6,86.842,81.1,21.829,80.9,102.8,3.2,97.6,3.5,20.0,4.6,1.1,11.8,15.5,44.9,0.251,75.8,0.325,32.6,2.851,18.9,0.011,28.4,0.571,24.3
111,José Devers,0,SS,24.0,24.816,67.3,207,0.69,30.5,44.6,35.2,54.8,57.6,38.3,34.7,76.8,81.5,57.6,63.5,65.8,71.8,62.6,73.4,56.1,55.0,-26.6,77.2,39.54,5.3,85.305,73.7,23.503,73.0,110.4,70.5,101.0,21.8,30.1,22.8,1.9,22.6,16.0,48.1,0.255,79.8,0.353,48.6,6.563,78.7,0.014,36.7,0.75,47.0
112,Graham Pauley,MIA,3B,23.0,24.016,78.8,319,0.77,37.9,44.5,34.3,64.3,69.9,36.6,32.3,53.4,53.6,45.0,38.8,58.8,63.0,46.3,40.8,21.1,16.6,-30.1,66.0,27.66,54.1,85.864,76.9,23.05,75.4,109.3,51.1,102.1,36.6,38.2,57.1,1.9,22.6,21.7,80.0,0.214,30.0,0.315,26.9,3.295,23.6,0.009,24.0,0.429,13.0
113,Jordan Groshans,KCR,SS,24.0,24.89,65.3,63,0.6,21.6,44.3,33.7,87.8,95.0,54.6,55.6,73.3,78.2,64.0,74.9,80.6,91.1,56.9,59.2,9.7,6.5,-25.5,80.1,19.008,96.8,88.75,88.8,17.476,93.3,108.8,43.2,104.3,67.2,54.3,97.9,4.8,63.6,8.7,9.1,0.235,57.8,0.371,59.8,2.698,15.9,0.0,5.6,0.0,5.6
114,Colby Thomas,ATH,RF,23.0,23.677,83.0,314,0.89,53.6,44.2,33.1,12.4,4.8,72.9,79.5,24.0,19.2,48.4,46.2,18.2,8.4,22.9,5.9,32.2,23.7,-53.3,12.9,37.134,9.4,76.995,19.9,33.883,15.6,110.0,64.5,106.4,90.6,36.6,48.5,5.1,70.1,30.5,98.8,0.212,28.2,0.366,56.3,4.706,47.4,0.01,25.4,0.5,17.2
115,Liover Peguero,PIT,SS,23.0,23.748,82.0,552,0.76,36.7,43.2,32.5,35.3,30.0,47.8,46.2,34.8,31.8,41.3,33.0,35.0,27.8,44.7,37.0,63.9,68.3,-42.1,34.5,29.369,44.9,78.088,24.6,32.107,23.1,109.3,51.1,103.5,55.8,36.6,48.5,3.4,42.3,17.4,56.9,0.227,45.0,0.342,42.8,5.903,68.5,0.025,60.1,0.824,61.8
116,Drew Gilbert,SFG,CF,23.0,24.008,79.2,245,0.74,34.3,43.0,32.0,64.8,70.8,34.2,30.5,38.7,36.5,36.4,23.6,51.8,53.1,44.7,37.0,30.5,21.3,-29.8,67.0,25.63,67.0,82.353,54.7,26.521,56.1,106.6,18.0,100.8,20.1,26.1,11.5,2.9,34.9,26.7,93.3,0.205,22.6,0.319,29.9,2.868,19.1,0.012,31.7,0.75,47.0
117,Malcom Nuñez,PIT,1B,23.0,23.562,84.4,526,0.66,28.1,42.0,31.4,54.2,56.6,54.3,55.0,66.0,69.2,60.2,68.7,60.1,64.5,48.6,46.7,25.7,17.8,-33.0,59.1,30.187,41.4,83.765,63.0,25.375,61.3,115.6,98.3,102.8,46.7,38.9,60.3,3.2,39.2,18.3,61.9,0.245,69.1,0.349,46.3,2.813,18.1,0.006,19.2,0.75,47.0
118,Spencer Torkelson,DET,1B,24.0,25.098,60.1,274,0.72,32.5,41.4,30.8,44.8,44.0,72.9,79.5,20.8,16.0,46.8,43.3,32.8,24.7,33.3,18.9,34.4,26.0,-47.0,22.2,18.899,97.0,77.841,23.3,32.15,22.8,110.8,73.8,105.5,82.5,41.7,72.1,5.1,70.1,24.0,88.0,0.201,18.4,0.372,60.7,2.824,18.4,0.004,13.6,1.0,89.3
119,Nathan Hickey,BOS,C,24.0,24.854,66.8,365,0.64,26.0,41.2,30.2,42.5,39.0,73.0,79.9,33.1,29.7,53.0,54.0,37.8,32.3,42.3,33.7,51.3,49.7,-46.5,24.2,21.494,89.3,77.885,23.6,33.499,17.9,109.7,58.6,104.8,75.9,46.6,90.3,5.5,75.9,21.6,79.7,0.225,42.6,0.399,74.1,4.711,47.6,0.011,28.4,1.0,89.3
120,Justyn-Henry Malloy,DET,RF,24.0,24.613,70.6,236,0.73,33.7,41.1,29.6,58.5,62.7,45.1,42.6,37.7,35.7,41.4,33.5,48.1,47.6,38.8,26.6,20.2,15.4,-37.8,47.0,19.45,95.0,79.861,32.8,30.457,32.3,107.0,22.8,101.8,31.8,33.3,34.0,4.2,54.3,18.7,65.6,0.225,42.6,0.354,49.6,2.312,10.2,0.013,33.7,0.5,17.2
121,Marco Luciano,SFG,SS,22.0,23.055,89.4,383,0.61,22.8,40.7,29.0,58.0,61.8,64.3,68.4,39.6,38.2,52.0,51.7,48.8,48.4,41.4,32.5,26.6,19.5,-37.1,48.6,20.36,93.3,78.151,24.8,31.05,28.8,110.1,66.5,106.4,90.6,47.9,93.1,4.7,62.0,12.6,27.4,0.233,54.5,0.373,61.4,3.651,29.0,0.01,25.4,0.571,24.3
122,BJ Murray Jr.,CHC,3B,24.0,24.736,68.8,353,0.63,24.9,40.4,28.4,58.7,63.3,29.3,23.3,42.0,40.2,35.6,23.0,50.4,51.0,53.8,53.3,60.6,65.1,-34.6,54.6,24.684,73.2,82.791,57.1,28.0,47.1,107.7,28.9,102.1,36.6,34.0,37.1,2.3,28.4,14.4,38.8,0.211,26.8,0.299,19.9,4.702,47.1,0.028,64.5,0.909,76.9
123,Yunior Severino,0,1B,24.0,24.994,62.6,564,0.72,32.5,40.3,27.8,31.1,22.3,72.6,78.5,34.8,31.8,53.7,55.8,33.0,25.7,36.2,22.5,42.6,39.1,-42.9,32.3,30.31,40.9,77.143,21.6,35.039,13.2,113.5,92.1,105.2,78.9,42.2,74.1,5.5,75.9,12.3,25.3,0.229,47.9,0.389,68.0,3.84,31.8,0.007,21.6,1.0,89.3
124,Grant Lavigne,0,1B,24.0,25.095,60.3,523,0.64,26.0,39.9,27.2,47.0,47.0,65.3,69.6,28.8,23.6,47.0,43.8,37.9,32.6,40.3,29.6,45.2,42.0,-41.0,37.8,23.241,81.9,76.627,18.1,33.511,17.5,110.8,73.8,104.5,71.0,40.1,63.8,4.8,63.6,18.1,60.7,0.223,39.6,0.368,58.2,5.307,59.3,0.017,46.2,0.529,21.3
