PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
4138,453646,2006,Carlos Villanueva,MIL,AAA,Pacific Coast League,22,11,9,66.33333333333333,20,61,26,0,6,42,2,263,7,1,0,0,0,0,1,0,2
6457,456585,2006,Michael O'Connor,WSH,AAA,Pacific Coast League,25,6,6,26.333333333333332,8,28,11,1,2,21,2,109,1,0,0,0,0,0,0,0,0
5508,445968,2006,Dana Eveland,MIL,AAA,Pacific Coast League,22,20,19,105.0,32,110,41,1,4,71,9,428,6,5,0,1,0,1,0,0,1
4798,475022,2006,Craig Hansen,BOS,AAA,International League,22,14,4,36.0,11,26,19,0,0,31,0,152,1,2,0,0,2,0,0,0,2
4770,434480,2006,Darrell Rasner,NYY,AAA,International League,25,10,10,58.666666666666664,18,47,11,0,4,60,1,242,4,0,0,0,0,0,0,0,0
2091,425564,2006,Francisco Del Rosario,TOR,AAA,International League,25,14,8,42.0,13,50,13,0,2,29,5,168,0,3,1,1,1,0,0,0,2
4655,434642,2006,Mark McLemore,HOU,AAA,Pacific Coast League,25,21,9,57.666666666666664,18,52,38,0,5,48,6,261,2,3,0,0,2,0,0,0,0
2141,429780,2006,Chris Narveson,STL,AAA,Pacific Coast League,24,15,15,80.0,25,58,33,2,9,70,2,332,8,5,0,0,0,0,0,0,3
2159,425818,2006,Boof Bonser,MIN,AAA,International League,24,14,14,86.33333333333333,27,83,35,0,4,68,3,361,6,4,0,0,0,0,0,0,0
3193,435261,2006,Zach Miner,DET,AAA,International League,24,9,9,51.0,16,40,21,0,2,43,0,206,6,0,0,0,0,0,1,0,1
5561,457458,2006,Ty Taubenheim,TOR,AAA,International League,23,18,14,75.66666666666667,24,48,18,0,9,75,3,310,2,4,0,0,1,0,0,0,4
3158,408069,2006,Erick Threets,SF,AAA,Pacific Coast League,24,49,0,62.666666666666664,20,51,44,0,4,51,5,284,2,1,0,2,4,2,0,0,7
6485,451216,2006,Brian Wilson,SF,AAA,Pacific Coast League,24,24,0,28.0,9,30,14,0,2,20,1,115,1,3,7,9,1,2,0,0,0
461361,461361,2006,Matt Yourkin,MIA,AAA,Pacific Coast League,24,12,0,18.333333333333332,6,20,3,0,3,22,2,77,0,0,0,0,2,0,0,0,4
1670,425662,2006,Matt Roney,OAK,AAA,Pacific Coast League,26,47,0,58.0,19,65,19,1,4,58,4,251,4,3,6,9,9,3,0,0,0
4361,444518,2006,Chris Demaria,MIL,AAA,Pacific Coast League,25,38,0,51.666666666666664,17,50,17,0,4,48,2,218,4,0,1,2,7,1,0,0,2
3396,457495,2006,Heath Phillips,CWS,AAA,International League,24,25,24,155.0,51,102,39,2,12,152,5,633,13,5,0,0,1,0,2,0,2
4350,429721,2006,Royce Ring,NYM,AAA,International League,25,36,0,39.333333333333336,13,40,15,2,2,30,3,165,2,2,11,13,0,2,0,0,1
