key_mlbam,key_fangraphs
113009,1002945
448210,
671280,
451407,
688135,
823818,
569624,
437557,
150277,1244
450788,
436874,
496068,
469696,
115458,1005346
680436,
803849,
676758,
115855,1005735
533219,
690180,
833439,
809679,
455965,
679004,
441265,
467145,
565097,
110066,1000064
830626,
656431,
444304,
121865,1011613
475968,
123891,1013582
449623,
444580,
650497,
110850,1000827
608779,
531565,
456235,
444533,
450388,
114489,1004403
469650,
518477,
645570,
643585,
831543,
455995,
595035,
642383,
806626,
593732,
641044,
650541,
821626,
451578,
670183,27583
562164,
275933,773
816950,
680819,
443004,
686199,
811686,
669333,
502055,9494
452075,7705
122561,1012303
571692,
443131,
696140,
118732,1008548
808251,
112303,1002250
443121,
516537,
115052,1004956
443358,
701730,
458719,
447880,
460600,
683544,
703715,
471188,
112818,1002759
563209,
670155,
519201,
465311,
454913,
111295,1001257
503441,
676095,
558498,
488681,629
692479,
453417,
474034,
692026,
118759,1008575
488972,
437226,
443533,
675253,
686122,
676575,
669039,
570647,
439952,
111271,1001233
644662,
438011,
607180,
649132,
115646,1005531
452469,
475671,
806030,
691559,
821878,
123869,1013556
114878,1004790
489558,
822111,
117450,1007292
622469,
499868,
606151,
593376,
467480,
801596,
617178,
475905,
567272,
557488,
596823,
474869,
447436,
700344,
532327,
430898,2388
444282,
444131,
446288,
457534,
822828,
816298,
467126,
664144,
120406,1010180
124010,1013704
692823,
439337,
831271,
113784,774
458532,
501656,
700165,
687184,
818074,
606242,
446773,
443763,
116410,1006281
439511,
689596,
443580,
825760,
123361,1013083
690194,
702755,
830965,
119499,1009307
806264,
613568,
677951,25764
439814,
838468,
437664,
819692,
606269,
694793,
492705,
476704,4418
115069,1004975
683575,
695637,
678652,
113092,1003032
440014,
808837,
562018,
117470,1007314
623408,
112736,52
607313,
442649,
826448,
804042,
623520,14593
811162,
458366,
806282,
113536,1003471
444973,
657687,
693711,
687590,
477458,
502011,10500
437527,
500753,
546093,
827500,
673958,
566705,
436282,
503034,
559408,
806281,
502283,
469911,
694500,
449922,
119577,1009400
679563,24388
816999,
808268,
451744,
804651,
542522,
442735,
665994,
529797,
124292,1013980
830715,
115861,1005741
555239,
556979,
467178,
469253,
437553,
116244,1006118
804000,
118849,1008663
543943,
623192,
641697,
702956,
118965,1008777
804756,
701411,
664110,
687553,
653980,
567528,
443641,
703075,
445500,
517432,
440746,
460106,
689070,
461450,
605513,16207
435359,
609413,
449833,
503562,
122628,1012371
488974,
445653,
805967,
446661,
122716,1012460
828702,
556083,
826466,
456747,
451833,
112029,1001994
643220,
120349,1010121
122124,1011865
572810,9261
441149,
600883,
692702,
475009,
559212,
800725,
543914,
572819,
118108,1007940
110648,1000630
671968,
542520,
694426,
501526,
445495,
121191,1010945
626562,
276376,828
835068,
113372,1003306
814340,
681505,
439870,
446162,
657542,
458668,9187
499832,
492472,
471428,
814136,
521889,
564902,
116965,1006820
657504,
680421,
681596,
683383,
122615,1012359
699808,
688904,
118385,1008205
556998,
557981,
534587,
608385,13590
829938,
809649,
457047,
642651,
124742,1014417
817004,
566723,
690819,
664781,
817366,
440578,
448590,8278
116871,1006726
571431,9393
408212,2184
817743,
566106,
695700,
621485,
800677,
687280,
564003,
821759,
456034,3184
124747,1014422
804696,
824997,
816716,
530698,
694680,
530510,
821354,
117918,1007755
809856,
444478,
113145,1003087
115263,387
446674,
455863,
542542,
441399,
446570,
542541,
440238,
471604,
457870,
830381,
592642,
113097,1003034
218595,1329
541646,
115726,1005612
518390,
566281,
519136,
835220,
678081,
119551,1009359
581387,
667725,22092
501169,
567633,
642000,
115542,1005401
655676,
441631,
522548,
656116,
830470,
668213,
832182,
817083,
802531,
692133,
827369,
454666,
528656,
439505,
439745,
621550,13602
560362,
683277,
473601,
543340,3658
453476,
824573,
824035,
607271,
838299,
824720,
113225,1003162
502205,10053
112682,132
684949,
820101,
118281,1008104
534052,
666189,
557170,
685046,
500045,
121364,1011112
805068,
435888,
116050,1005927
561061,
670690,
668952,25867
825293,
670087,19192
692493,
606134,
461332,
122444,1012190
808924,
611713,
557358,
112690,952
808265,
555775,
838154,
120387,1010163
686153,
466907,
111595,1001562
111167,1001138
800884,
519059,
594512,
658426,
830571,
802952,
657037,
676858,
682652,
566499,
656781,
802510,
833511,
449109,
673164,
543166,
450598,
440808,
666622,21896
813400,
437942,
475048,
554350,
689600,
696286,
661553,
121754,1011503
502139,3219
656436,
813770,
581435,
472223,
801314,
447015,
476364,
113642,1003570
443593,
112296,1002244
111774,1001732
112830,1002771
518460,
434623,3369
801386,
667926,
699244,
813610,
448266,
117511,1007357
822824,
676979,27463
568277,
702767,
532133,
464196,
836323,
438404,
687255,
113641,1003579
640838,
593452,
685386,
465584,
445681,
435775,
685622,
607492,
801924,
452274,
439965,
673280,
435984,
470545,
651010,
804806,
516542,
811170,
469443,
501687,8651
567189,
500218,
684818,
431229,
453964,
693080,
566361,
802066,
564755,
607333,12384
695766,
425513,2081
595441,12240
657615,
808683,
822949,
681639,
593411,
809069,
703141,
438014,
828107,
670552,
454407,
441942,
807239,
115379,1005271
679057,
823895,
452215,6601
800018,
696521,
683819,
457566,6282
460713,
682787,
608072,
440904,
114466,1004381
490163,
819022,
592329,12143
622015,
447461,
672886,
828598,
445243,
120632,1010401
592169,17237
627500,15524
688534,
454979,
111605,1001519
694644,
622440,
446105,
558946,
828403,
547312,
607287,
683107,
803641,
838710,
472983,
565643,
693258,
695153,
680426,
448335,
685960,
814215,
605676,
425428,1827
808390,
118371,1008161
683465,
835054,
822966,
571602,7226
621404,
443328,
520688,
835211,
833253,
470250,
817435,
804613,
111922,1001875
438458,
464633,
556095,
692416,
691332,
572802,
458248,
643227,
592487,
690776,
437956,
448677,
446116,
818696,
439910,
449854,
681945,
446652,
489425,
119131,1008872
833504,
804234,
493076,
442445,
669011,
676928,
119929,1009722
808206,
830034,
438778,
831134,
545831,
533118,
818005,
518451,
832230,
565184,
542693,
830685,
458509,
699299,
622430,
440227,
682726,
694713,
687931,31676
560796,
477037,
684597,
695614,
838043,
809730,
447769,
452643,
450654,
119639,1009437
554799,
543507,6398
472376,
456885,
833466,
628312,
683338,
476965,
545636,
801109,
453050,
669093,22210
804115,
827515,
120060,1009842
821099,
448329,
114396,1004312
575629,
690061,
445927,
528464,
678602,
678511,
693450,
506687,
833545,
465471,
816656,
445796,
819277,
606624,
467078,
451713,8760
120809,1010574
801896,
806028,
518684,
656309,
824727,
557009,
805221,
807774,
514639,9651
448466,
501981,9112
838229,
805004,
471021,
448623,
123980,1013672
115009,1004914
438470,
667372,
501519,
123391,1013113
439756,
439299,
683363,
456204,
443385,
460687,
437529,
528721,
457413,
118271,1008094
437211,
122119,1011861
441929,
829342,
455656,
572095,
669305,
829919,
466714,
123504,1013220
543112,
830910,
703242,
822651,
827422,
809700,
445915,
448792,
437661,
607950,
816526,
674677,
822327,
675807,
818243,
660764,
807180,
690117,
641880,
689043,
450399,
461242,
823266,
817665,
805215,
518463,
438286,
818572,
461437,
838985,
806348,
838287,
804962,
831720,
693226,
118254,1008079
474235,
813719,
450115,
115119,1005023
466569,
569478,
681590,
578910,
699069,
453748,
665002,
458122,
803164,
121256,1011009
558535,
689746,
568090,
461791,2790
465882,
801852,
607661,
594526,
830399,
118162,1007988
452928,
455349,
828148,
699121,
459986,
472555,
504330,
702563,
665626,
664640,
655671,
439468,
424725,1568
570151,
441634,
461839,
824596,
441175,
453460,
443426,
824455,
441171,
595918,11467
461500,
609172,
571918,13325
686444,
663362,25550
438581,
815156,
111614,1001574
501509,
133222,1010534
441844,
118668,1008485
800669,
569339,
438190,
663680,
621137,
679655,
594824,10951
818159,
506877,
661420,
437340,
693697,
493729,
488869,
608622,
679206,
449842,
117936,
693860,
123884,1013578
568276,
660442,
831092,
683814,
110685,1000665
688256,
442788,
457987,
820382,
663858,
595280,
838646,
837565,
689513,
817266,
119431,1009237
695279,
698815,
655321,
835319,
455007,
668059,
822297,
455539,
113550,1003485
813935,
118365,1086
467887,
681925,
820233,
831718,
691865,
490993,
438065,
469620,
518754,
454398,
571981,
665783,
830583,
531031,
559871,
831726,
466071,
703641,
121117,72
607356,
575589,
699384,
465595,
121457,1011202
692225,33644
528144,
684578,
504076,
822829,
452871,
608382,
446547,
622460,
683442,
593958,13164
672390,
453167,
667650,
123221,1012949
