PlayerId,MLBAM_ID,Season,Level,Name,Chase%,Z-Contact%,PullAir%,Whiff%,OutsidePitches,OutsideSwings,InZonePitches,InZoneSwings,InZoneContacts,BattedBalls,AirBalls,PullAirBalls,TotalPitches,SwStr,Games
668876,668876,2026,AAA,Zach Humphreys,0.4,1.0,0.5,0.2,10,4,3,1,1,2,1,1,13,1,1
26106,668974,2026,AAA,Maverick Handley,0.091,1.0,1.0,0.0,11,1,5,3,3,1,1,1,16,0,1
22197,669004,2026,AAA,MJ Melendez,0.25,0.833,0.0,0.167,24,6,22,12,10,3,2,0,46,3,2
22209,669087,2026,AAA,Sam Huff,0.2,0.667,0.0,0.429,5,1,8,6,4,3,1,0,13,3,1
22232,669200,2026,AAA,Mason McCoy,0.111,0.909,0.25,0.133,36,4,26,11,10,4,2,1,62,2,3
29547,669208,2026,AAA,Ryan Bliss,0.25,1.0,0.333,0.214,16,4,15,10,10,6,3,2,31,3,2
19294,669256,2026,AAA,Nick Solak,0.125,0.857,0.167,0.1,24,3,19,7,6,6,3,1,43,1,3
22244,669261,2026,AAA,Jack Suwinski,0.182,0.875,0.0,0.1,11,2,13,8,7,4,1,0,24,1,2
19997,669289,2026,AAA,Santiago Espinal,0.15,0.846,0.286,0.188,20,3,22,13,11,7,2,2,42,3,2
669360,669360,2026,AAA,Trei Cruz,0.389,0.846,0.333,0.3,18,7,18,13,11,6,2,2,36,6,2
20002,669369,2026,AAA,Bryce Johnson,0.2,0.75,0.0,0.25,20,4,27,12,9,4,2,0,47,4,3
669384,669384,2026,AAA,Raynel Delgado,0.4,0.857,0.0,0.273,10,4,11,7,6,2,0,0,21,3,1
669386,669386,2026,AAA,Trevor Hauver,0.125,0.8,0.0,0.333,8,1,8,5,4,1,0,0,16,2,1
27573,669398,2026,AAA,Gage Workman,0.417,0.778,0.0,0.429,12,5,17,9,7,3,2,0,29,6,2
669413,669413,2026,AAA,Frainyer Chavez,0.125,0.75,0.333,0.2,8,1,10,4,3,3,1,1,18,1,2
25844,669722,2026,AAA,Logan Davidson,0.636,0.833,0.25,0.385,11,7,7,6,5,4,1,1,18,5,2
19562,670097,2026,AAA,Zack Short,0.05,0.818,0.0,0.25,20,1,15,11,9,3,1,0,35,3,2
20017,670156,2026,AAA,Miles Mastrobuoni,0.0,1.0,0.0,0.0,4,0,7,5,5,2,1,0,11,0,1
670232,670232,2026,AAA,Ramón Rodríguez,0.538,1.0,0.0,0.154,13,7,8,6,6,3,1,0,21,2,2
26466,670242,2026,AAA,Matt Wallner,0.267,0.545,0.0,0.533,15,4,13,11,6,2,0,0,28,8,2
22411,670276,2026,AAA,Cal Stevenson,0.0,0.5,,0.5,7,0,8,2,1,0,0,0,15,1,1
29912,671117,2026,AAA,Darren Baker,0.333,0.5,0.0,0.5,6,2,10,6,3,1,0,0,16,4,1
20505,671221,2026,AAA,Drew Waters,0.273,1.0,0.0,0.333,11,3,8,3,3,1,0,0,19,2,1
22530,671286,2026,AAA,Johnathan Rodríguez,0.0,1.0,0.5,0.0,3,0,6,3,3,2,1,1,9,0,1
22532,671289,2026,AAA,Tyler Freeman,0.235,1.0,0.0,0.0,17,4,11,5,5,3,1,0,28,0,2
29949,672012,2026,AAA,Tyler Black,0.385,0.889,0.0,0.143,13,5,15,9,8,5,1,0,28,2,2
22557,672279,2026,AAA,Michael Siani,0.4,1.0,0.333,0.286,10,4,5,3,3,3,2,1,15,2,1
22558,672284,2026,AAA,Jarred Kelenic,0.15,0.5,0.333,0.538,20,3,23,10,5,3,1,1,43,7,2
27599,674441,2026,AAA,Jacob Hurtubise,0.0,1.0,0.0,0.0,5,0,7,2,2,1,0,0,12,0,1
675085,675085,2026,AAA,Jonathon Long,0.357,1.0,0.0,0.25,14,5,10,3,3,2,0,0,24,2,1
675394,675394,2026,AAA,Johnny Olmstead,0.385,0.8,0.333,0.267,13,5,17,10,8,6,2,2,30,4,2
675455,675455,2026,AAA,Milan Tolentino,0.455,1.0,0.0,0.125,11,5,5,3,3,3,1,0,16,1,1
23250,675915,2026,AAA,David Bañuelos,0.429,0.5,0.0,0.583,14,6,8,6,3,2,0,0,22,7,1
23312,676116,2026,AAA,Ryan Noda,0.375,0.636,0.5,0.412,16,6,14,11,7,4,3,2,30,7,2
676203,676203,2026,AAA,Marcos Castañon,0.333,0.846,0.0,0.273,27,9,18,13,11,5,1,0,45,6,3
676205,676205,2026,AAA,Tyler Hardman,0.333,0.571,0.0,0.5,21,7,12,7,4,3,1,0,33,7,2
676566,676566,2026,AAA,Shawn Ross,0.333,0.4,,0.75,9,3,7,5,2,0,0,0,16,6,1
23395,676572,2026,AAA,Eric Wagaman,0.3,0.8,0.333,0.375,10,3,10,5,4,3,2,1,20,3,2
20054,676632,2026,AAA,Bligh Madris,0.316,1.0,0.0,0.308,19,6,14,7,7,5,1,0,33,4,2
19599,676801,2026,AAA,Chas McCormick,0.0,0.889,0.25,0.111,8,0,14,9,8,4,2,1,22,1,2
29614,677060,2026,AAA,Chad Stevens,0.375,1.0,0.0,0.133,8,3,18,12,12,2,1,0,26,2,2
677565,677565,2026,AAA,Kristian Robinson,0.167,0.917,0.0,0.143,12,2,15,12,11,4,2,0,27,2,2
677578,677578,2026,AAA,Carlos Rodríguez,0.364,0.875,0.0,0.312,22,8,13,8,7,4,0,0,35,5,2
23695,677592,2026,AAA,Everson Pereira,0.222,0.667,,0.25,9,2,8,6,4,0,0,0,17,2,1
677601,677601,2026,AAA,Keyber Rodriguez,0.5,,0.0,0.0,2,1,6,0,0,1,0,0,8,0,2
23792,677950,2026,AAA,Alek Thomas,0.111,0.833,0.0,0.375,18,2,20,6,5,1,1,0,38,3,2
23794,677954,2026,AAA,Jordan Groshans,0.267,0.875,0.6,0.167,15,4,15,8,7,5,4,3,30,2,2
678173,678173,2026,AAA,David McCabe,0.25,0.556,0.5,0.429,20,5,18,9,5,2,1,1,38,6,2
678577,678577,2026,AAA,Junior Perez,0.111,1.0,0.5,0.143,9,1,11,6,6,2,1,1,20,1,1
678636,678636,2026,AAA,Orlando Martinez,0.455,1.0,0.25,0.182,11,5,10,6,6,4,3,1,21,2,2
678760,678760,2026,AAA,Eddys Leonard,0.478,0.833,0.0,0.235,23,11,14,6,5,3,0,0,37,4,2
24273,678894,2026,AAA,Liover Peguero,0.273,0.857,0.0,0.2,11,3,12,7,6,5,0,0,23,2,2
680519,680519,2026,AAA,Mario Camilletti,0.222,1.0,0.5,0.0,9,2,7,3,3,2,2,1,16,0,1
680636,680636,2026,AAA,Ramon Mendoza,0.364,1.0,0.0,0.167,11,4,6,2,2,1,0,0,17,1,1
24597,680716,2026,AAA,Jonathan Ornelas,0.167,1.0,0.0,0.111,18,3,16,6,6,1,0,0,34,1,2
29554,680728,2026,AAA,Adrian Del Castillo,0.286,0.875,0.6,0.286,21,6,19,8,7,5,3,3,40,4,2
24605,680737,2026,AAA,Michael Helman,0.263,0.833,0.333,0.176,19,5,23,12,10,3,1,1,42,3,2
24622,680837,2026,AAA,Ryan Fitzgerald,0.188,1.0,0.25,0.273,16,3,10,8,8,4,3,1,26,3,2
24641,680862,2026,AAA,Willie MacIver,0.333,0.667,0.0,0.6,6,2,5,3,2,2,1,0,11,3,1
24655,680911,2026,AAA,Owen Miller,0.286,1.0,0.2,0.0,14,4,9,5,5,5,3,1,23,0,2
680994,680994,2026,AAA,Nick Biddison,0.429,1.0,0.333,0.182,14,6,12,5,5,6,2,2,26,2,2
680996,680996,2026,AAA,Luke Mann,0.077,0.625,0.5,0.444,13,1,18,8,5,2,1,1,31,4,2
681036,681036,2026,AAA,Anthony Vilar,0.091,1.0,1.0,0.25,11,1,8,3,3,1,1,1,19,1,2
681047,681047,2026,AAA,Christian Franklin,0.0,0.8,0.0,0.2,9,0,9,5,4,2,1,0,18,1,1
681123,681123,2026,AAA,Luca Tresh,0.438,0.667,0.0,0.385,16,7,11,6,4,2,0,0,27,5,2
681132,681132,2026,AAA,Max Ferguson,0.0,0.75,0.0,0.25,11,0,8,4,3,1,0,0,19,1,1
24703,681146,2026,AAA,Jonah Bride,0.5,1.0,0.0,0.286,10,5,6,2,2,1,0,0,16,2,1
681230,681230,2026,AAA,BJ Murray Jr.,0.417,0.667,0.5,0.273,24,10,17,12,8,2,2,1,41,6,2
681333,681333,2026,AAA,Dru Baker,0.5,0.667,,0.6,4,2,6,3,2,0,0,0,10,3,1
24729,681351,2026,AAA,Logan O'Hoppe,0.214,0.857,0.25,0.3,14,3,13,7,6,4,2,1,27,3,2
681357,681357,2026,AAA,Cody Morissette,0.167,1.0,0.0,0.0,6,1,6,2,2,3,1,0,12,0,1
