Season,Name,Team,Level,Age,wRC+,BB/K,wOBA,SwStr%,HR/FB,K%,GB/FB,ISO,PA,BB/K,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
2026,"Gabriel Gonzalez","MIN","AAA",22,86.07759089807561,0.421875,0.3278334817026004,0.10760034,0.148648648,0.195121951,1.405405405,0.172881356,328,0.421875,"28833","sa3015723","Gabriel Gonzalez",694224,8
2026,"Esmerlyn Valdez","PIT","AAA",22,138.09336882054527,0.803921568,0.4014363100257101,0.11983471,0.25,0.215189873,1.173076923,0.270833333,237,0.803921568,"29005","sa3015768","Esmerlyn Valdez",699013,27
2026,"Pedro Ramirez","CHC","AAA",22,136.3021762345836,0.65625,0.4114112233378224,0.06184211,0.214285714,0.163265306,1.428571428,0.235294118,196,0.65625,"29218","sa3015834","Pedro Ramirez",699393,17
2026,"Cam Cauley","TEX","AAA",23,100.7348965334767,0.616438356,0.35566867646214534,0.10790274,0.105263157,0.212827988,1.210526315,0.144827586,343,0.616438356,"29710","sa3017167","Cam Cauley",695508,13
2026,"Max Muncy","OAK","AAA",23,166.4564987521623,0.1,0.4832063396771749,0.16666667,0.428571428,0.333333333,0.857142857,0.407407407,30,0.1,"29779","sa3017290","Max Muncy",691777,10
2026,"Joe Mack","MIA","AAA",23,114.74967158002252,0.909090909,0.3596864255886633,0.11494253,0.136363636,0.213592233,1.09090909,0.134146341,103,0.909090909,"29780","sa3017374","Joe Mack",691788,20
2026,"Kahlil Watson","CLE","AAA",23,124.76033801879349,0.52112676,0.38115294500598756,0.12618596,0.214285714,0.279527559,1.053571428,0.235849056,254,0.52112676,"29905","sa3017513","Kahlil Watson",696135,5
2026,"Edwin Arroyo","CIN","AAA",22,142.28862673266744,0.428571428,0.409725947635164,0.10213777,0.171875,0.168,0.921875,0.239631336,250,0.428571428,"29957","sa3017626","Edwin Arroyo",695490,18
2026,"Harry Ford","WSN","AAA",23,87.60006856198521,0.629032258,0.32454274531103605,0.10174717,0.075,0.264957264,1.275,0.094736842,234,0.629032258,"29958","sa3017627","Harry Ford",695670,24
2026,"Jordan Lawlar","ARI","CPX",23,146.7380603709768,1,0.4569275975227356,0.06122449,0,0.166666666,1,0.125,12,1,"29976","sa3017662","Jordan Lawlar",691783,15
2026,"Jordan Lawlar","ARI","AAA",23,44.49323180601827,0.285714285,0.28507955696271814,0.1547619,0,0.304347826,0.428571428,0.2,23,0.285714285,"29976","sa3017662","Jordan Lawlar",691783,15
2026,"Brady House","WSN","AAA",23,101.93840011574946,0.23076923,0.3472392187928254,0.14938489,0.173913043,0.245283018,2.217391304,0.141891892,159,0.23076923,"29993","sa3017694","Brady House",691781,24
2026,"Carson Williams","TBR","AAA",23,101.02969359129568,0.345238095,0.3492679227990794,0.15823367,0.186440677,0.303249097,0.915254237,0.195918367,277,0.345238095,"30038","sa3017795","Carson Williams",700246,12
2026,"Hao-Yu  Lee","DET","AAA",23,98.98272353859493,0.461538461,0.3335961954934256,0.07172996,0.176470588,0.206349206,1.058823529,0.196428571,63,0.461538461,"30080","sa3017863","Hao-Yu  Lee",701678,6
2026,"Hao-Yu  Lee","DET","A",23,73.53980444692307,0.5,0.3019166837135951,0.04166667,0,0.166666666,0.6,0,12,0.5,"30080","sa3017863","Hao-Yu  Lee",701678,6
2026,"Luis Lara","MIL","AAA",21,143.30279187436656,1.125,0.4082162284363083,0.05086013,0.130434782,0.138728323,1.652173913,0.149825784,346,1.125,"30675","sa3018514","Luis Lara",800325,23
2026,"Jimmy Crooks","STL","AAA",24,150.5534669421455,0.576923076,0.4252616160256522,0.11952191,0.448275862,0.29378531,1.172413793,0.304964539,177,0.576923076,"31354","sa3019841","Jimmy Crooks",699625,28
2026,"Henry Bolte","OAK","AAA",22,153.69654330622745,0.435897435,0.46261334857024716,0.12376238,0.444444444,0.220338983,2.518518518,0.310126583,177,0.435897435,"31448","sa3020006","Henry Bolte",703607,10
2026,"Alex Freeland","LAD","AAA",24,127.54475433548478,0.5,0.3981266108426181,0.10697674,0.307692307,0.218181818,0.923076923,0.326530612,55,0.5,"31665","sa3020653","Alex Freeland",690976,22
2026,"Dylan Beavers","BAL","AA",24,22.2045062683357,4,0.2247025599846473,0.03448276,0,0,1.25,0,13,4,"31695","sa3019983","Dylan Beavers",687637,2
2026,"Dylan Beavers","BAL","AAA",24,-27.02944971201183,0.5,0.13833488523960114,0.08571429,0,0.166666666,2,0,12,0.5,"31695","sa3019983","Dylan Beavers",687637,2
2026,"Nacho Alvarez Jr.","ATL","AAA",23,81.38168653252261,0.7,0.3104627025978906,0.06437768,0.044444444,0.177514792,0.888888888,0.090277777,169,0.7,"31765","sa3019905","Nacho Alvarez Jr.",805373,16
2026,"Jackson Holliday","BAL","AA",22,64.90819721880679,1.333333333,0.2921133279800415,0.07142857,0,0.3,1,0,10,1.333333333,"31781","sa3020241","Jackson Holliday",702616,2
2026,"Jackson Holliday","BAL","AAA",22,48.2821111006292,0.3,0.2575472801020651,0.11152416,0.1,0.298507462,1.8,0.116666667,67,0.3,"31781","sa3020241","Jackson Holliday",702616,2
2026,"Nick Morabito","NYM","AAA",23,108.93529822888534,0.461538461,0.36304552769809034,0.08671875,0.191489361,0.23853211,2.191489361,0.154676259,327,0.461538461,"32119","sa3020418","Nick Morabito",703492,25
2026,"Jacob Gonzalez","CHW","AAA",24,166.53143972015334,0.673469387,0.4624397676374953,0.08870116,0.301587301,0.205882352,0.809523809,0.351758794,238,0.673469387,"33225","sa3022498","Jacob Gonzalez",694378,4
2026,"Cole Carrigg","COL","AAA",24,129.33104894718198,0.692307692,0.4216702142730355,0.09703779,0.117647058,0.151750972,1.803921568,0.191111111,257,0.692307692,"33253","sa3022596","Cole Carrigg",694249,19
2026,"Jacob Wilson","OAK","AAA",24,53.51767044778008,2,0.30093702872594197,0.01923077,0,0,0.571428571,0.083333334,15,2,"33266","sa3022538","Jacob Wilson",805779,10
2026,"Jonah Cox","SFG","AA",24,186.77415771295694,0.516129032,0.47083529080758546,0.10201149,0.136363636,0.169398907,1.363636363,0.24375,183,0.516129032,"33270","sa3022541","Jonah Cox",813841,30
