Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Theo Hardy,TEX,815152.0,sa3025187,24.0,8760,80,69,0.0,0.0,0.0,0.072463768,1,0.0,28,10.0,35.0,42.960197718248864,0.275,0.2568657783013356,0.0,34.33734939759036,76.76767676767676,17.081851,45.394736842105274,71.73913043478261,37.22627737226277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16326530612245,60.0,12.5,27.500000000000004,0.0,6.322333988627628,0.40839802008122206,0.0051049752510152,7.7221746664846815,2026,AA
Colby Shade,MIA,694974.0,sa3023374,24.0,8760,80,68,0.0,0.0,0.0,0.19117647,3,0.0,18,11.25,22.5,110.33419593915168,0.291666666,0.3530301794409752,0.0,32.09876543209877,80.95238095238095,11.111111,46.357615894039725,60.0,25.373134328358212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384615384616,27.0833333,35.4166666,37.5,0.0,7.0923913,2.527914890088141,0.0315989361261017,21.28523280178964,2026,AA
Guy Lipscomb,CLE,805865.0,sa3020764,25.0,9125,79,66,0.0,0.0,0.0,0.075757576,0,0.0,13,13.9240506,16.4556962,96.31592915048378,0.314814814,0.3239176517877823,0.0,27.810650887573967,93.26923076923076,7.028753999999998,48.159509202454,66.2420382165605,16.19718309859155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0175438596491215,50.0,28.846153800000003,21.153846100000006,0.0,6.278575153403453,0.0315503403544425,0.0003993713968916,17.286116418906165,2026,AA
Yoeilin Cespedes,BOS,806985.0,sa3021085,20.0,7300,79,74,0.0,0.0,0.0,0.135135135,2,0.0,21,5.063291100000002,26.5822784,33.96658389301291,0.21568627399999998,0.2348205936260712,0.0,41.66666666666667,82.65306122448979,17.482517,45.45454545454545,75.38461538461539,30.67484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9622641509434,38.461538399999995,46.1538461,15.384615300000002,0.0,4.164821312062797,0.0626071384176611,0.0007924954230083,10.4418855837751,2026,AA
Drake Logan,CHW,805763.0,sa3019936,25.0,9125,77,69,0.0,0.0,0.0,0.188405798,3,0.0,32,7.7922077000000005,41.5584415,91.68737636992073,0.382352941,0.3207220466513383,0.0,34.104046242774565,66.66666666666666,20.209059,45.9375,63.265306122448976,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39024390243902,35.29411760000001,41.1764705,23.5294117,0.0,5.287474593986377,0.3926970362663269,0.0050999615099522,7.6896921049082065,2026,AA
Aeverson Arteaga,SFG,692348.0,sa3014707,23.0,8395,77,66,0.0,0.0,0.0,0.181818182,2,0.0,22,7.7922077000000005,28.571428499999996,139.03325044797782,0.441860465,0.3950258171872088,0.0,44.97041420118343,80.85106382978722,19.148936,43.66666666666666,71.7557251908397,34.810126582278485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.775510204081634,26.666666600000003,35.55555550000001,37.7777777,0.0,7.868818462737491,0.1127240164205432,0.0014639482652018,19.81119077261863,2026,AA
Shawn Ross,PIT,676566.0,sa3020951,26.0,9490,77,57,0.0,0.0,0.0,0.403508772,7,0.0,29,23.376623300000002,37.6623376,157.0420328612609,0.22727272699999998,0.4286993672321369,0.0,17.647058823529417,62.16216216216216,15.868263,43.674698795180724,51.03448275862069,50.467289719626166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.379310344827594,21.4285714,50.0,28.571428499999996,0.0,1.4200310525,-0.2747857291251421,-0.003568645832794,10.928431678405405,2026,AA
Jared Thomas,COL,703606.0,sa3025252,22.0,8030,77,69,0.0,0.0,0.0,0.101449275,2,0.0,27,6.4935064,35.06493500000001,86.87692725295092,0.4,0.3167370165649213,0.0,38.888888888888886,76.53061224489795,17.948718,41.935483870967744,68.53146853146853,37.57961783439491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391304347826086,53.6585365,19.5121951,26.829268199999998,0.0,6.964076111821291,1.1252142917364836,0.0146131726199543,12.79170866654721,2026,AA
Josue Briceño,DET,800522.0,sa3018584,21.0,7665,76,64,0.0,0.0,0.0,0.375,8,0.0,16,11.842105199999999,21.0526315,165.89594649495913,0.26190476100000004,0.4366042198319184,0.0,29.496402877697843,82.35294117647058,10.909091,49.45454545454545,62.5,26.984126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,28.571428499999996,51.0204081,20.408163199999997,0.0,2.361095706249925,-0.7309788903221488,-0.0096181432937124,32.76223402391886,2026,AA
Dom Krupinski,CHC,702597.0,sa3077937,22.0,8030,76,62,0.0,0.0,0.0,0.161290323,2,0.0,25,14.473684200000001,32.894736800000004,82.74326171828385,0.22857142800000002,0.3022228055878689,0.0,22.839506172839503,80.95238095238095,13.422819,47.57281553398058,57.14285714285714,38.793103448275865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,38.8888888,33.3333333,27.7777777,0.0,8.444928400464772,0.5538277318701148,0.0072872069982909,21.87285588710247,2026,AA
