Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Jordan Beck,COL,687597.0,sa3019981,24,8947,189,163,0.319,0.402,0.5579999999999999,0.0,8,23.0,44,12.2,23.3,130.0,0.389,0.409,0.35200000000000004,29.6392,78.7736,14.7612,43.8495,69.967,31.1927,108.6,104.4,90.2,46.3,10.7,6.9,0.262,0.45,14.0,38.3,33.3,28.3,13.0,7.045210000000001,0.379332,0.0020070476190476,36.027817295739034,2024,AAA
José Barrero,BAL,676480.0,sa3005385,27,10056,188,165,0.188,0.27699999999999997,0.345,0.0,6,13.0,63,6.9,33.5,58.0,0.255,0.27699999999999997,0.264,32.0843,79.0123,16.5,46.625,65.1475,34.7368,109.5,105.0,86.9,34.6,5.8,3.2,0.192,0.292,21.2,40.2,40.2,19.6,18.0,8.02347,1.27062,0.0067586170212765,12.983650280778464,2024,AAA
Joey Loperfido,TOR,694388.0,sa3017050,26,9655,187,162,0.272,0.358,0.568,0.0,13,19.0,53,10.2,28.3,134.0,0.316,0.392,0.37799999999999995,27.3657,83.2536,11.4047,45.6189,63.7195,25.9494,113.9,106.2,90.8,45.8,18.7,10.7,0.258,0.522,12.6,50.0,32.4,17.6,7.0,7.52676,1.0306799999999998,0.0055116577540106,30.334287122770924,2024,AAA
Trevor Boone,COL,685392.0,sa3010336,28,10267,187,170,0.235,0.305,0.47100000000000003,0.0,10,17.0,74,9.1,39.6,79.0,0.349,0.33299999999999996,0.267,34.6939,66.9528,22.5627,45.4039,71.4724,43.9024,112.3,105.7,87.7,40.6,10.4,5.3,0.19,0.335,26.5,39.4,35.1,25.5,15.0,7.60037,1.27633,0.006825294117647,13.446647738233025,2024,AAA
Cole Roederer,0,680711.0,sa3008184,26,9523,185,159,0.20800000000000002,0.314,0.365,0.0,5,22.0,53,11.9,28.6,76.0,0.275,0.303,0.292,26.3441,76.4444,16.8571,46.8571,68.5976,36.5325,107.6,102.9,89.1,38.3,5.6,3.2,0.205,0.33399999999999996,21.8,30.9,43.6,25.5,21.0,5.10956,0.453029,0.0024488054054054,21.103683073988346,2024,AAA
Corey Rosier,BOS,681468.0,sa3016961,26,9539,184,161,0.18,0.272,0.267,0.0,2,20.0,45,10.9,24.5,40.0,0.233,0.24600000000000002,0.258,29.0488,85.4626,10.5474,48.0641,63.0556,23.2353,108.2,102.9,86.0,27.4,2.7,1.6,0.192,0.262,9.9,54.2,26.7,19.2,5.0,7.277430000000001,0.465008,0.0025272173913043,18.30574108903464,2024,AAA
Alika Williams,PIT,675961.0,sa3014427,26,9714,184,163,0.313,0.386,0.39899999999999997,0.0,0,20.0,34,10.9,18.5,112.0,0.392,0.34700000000000003,0.295,31.0881,91.7749,10.5624,47.0508,67.3469,21.9373,109.2,102.0,84.2,26.9,1.5,1.1,0.24600000000000002,0.317,11.4,45.0,29.5,25.6,13.0,5.6725,-0.054917499999999994,-0.00029846467391299997,18.358237686471192,2024,AAA
Heriberto Hernández,MIA,681715.0,sa3005630,25,9435,182,150,0.187,0.319,0.40700000000000003,0.0,9,26.0,49,14.3,26.9,89.0,0.20199999999999999,0.32,0.299,25.2577,70.0441,18.3908,44.2529,73.7013,39.3846,110.4,102.1,87.1,43.7,9.7,5.5,0.175,0.34700000000000003,22.3,40.0,47.0,13.0,15.0,5.4983699999999995,0.053029,0.0002913681318681,26.419548128858022,2024,AAA
Everson Pereira,TBR,677592.0,sa3007034,24,8956,182,162,0.265,0.34600000000000003,0.512,0.0,10,16.0,59,8.8,32.4,121.0,0.355,0.369,0.348,29.2818,70.5628,20.8709,45.6456,75.9868,41.2463,109.9,106.1,89.9,41.7,13.6,7.7,0.239,0.48100000000000004,12.6,44.1,33.3,22.5,11.0,6.54166,-0.280029,-0.0015386208791208,31.84104938271605,2024,AAA
Adam Hackenberg,CHW,680753.0,sa3017041,26,9538,182,154,0.188,0.308,0.23399999999999999,0.0,1,23.0,77,12.6,42.3,46.0,0.364,0.258,0.247,31.0044,74.7706,15.9756,44.1463,60.221000000000004,36.3889,104.5,100.6,85.6,28.2,3.8,1.6,0.171,0.221,10.1,57.9,18.4,23.7,2.0,3.4689400000000004,-0.271328,-0.0014908131868131,11.976846493484226,2024,AAA
Brennen Davis,NYY,680695.0,sa3007876,25,9479,181,145,0.214,0.359,0.469,0.0,11,23.0,42,12.7,23.2,110.0,0.213,0.36200000000000004,0.36,23.4286,71.8062,16.8675,47.2892,72.293,36.246,113.7,104.4,91.3,45.7,11.4,6.6,0.222,0.45,29.5,30.1,48.5,21.4,21.0,3.26198,-0.655907,-0.0036237955801104,31.92721896701389,2024,AAA
Arquímedes Gamboa,0,660614.0,sa877497,28,10254,181,156,0.212,0.32,0.33299999999999996,0.0,4,25.0,49,13.8,27.1,76.0,0.282,0.29600000000000004,0.29,21.9451,80.4598,10.8723,49.3047,66.9231,24.6418,110.0,100.5,86.2,28.0,3.7,2.2,0.215,0.309,14.7,48.1,29.2,22.6,9.0,2.9407900000000002,-0.9108709999999999,-0.0050324364640883,12.921574931412895,2024,AAA
JT Schwartz,NYM,681286.0,sa3017371,25,9434,178,160,0.21899999999999997,0.287,0.381,0.0,5,10.0,29,5.6,16.3,69.0,0.23399999999999999,0.292,0.29,36.7403,89.5735,9.6096,45.6456,69.4079,18.6047,108.4,102.0,87.7,35.1,5.3,3.9,0.21600000000000003,0.363,15.8,29.0,51.1,19.8,22.0,4.357469999999999,0.130134,0.0007310898876404,22.601065511402613,2024,AAA
Gabriel Arias,CLE,672356.0,sa3004047,25,9364,177,167,0.317,0.35600000000000004,0.545,0.0,6,7.0,40,4.0,22.6,132.0,0.38799999999999996,0.384,0.317,38.7879,78.8546,18.3306,45.9902,80.7829,31.5493,112.9,107.5,89.8,48.0,10.2,7.3,0.252,0.434,5.5,52.0,28.0,20.0,7.0,8.293330000000001,1.8761599999999998,0.0105997740112994,30.088774755658434,2024,AAA
Spencer Packard,SEA,689070.0,sa3016803,28,10234,176,154,0.27899999999999997,0.358,0.41600000000000004,0.0,2,19.0,26,10.8,14.8,100.0,0.32,0.33899999999999997,0.34700000000000003,21.3699,87.7005,6.2591,46.8705,58.0745,16.2264,109.3,102.6,88.4,35.7,4.7,3.4,0.28600000000000003,0.414,14.6,40.9,33.9,25.2,14.0,1.80952,-0.262457,-0.0014912329545454,17.362571936085388,2024,AAA
Brett Wisely,ATL,689172.0,sa1170003,26,9658,176,152,0.289,0.381,0.48,0.0,6,23.0,28,13.1,15.9,131.0,0.319,0.373,0.317,29.1892,88.8889,7.9063,45.8272,60.3834,18.1818,110.1,101.5,87.8,33.3,3.3,2.3,0.242,0.36,20.8,41.9,31.8,26.4,14.0,5.0839,-1.33554,-0.0075882954545454,25.24254918981481,2024,AAA
Stephen Scott,0,679663.0,sa3011469,28,10373,175,161,0.292,0.337,0.466,0.0,4,11.0,41,6.3,23.4,112.0,0.364,0.345,0.305,30.8869,84.25200000000001,14.6487,51.1211,74.26899999999999,27.6056,106.3,103.7,89.1,41.0,8.5,5.7,0.237,0.384,18.9,41.3,34.7,24.0,14.0,4.73859,-0.649187,-0.0037096399999999,12.228090304569616,2024,AAA
Carlos De La Cruz,WSN,678926.0,sa3006903,26,9510,175,163,0.19,0.24,0.276,0.0,3,8.0,63,4.6,36.0,33.0,0.28600000000000003,0.231,0.24100000000000002,34.9862,75.8454,19.1304,47.3913,63.3028,39.521,112.4,104.9,89.0,44.8,4.2,2.3,0.19699999999999998,0.28300000000000003,7.9,51.0,19.4,29.6,8.0,2.48753,-0.0621558,-0.0003551759999999,17.54178722993827,2024,AAA
Ali Sánchez,0,645305.0,sa828198,28,10496,174,155,0.226,0.31,0.361,0.0,3,18.0,35,10.3,20.1,73.0,0.27399999999999997,0.299,0.306,24.0793,84.456,9.417,47.2347,61.0759,22.6619,107.7,102.8,88.7,35.8,5.8,4.0,0.23,0.37200000000000005,9.2,48.3,33.3,18.3,10.0,1.28416,-0.285287,-0.0016395804597701,11.522462277091908,2024,AAA
Josh Kasevich,TOR,688460.0,sa3020203,24,9039,173,157,0.325,0.382,0.433,0.0,3,14.0,25,8.1,14.5,120.0,0.369,0.35700000000000004,0.307,22.956,95.8115,4.4164,49.8423,60.443000000000005,10.6061,109.0,104.2,89.6,37.9,2.3,1.7,0.26899999999999996,0.36,5.3,51.1,17.3,31.6,3.0,4.0838,0.175924,0.001016901734104,30.58297365290637,2024,AAA
Dalton Rushing,LAD,687221.0,sa3019892,24,9005,169,139,0.273,0.396,0.511,0.0,9,26.0,34,15.4,20.1,133.0,0.299,0.392,0.385,21.1886,83.2487,9.8068,42.4963,68.8811,23.6559,109.7,105.4,90.8,40.6,10.4,6.5,0.27,0.491,19.8,38.8,33.0,28.2,13.0,2.9380900000000003,-0.40355100000000005,-0.0023878757396449,38.04245434670783,2024,AAA
Chavez Young,0,669945.0,sa918963,28,10329,168,147,0.21100000000000002,0.304,0.327,0.0,2,14.0,46,8.3,27.4,70.0,0.29,0.284,0.253,28.0323,81.1404,11.3731,48.5437,65.1429,24.6988,108.6,100.8,81.3,15.7,2.9,1.8,0.18899999999999997,0.257,12.4,46.1,36.3,17.6,12.0,7.803730000000001,-0.789955,-0.004702113095238,8.945473251028805,2024,AAA
Ivan Johnson,CIN,671155.0,sa1169627,27,9870,167,149,0.289,0.359,0.537,0.0,6,15.0,47,9.0,28.1,130.0,0.381,0.381,0.337,34.903,82.3276,17.0437,45.5505,76.8212,31.5642,109.2,104.1,90.6,47.6,11.7,7.2,0.251,0.449,14.6,41.2,31.4,27.5,13.0,6.111000000000001,-0.641476,-0.0038411736526946,23.001180180469817,2024,AAA
Kellen Strahm,TEX,687005.0,sa3010278,28,10401,165,136,0.265,0.376,0.368,0.0,1,25.0,37,15.2,22.4,99.0,0.34700000000000003,0.332,0.284,22.7749,85.4167,10.219,44.2336,63.3663,25.0896,109.1,103.2,89.2,40.6,3.0,1.8,0.204,0.282,6.9,57.4,20.8,21.8,2.0,8.567110000000001,2.4976,0.0151369696969696,14.650390625000005,2024,AAA
