Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Matt Shaw,CHC,807713.0,sa3022615,24,8970,110,91,0.28600000000000003,0.409,0.56,0.275,6,17,11,15.5,10.0,0.27,0.415,0.39,20.0,81.89655172413794,8.51581508515815,62.365591397849464,21.7,109.9,105.5,88.6,44.3,10.1,7.2727272727272725,0.293,0.47100000000000003,10.0,7.4,7.67847,0.720851,0.00655319090909091,50.23452188665677,2025,AAA
Brennan Milone,ATH,686810.0,sa3019974,25,9155,109,87,0.23,0.36700000000000005,0.379,0.149,2,18,24,16.5,22.0,0.28600000000000003,0.33399999999999996,0.278,21.57676348547718,85.4014598540146,8.295964125560538,66.82926829268294,19.6,103.5,99.4,86.9,33.8,3.1,1.834862385321101,0.163,0.27399999999999997,16.9,20.8,6.8684199999999995,-0.046793699999999994,-0.0004293,30.54118381043283,2025,AAA
Tyler Tolbert,KCR,686475.0,sa3010337,28,10349,109,95,0.27399999999999997,0.349,0.42100000000000004,0.147,3,9,30,8.3,27.5,0.359,0.336,0.27699999999999997,28.000000000000004,78.94736842105263,16.467780429594274,68.55670103092784,35.2,105.5,100.6,84.6,28.4,1.5,0.9174311926605504,0.22899999999999998,0.298,16.4,8.5,6.54156,0.115335,0.0010581192660550458,12.541508454425433,2025,AAA
Silas Ardoin,BAL,686976.0,sa3019976,25,9382,108,93,0.258,0.361,0.43,0.172,4,15,31,13.9,28.7,0.345,0.349,0.311,23.529411764705877,75.80645161290323,12.413793103448276,57.943925233644855,30.7,107.9,101.1,86.9,33.9,9.7,5.5555555555555545,0.22399999999999998,0.361,14.5,15.2,0.9464290000000001,-0.262231,-0.0024280648148148148,27.19221441947982,2025,AAA
George Valera,CLE,671655.0,sa3006872,25,9328,107,94,0.255,0.34600000000000003,0.457,0.20199999999999999,3,13,27,12.1,25.2,0.32799999999999996,0.348,0.301,25.0,81.67938931297711,13.571428571428573,59.54545454545455,31.5,111.8,104.6,89.9,34.8,6.1,3.7383177570093453,0.223,0.35200000000000004,22.4,9.0,3.48845,-0.21993600000000002,-0.0020554766355140187,34.643673694518434,2025,AAA
Cooper Ingle,CLE,694876.0,sa3023069,24,8863,107,82,0.207,0.38299999999999995,0.32899999999999996,0.122,1,21,15,19.6,14.0,0.239,0.331,0.369,17.24137931034483,90.65420560747664,4.895104895104895,54.31472081218274,14.3,105.6,101.4,87.3,41.8,4.5,2.803738317757009,0.248,0.369,20.6,11.6,1.54488,-0.279149,-0.0026088691588785047,40.236354488154454,2025,AAA
Luis Verdugo,SDP,677605.0,sa3006888,25,9359,106,99,0.182,0.23600000000000002,0.263,0.081,2,7,35,6.6,33.0,0.258,0.22399999999999998,0.245,28.378378378378375,74.04580152671755,14.545454545454545,60.09174311926604,33.0,107.7,104.2,87.5,43.5,4.8,2.830188679245284,0.204,0.289,13.4,7.9,2.6428599999999998,-0.17764100000000002,-0.0016758584905660376,20.13385377630879,2025,AAA
Francisco Alvarez,NYM,682626.0,sa3010862,24,8957,106,92,0.261,0.358,0.696,0.435,12,11,32,10.4,30.2,0.25,0.43700000000000006,0.382,34.68634686346864,72.56637168141594,17.37193763919822,63.483146067415724,37.7,111.8,109.2,93.3,55.0,21.7,12.264150943396224,0.226,0.581,13.4,20.4,1.42003,-0.1861,-0.0017556603773584904,40.059523570401545,2025,AAA
Tyler Callihan,PIT,682997.0,sa1169610,25,9469,105,89,0.303,0.41,0.528,0.225,4,16,29,15.2,27.6,0.41100000000000003,0.40399999999999997,0.327,27.67857142857143,77.61194029850745,15.513126491646776,68.71794871794873,33.2,109.9,104.9,89.0,41.7,6.7,3.8095238095238098,0.242,0.371,29.5,13.5,7.88771,0.46312700000000007,0.004410733333333333,35.065332551250066,2025,AAA
Michael Massey,KCR,686681.0,sa1115910,28,10294,105,96,0.25,0.314,0.42700000000000005,0.177,4,6,21,5.7,20.0,0.282,0.32299999999999995,0.3,38.73873873873874,85.29411764705883,10.16949152542373,71.20418848167539,18.9,107.2,101.4,84.1,28.0,8.0,5.7142857142857135,0.24,0.371,18.4,15.4,1.60119,-0.211477,-0.0020140666666666664,16.966109262715896,2025,AAA
Ronaldo Hernández,0,660613.0,sa881850,28,10425,104,92,0.196,0.262,0.304,0.109,2,9,22,8.7,21.2,0.22899999999999998,0.251,0.255,33.663366336633665,79.56204379562044,14.987080103359174,74.05405405405405,28.3,110.5,105.5,88.5,37.0,2.7,1.9230769230769231,0.21,0.289,12.5,8.3,0.14285699999999998,-0.0169182,-0.000162675,17.840568906324553,2025,AAA
Sam Huff,BAL,669087.0,sa918046,28,10362,103,90,0.18899999999999997,0.282,0.33299999999999996,0.14400000000000002,2,12,36,11.7,35.0,0.28300000000000003,0.273,0.3,26.41509433962264,74.82014388489209,17.359413202933982,70.55837563451776,36.4,113.5,107.1,94.8,52.7,12.7,6.7961165048543695,0.195,0.386,9.1,17.1,3.61971,-0.157051,-0.0015247669902912619,27.40829482924951,2025,AAA
Sammy Siani,SEA,686445.0,sa3010704,25,9297,103,91,0.253,0.33,0.418,0.165,4,11,21,10.7,20.4,0.284,0.327,0.287,26.315789473684212,80.62015503875969,12.78772378516624,70.87912087912088,27.2,106.1,100.0,85.2,32.4,4.2,2.9126213592233015,0.215,0.34700000000000003,17.5,12.0,4.08914,-1.0100200000000001,-0.009806019417475728,23.97899615370612,2025,AAA
Brandon Valenzuela,TOR,678218.0,sa3005729,25,9368,103,92,0.207,0.282,0.37,0.163,3,10,32,9.7,31.1,0.276,0.285,0.261,30.73593073593073,75.35211267605635,15.753424657534245,68.59903381642512,32.4,109.9,101.7,91.2,44.3,8.2,4.854368932038835,0.18600000000000003,0.321,24.6,15.6,0.857143,-0.17764100000000002,-0.0017246699029126213,27.97907588450831,2025,AAA
Tanner Schobel,MIN,802355.0,sa3020009,25,9126,103,91,0.22,0.311,0.341,0.121,2,10,33,9.7,32.0,0.321,0.293,0.315,26.696832579185518,82.08955223880598,14.117647058823529,65.68627450980392,31.1,105.6,102.0,89.5,43.1,8.6,4.854368932038835,0.239,0.382,17.5,13.3,1.23577,-0.6692,-0.006497087378640777,28.460443847027477,2025,AAA
Carson Benge,NYM,701807.0,sa3025452,23,8531,103,90,0.17800000000000002,0.272,0.311,0.133,3,9,19,8.7,18.4,0.188,0.263,0.36200000000000004,28.57142857142857,86.92307692307692,9.466019417475726,69.14893617021278,20.1,110.4,105.9,92.1,53.5,15.5,10.679611650485436,0.259,0.5,13.9,9.1,7.247889999999999,0.405441,0.003936320388349514,52.3074253319254,2025,AAA
Walker Jenkins,MIN,805805.0,sa3022894,21,7772,102,91,0.242,0.324,0.396,0.154,2,9,26,8.8,25.5,0.317,0.317,0.344,33.789954337899545,81.53846153846153,12.903225806451614,70.65217391304348,25.5,110.1,103.7,89.1,43.8,15.6,9.803921568627453,0.24,0.47600000000000003,16.7,14.9,7.61345,0.596982,0.005852764705882353,44.586890296234294,2025,AAA
