Season,League,Avg_Age,Std_Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2014,Texas League,22.85,1.25,2.63,0.63,1.26,0.34
2014,Venezuelan Summer League,18.13,1.19,2.2,0.59,1.42,0.36
2015,Appalachian League,20.69,1.46,2.72,0.67,1.66,0.37
2015,Arizona League,20.14,1.89,2.42,0.64,1.81,0.47
2015,California League,22.26,1.43,2.92,0.7,1.79,0.41
2015,Carolina League,22.28,1.32,2.43,0.61,1.38,0.32
2015,Dominican Summer League,18.28,1.3,2.4,0.61,1.59,0.38
2015,Eastern League,22.82,1.16,2.34,0.55,1.71,0.47
2015,Florida State League,22.3,1.34,2.13,0.53,1.41,0.34
2015,Gulf Coast League,19.69,1.86,2.11,0.58,1.61,0.41
2015,International League,23.17,0.9,2.8,0.66,1.51,0.39
2015,Mexican League,22.01,1.7,1.42,0.49,1.4,0.42
2015,Midwest League,21.5,1.46,2.43,0.59,1.44,0.35
2015,Pacific Coast League,23.08,1.15,3.06,0.75,2.06,0.49
2015,Pioneer League,20.88,1.57,3.67,0.88,1.78,0.39
2015,South Atlantic League,21.57,1.51,2.63,0.65,1.48,0.35
2015,Southern League,22.76,1.16,2.23,0.51,1.8,0.54
2015,Texas League,22.84,1.16,2.73,0.66,1.75,0.42
2015,Venezuelan Summer League,18.2,1.17,2.65,0.67,1.52,0.36
2016,Appalachian League,20.68,1.72,2.83,0.7,1.52,0.36
2016,Arizona League,19.96,1.73,2.38,0.61,1.84,0.45
2016,California League,22.18,1.39,2.85,0.67,1.69,0.39
2016,Carolina League,22.46,1.31,2.84,0.69,1.49,0.34
2016,Dominican Summer League,18.22,1.31,2.08,0.55,1.39,0.34
2016,Eastern League,22.72,1.14,2.42,0.57,1.85,0.52
2016,Florida State League,22.4,1.26,2.36,0.59,1.41,0.34
2016,Gulf Coast League,19.75,1.68,2.04,0.55,1.66,0.44
2016,International League,23.16,0.98,2.47,0.55,1.78,0.52
2016,Mexican League,22.0,1.81,1.29,0.45,1.39,0.42
2016,Midwest League,21.63,1.37,2.08,0.51,1.49,0.36
2016,Pacific Coast League,23.0,1.13,2.79,0.67,2.66,0.67
2016,Pioneer League,20.69,1.49,3.7,0.89,1.75,0.37
2016,South Atlantic League,21.56,1.51,2.37,0.59,1.43,0.34
2016,Southern League,22.87,1.1,1.89,0.43,1.75,0.54
2016,Texas League,22.78,1.12,2.36,0.58,1.72,0.43
2017,Appalachian League,20.42,1.46,2.98,0.71,1.64,0.38
2017,Arizona League,20.03,1.91,2.82,0.71,2.19,0.53
2017,California League,22.38,1.27,2.79,0.67,1.62,0.37
2017,Carolina League,22.42,1.22,2.41,0.6,1.45,0.35
2017,Dominican Summer League,18.09,1.19,2.16,0.57,1.43,0.36
2017,Eastern League,22.92,1.09,2.47,0.61,1.73,0.45
