PlayerId,Name,Team,Level,Age,current_age_z,age_z_slope,has_slope,career_pa_eq,p_grad_knn,n_neighbors,level_base_p_grad,p_grad_vs_baseline,pppa_disc,cond_pppa_z_ageonly,cond_pppa_z,level_base_expected,expected_pppa_z,implied_mult_2tier,age_mult_pgvb,current_mult,Combined_Rank,Combined_Score,ABILITY_Score,TOOLS_Score
823807,Kane Kepley,CHC,AA,22.0,-0.83,-0.551,True,251.3,0.26,50,0.2872,0.905,0.473119368723099,0.3205,0.4228,0.0561,0.1099,1.485,0.905,1.0045,1,86.31,90.57,92.57
800543,Josue De Paula,LAD,AA,21.0,-1.64,-0.186,True,722.3,0.68,50,0.2872,2.368,0.43515000000000004,0.4625,0.5346,0.0561,0.3635,5.606,2.368,1.0357,2,84.46,95.43,85.28
703151,William Bergolla Jr.,CWS,AAA,21.0,-2.21,-0.182,True,507.2,0.7,50,0.4699,1.49,0.4397346185397867,0.6296,0.7054,0.0918,0.4938,4.801,1.49,1.1483,3,83.32,101.71,71.05
702726,Luke Adams,MIL,AAA,22.0,-1.51,-0.051,True,686.3,0.58,50,0.4699,1.234,0.4042429681978799,0.4244,0.472,0.0918,0.2738,2.681,1.234,1.0101,4,82.03,86.52,87.23
805805,Walker Jenkins,MIN,AAA,21.0,-2.21,-0.271,True,652.8,0.68,50,0.4699,1.447,0.531791902071563,0.6296,0.7785,0.0918,0.5294,4.664,1.447,1.1483,5,81.36,94.68,78.65
808234,Eduardo Quintero,LAD,A+,20.0,-1.34,-0.264,True,381.1,0.3,50,0.1665,1.802,0.2831222639149468,0.3974,0.3487,0.0325,0.1046,3.668,1.802,1.0072,6,80.85,81.71,91.33
806077,Kendall George,LAD,AA,21.0,-1.64,-0.109,True,437.9,0.78,50,0.2872,2.716,0.41367253086419753,0.4625,0.5176,0.0561,0.4037,6.43,2.716,1.0357,7,80.66,97.71,67.24
702556,Austin Overn,TB,AA,23.0,-0.25,-0.276,True,378.4,0.12,50,0.2872,0.418,0.6124493961352657,0.2331,0.4461,0.0561,0.0535,0.499,0.418,1.0014,8,79.98,98.97,68.73
815394,Theo Gillen,TB,AA,20.0,-1.99,-0.516,True,313.3,0.56,50,0.2872,1.95,0.43015172413793107,0.5651,0.6333,0.0561,0.3546,5.641,1.95,1.1048,9,79.27,81.15,82.51
804560,Charles Davalan,LAD,A+,22.0,-0.06,,False,180.2,0.18,50,0.1665,1.081,0.45220000000000005,0.2044,0.2901,0.0325,0.0522,1.132,1.081,1.0003,10,78.82,87.22,79.17
800957,Brendan Jones,MIA,AAA,24.0,-0.11,-0.307,True,562.8,0.16,50,0.4699,0.34,0.5886046783625731,0.212,0.406,0.0918,0.065,0.369,0.34,1.0006,11,78.3,92.46,69.52
803142,Tommy Hawke,CLE,A+,23.0,0.58,0.132,True,293.1,0.12,50,0.1665,0.721,0.2838310697674419,0.108,0.0598,0.0325,0.0072,0.399,0.721,0.9969,12,77.46,84.47,80.18
815908,Jesús Made,MIL,AA,19.0,-2.57,-0.593,True,471.3,0.74,50,0.2872,2.577,0.4212772402854877,0.7352,0.7962,0.0561,0.5892,9.698,2.577,1.2193,13,77.09,93.69,69.35
814154,Scott Bandura,SF,AAA,24.0,-0.09,-0.136,True,885.9,0.42,50,0.4699,0.894,0.45477351485148515,0.209,0.2966,0.0918,0.1246,0.956,0.894,1.0005,14,76.57,91.03,70.01
808265,Franklin Arias,BOS,AAA,20.0,-2.91,-0.45,True,565.6,0.68,50,0.4699,1.447,0.4491637221847606,0.8348,0.9181,0.0918,0.6243,6.184,1.447,1.2864,15,76.56,91.88,66.22
825761,Ryan Cesarini,CLE,AA,23.0,-0.2,-0.489,True,265.5,0.28,50,0.2872,0.975,0.5885088235294119,0.2255,0.4195,0.0561,0.1175,1.125,0.975,1.0011,16,76.53,81.66,71.86
701649,James Triantos,CHC,AAA,23.0,-0.81,0.087,True,1461.5,0.6,50,0.4699,1.277,0.5300876442924326,0.3175,0.465,0.0918,0.279,2.075,1.277,1.0044,17,76.31,99.38,57.38
802506,Dylan O'Rae,MIL,AA,22.0,-0.83,-0.162,True,562.0,0.52,50,0.2872,1.811,0.22464370139968895,0.3205,0.2253,0.0561,0.1172,2.971,1.811,1.0045,18,76.24,80.11,81.0
807257,Ty Southisene,TOR,A+,20.0,-1.44,-0.621,True,203.0,0.46,50,0.1665,2.763,0.23456750330250994,0.4125,0.3252,0.0325,0.1496,5.838,2.763,1.0078,19,76.02,77.94,78.08
815888,Leo De Vries,OAK,AA,19.0,-2.94,-0.239,True,543.3,0.92,50,0.2872,3.203,0.3147329305135952,0.8436,0.82,0.0561,0.7544,13.834,3.203,1.2924,20,75.84,87.78,69.76
815824,Josiah Hartshorn,CHC,A+,19.0,-1.98,-1.01,True,166.5,0.5,50,0.1665,3.003,0.3587168190127971,0.5622,0.5736,0.0325,0.2868,8.649,3.003,1.1029,21,75.4,71.91,82.15
801501,Nate Furman,SF,AAA,24.0,-0.09,0.013,True,721.3,0.54,50,0.4699,1.149,0.34413376623376624,0.209,0.2087,0.0918,0.1127,1.229,1.149,1.0005,21,75.4,80.33,76.86
805795,Aidan Miller,PHI,AAA,21.0,-1.93,-0.161,True,418.1,0.6,50,0.4699,1.277,0.46608471474703983,0.5476,0.6442,0.0918,0.3865,3.579,1.277,1.093,23,75.39,87.57,67.97
815873,Sean Keys,TOR,AAA,23.0,-0.81,-0.289,True,551.7,0.36,50,0.4699,0.766,0.491695856873823,0.3175,0.4345,0.0918,0.1564,1.245,0.766,1.0044,24,75.15,79.25,73.45
