Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2007,Florida State League,18.0,3.85,0.87,,
2007,Florida State League,19.0,3.56,1.02,5.19,1.39
2007,Florida State League,20.0,3.08,0.75,1.76,0.38
2007,Florida State League,21.0,2.89,0.71,1.54,0.38
2007,Florida State League,22.0,2.3,0.6,1.49,0.38
2007,Florida State League,23.0,2.88,0.73,1.55,0.35
2007,Florida State League,24.0,2.32,0.58,1.51,0.39
2007,Gulf Coast League,16.0,1.72,0.65,0.76,0.42
2007,Gulf Coast League,17.0,1.93,0.51,1.61,0.4
2007,Gulf Coast League,18.0,2.16,0.56,1.54,0.39
2007,Gulf Coast League,19.0,2.3,0.6,1.56,0.37
2007,Gulf Coast League,20.0,2.36,0.62,1.67,0.4
2007,Gulf Coast League,21.0,2.41,0.67,1.67,0.44
2007,Gulf Coast League,22.0,2.41,0.68,1.62,0.44
2007,Gulf Coast League,23.0,2.8,0.79,1.79,0.52
2007,Gulf Coast League,24.0,1.68,0.46,1.16,0.41
2007,International League,20.0,3.92,0.94,0.46,0.13
2007,International League,21.0,1.59,0.35,2.07,0.7
2007,International League,22.0,2.96,0.71,0.74,0.15
2007,International League,23.0,3.03,0.73,1.55,0.39
2007,International League,24.0,2.74,0.61,1.99,0.62
2007,Mexican League,17.0,0.23,0.11,,
2007,Mexican League,19.0,1.28,0.51,0.34,0.02
2007,Mexican League,20.0,1.36,0.68,1.2,0.7
2007,Mexican League,21.0,1.42,0.74,0.65,0.34
2007,Mexican League,22.0,1.41,0.57,0.91,0.24
2007,Mexican League,23.0,1.96,0.58,1.7,0.43
2007,Mexican League,24.0,2.6,0.73,1.72,0.4
2007,Midwest League,17.0,2.86,0.75,,
2007,Midwest League,18.0,1.76,0.45,0.61,0.14
2007,Midwest League,19.0,2.26,0.56,1.28,0.3
2007,Midwest League,20.0,2.49,0.61,1.4,0.31
2007,Midwest League,21.0,2.11,0.54,1.75,0.43
2007,Midwest League,22.0,2.66,0.67,1.16,0.26
2007,Midwest League,23.0,2.57,0.65,1.27,0.31
2007,Midwest League,24.0,1.99,0.53,1.38,0.39
2007,Pacific Coast League,21.0,3.64,0.85,2.75,0.61
2007,Pacific Coast League,22.0,3.24,0.74,1.99,0.5
2007,Pacific Coast League,23.0,2.39,0.59,2.17,0.58
2007,Pacific Coast League,24.0,2.64,0.66,2.0,0.53
2007,Pioneer League,17.0,1.92,0.49,0.28,0.04
2007,Pioneer League,18.0,2.26,0.55,1.84,0.43
2007,Pioneer League,19.0,2.05,0.5,1.65,0.39
2007,Pioneer League,20.0,3.35,0.82,1.52,0.31
2007,Pioneer League,21.0,3.23,0.78,1.72,0.37
2007,Pioneer League,22.0,3.06,0.77,1.47,0.33
2007,Pioneer League,23.0,2.54,0.72,1.75,0.47
2007,Pioneer League,24.0,4.1,1.03,2.46,0.57
2007,South Atlantic League,17.0,1.39,0.36,,
2007,South Atlantic League,18.0,2.72,0.66,2.01,0.45
2007,South Atlantic League,19.0,2.71,0.64,1.24,0.28
2007,South Atlantic League,20.0,2.85,0.69,1.7,0.38
2007,South Atlantic League,21.0,2.83,0.7,1.32,0.3
2007,South Atlantic League,22.0,3.06,0.76,1.71,0.37
2007,South Atlantic League,23.0,3.13,0.79,1.65,0.41
2007,South Atlantic League,24.0,2.28,0.57,1.77,0.43
2007,Southern League,19.0,5.52,1.28,,
2007,Southern League,20.0,2.85,0.64,2.17,0.56
2007,Southern League,21.0,2.15,0.41,2.3,0.76
2007,Southern League,22.0,1.66,0.34,2.21,0.65
2007,Southern League,23.0,2.12,0.57,1.92,0.52
2007,Southern League,24.0,2.3,0.59,1.52,0.45
2007,Texas League,20.0,1.92,0.31,2.72,0.86
2007,Texas League,21.0,1.58,0.24,2.61,0.83
2007,Texas League,22.0,3.23,0.85,1.39,0.25
2007,Texas League,23.0,2.37,0.51,1.88,0.61
2007,Texas League,24.0,2.97,0.75,1.65,0.37
2007,Venezuelan Summer League,16.0,4.41,1.25,2.43,0.74
2007,Venezuelan Summer League,17.0,1.85,0.5,1.51,0.39
2007,Venezuelan Summer League,18.0,2.04,0.56,1.51,0.39
2007,Venezuelan Summer League,19.0,2.46,0.66,1.45,0.35
2007,Venezuelan Summer League,20.0,3.41,0.94,1.2,0.29
2007,Venezuelan Summer League,21.0,3.8,0.97,1.21,0.22
2007,Venezuelan Summer League,22.0,2.22,0.72,,
2008,Appalachian League,16.0,5.27,1.17,,
2008,Appalachian League,17.0,1.65,0.41,0.78,0.2
2008,Appalachian League,18.0,2.57,0.65,1.19,0.32
2008,Appalachian League,19.0,2.33,0.57,1.43,0.35
2008,Appalachian League,20.0,2.37,0.61,1.21,0.28
2008,Appalachian League,21.0,2.79,0.7,1.52,0.34
2008,Appalachian League,22.0,2.94,0.73,1.56,0.32
2008,Appalachian League,23.0,2.74,0.72,2.7,0.65
2008,Appalachian League,24.0,2.55,0.74,3.61,1.05
2008,Arizona League,17.0,2.22,0.55,1.44,0.33
2008,Arizona League,18.0,2.67,0.67,1.99,0.46
2008,Arizona League,19.0,2.27,0.61,2.14,0.54
2008,Arizona League,20.0,2.75,0.72,1.67,0.37
2008,Arizona League,21.0,3.45,0.89,1.73,0.42
2008,Arizona League,22.0,3.66,0.91,1.8,0.39
2008,Arizona League,23.0,2.37,0.64,1.79,0.44
2008,Arizona League,24.0,7.33,1.84,2.84,0.68
2008,California League,18.0,2.07,0.44,3.87,0.91
2008,California League,19.0,1.64,0.42,2.03,0.45
2008,California League,20.0,3.52,0.79,1.97,0.48
2008,California League,21.0,3.52,0.84,1.75,0.38
2008,California League,22.0,2.95,0.7,2.02,0.46
2008,California League,23.0,2.6,0.65,1.42,0.33
2008,California League,24.0,3.38,0.83,1.47,0.37
2008,Carolina League,18.0,2.21,0.62,,
2008,Carolina League,19.0,3.27,0.79,1.1,0.22
2008,Carolina League,20.0,3.39,0.78,0.88,0.17
2008,Carolina League,21.0,3.12,0.76,1.45,0.33
2008,Carolina League,22.0,3.25,0.82,1.33,0.29
2008,Carolina League,23.0,2.71,0.69,1.35,0.31
2008,Carolina League,24.0,2.48,0.64,1.56,0.4
2008,Dominican Summer League,16.0,1.64,0.43,0.93,0.22
2008,Dominican Summer League,17.0,1.74,0.44,1.57,0.42
2008,Dominican Summer League,18.0,1.89,0.5,1.58,0.39
2008,Dominican Summer League,19.0,2.41,0.62,1.45,0.36
2008,Dominican Summer League,20.0,2.68,0.68,1.61,0.36
2008,Dominican Summer League,21.0,2.12,0.57,1.44,0.36
2008,Dominican Summer League,22.0,2.89,0.81,1.6,0.34
2008,Dominican Summer League,23.0,1.74,0.52,0.02,0.06
2008,Dominican Summer League,24.0,4.79,1.04,,
2008,Eastern League,19.0,3.66,0.84,0.14,0.0
2008,Eastern League,20.0,3.27,0.84,0.94,0.18
2008,Eastern League,21.0,2.43,0.54,2.18,0.64
2008,Eastern League,22.0,3.01,0.69,1.55,0.45
2008,Eastern League,23.0,2.42,0.54,1.79,0.52
2008,Eastern League,24.0,2.83,0.69,1.85,0.45
