Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2008,Jesus Guzman,OAK,AA,24,80,341,376,124,87,21,2,14,57,76,33,4,56,0,1,1,6,5,2,0.363636363,3118
2006,Jesus Guzman,SEA,AA,22,115,409,471,104,74,18,3,9,57,55,45,0,74,4,4,9,12,7,3,0.254278728,3118
2006,Wladimir Balentien,SEA,AA,21,121,444,522,102,57,23,1,21,75,81,70,5,140,4,4,0,10,14,7,0.229729729,3131
2023,Victor Scott II,STL,AA,22,66,282,310,91,71,11,2,7,51,34,18,0,45,6,2,2,2,44,7,0.322695035,31349
2024,Jimmy Crooks,STL,AA,22,90,315,371,101,69,19,2,11,42,62,43,0,78,8,5,0,2,4,0,0.32063492,31354
2024,Nathan Church,STL,AA,23,127,482,541,129,97,22,1,9,81,66,43,2,60,6,6,3,10,24,4,0.267634854,31357
2025,Nathan Church,STL,AA,24,29,119,129,40,26,7,1,6,21,19,8,0,10,1,1,0,0,6,0,0.336134453,31357
2023,Graham Pauley,SDP,AA,22,20,81,88,26,13,10,0,3,15,12,7,0,12,0,0,0,1,2,0,0.320987654,31363
2023,Jakob Marsee,SDP,AA,22,16,56,69,16,13,0,0,3,12,5,11,0,15,1,0,1,0,5,0,0.285714285,31370
2024,Jakob Marsee,SDP,AA,23,24,85,109,15,7,6,0,2,15,5,19,0,24,2,1,2,0,12,1,0.176470588,31370
2024,Dalton Rushing,LAD,AA,23,77,281,334,76,43,15,1,17,44,59,38,1,69,12,2,0,2,0,2,0.270462633,31382
2023,Tyler Locklear,SEA,AA,22,22,77,94,20,12,6,1,1,11,8,11,0,14,5,1,0,4,2,0,0.259740259,31396
2024,Tyler Locklear,SEA,AA,23,41,158,188,46,25,12,1,8,30,26,23,2,49,6,0,0,2,4,1,0.29113924,31396
2023,Daniel Susac,OAK,AA,22,13,50,56,14,12,1,0,1,2,8,2,0,14,1,3,0,0,1,0,0.28,31441
2024,Daniel Susac,OAK,AA,23,88,343,370,88,54,19,3,12,39,50,16,0,96,7,4,0,8,7,2,0.256559766,31441
2024,Henry Bolte,OAK,AA,20,54,202,227,51,32,13,2,4,32,21,20,0,88,4,0,0,6,18,6,0.252475247,31448
2025,Henry Bolte,OAK,AA,21,80,295,347,82,57,14,4,7,43,42,41,0,95,8,3,0,5,31,2,0.277966101,31448
2023,Drew Gilbert,HOU,AA,22,60,224,264,54,37,11,0,6,36,20,33,2,46,2,1,0,4,6,3,0.241071428,31545
2023,Zach Dezenzo,HOU,AA,23,63,245,277,63,36,12,1,14,42,41,26,0,79,5,1,0,5,16,0,0.257142857,31562
2024,Zach Dezenzo,HOU,AA,24,22,81,91,18,10,6,0,2,8,7,9,0,23,1,0,0,2,2,1,0.222222222,31562
2024,Zach Cole,HOU,AA,23,70,262,295,56,27,17,2,10,29,36,24,1,113,9,0,0,1,14,2,0.213740458,31583
2025,Zach Cole,HOU,AA,24,82,307,355,82,43,19,6,14,54,49,42,2,129,5,1,0,3,15,6,0.267100977,31583
2023,Brooks Lee,MIN,AA,22,87,349,399,102,60,31,0,11,63,61,41,1,63,2,5,0,8,6,4,0.29226361,31595
2023,Jacob Melton,HOU,AA,22,13,52,56,13,7,1,0,5,10,13,4,0,16,0,0,0,0,5,0,0.25,31661
2024,Jacob Melton,HOU,AA,23,58,226,251,56,34,10,2,10,32,34,18,0,56,2,2,0,2,19,4,0.24778761,31661
2024,Alex Freeland,LAD,AA,22,74,282,341,69,42,15,1,11,59,35,45,0,73,12,2,0,3,24,2,0.244680851,31665
2024,Cole Young,SEA,AA,20,124,469,552,127,91,25,2,9,67,57,67,0,87,8,4,3,6,23,11,0.270788912,31680
2024,Colby Thomas,OAK,AA,23,59,234,261,66,30,19,3,14,32,47,17,0,47,5,3,0,2,12,1,0.282051282,31855
2007,Luis Alfonso Cruz,SDP,AA,23,69,238,256,60,46,10,0,4,24,19,13,1,20,2,3,0,5,3,0,0.25210084,3188
2008,Julio Borbon,TEX,AA,22,60,255,280,86,67,12,2,5,40,22,14,0,32,4,1,6,3,17,11,0.337254901,3209
2011,Tyler Ladendorf,OAK,AA,23,125,433,494,98,72,17,3,6,55,35,46,0,88,6,2,7,10,6,5,0.226327944,3211
2012,Tyler Ladendorf,OAK,AA,24,104,416,476,100,70,20,1,9,59,54,42,0,89,11,3,4,14,7,4,0.240384615,3211
2024,Ben Williamson,SEA,AA,23,95,356,411,97,69,23,2,3,50,43,44,0,97,9,2,0,5,15,6,0.27247191,33197
2024,Jacob Wilson,OAK,AA,22,22,88,93,40,24,13,0,3,18,19,2,0,10,2,1,0,1,2,1,0.454545454,33266
2025,Tommy Troy,ARI,AA,23,87,343,399,98,64,20,2,12,56,47,49,0,70,5,1,1,3,21,4,0.285714285,33279
2024,Brice Matthews,HOU,AA,22,42,151,181,38,20,8,1,9,28,21,24,0,61,6,0,0,2,16,4,0.251655629,33280
2024,Luke Keaschall,MIN,AA,21,58,221,267,62,44,9,1,8,43,27,32,1,51,11,3,0,3,9,5,0.280542986,33321
2023,Wyatt Langford,TEX,AA,21,12,42,54,17,10,3,0,4,7,10,11,0,7,0,1,0,0,1,2,0.404761904,33333
2007,Mitchell Boggs,STL,AA,23,27,23,25,6,4,1,0,1,3,5,2,0,8,0,0,0,0,0,0,0.260869565,3344
2007,Cesar Ramos,SDP,AA,23,27,22,23,2,2,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0.09090909,3357
2025,Colt Emerson,SEA,AA,19,34,142,161,40,26,10,1,3,19,18,14,1,31,4,1,0,5,7,0,0.28169014,33575
2007,Nick Hundley,SDP,AA,23,101,373,422,92,48,23,1,20,55,72,42,0,74,2,3,2,7,0,2,0.246648793,3376
2007,John Mayberry Jr.,TEX,AA,23,69,245,271,59,35,10,0,14,35,38,20,0,62,4,1,1,6,7,1,0.240816326,3390
2008,John Mayberry Jr.,TEX,AA,24,21,82,90,22,10,8,0,4,16,13,4,0,21,3,1,0,3,4,1,0.268292682,3390
2007,Cliff Pennington,OAK,AA,23,70,271,314,68,51,13,2,2,41,21,38,0,35,1,2,2,5,8,2,0.250922509,3395
2008,Cliff Pennington,OAK,AA,24,50,204,245,53,44,7,2,0,42,18,39,0,36,0,0,1,7,20,1,0.259803921,3395
2007,Allen Craig,STL,AA,22,7,24,25,7,2,2,0,3,5,3,1,0,6,0,0,0,1,0,0,0.291666666,3433
2008,Allen Craig,STL,AA,23,129,506,568,154,102,30,0,22,84,85,48,1,87,10,4,0,16,2,1,0.304347826,3433
2006,Angel Sanchez,KCR,AA,22,133,542,612,153,124,24,1,4,105,57,44,0,63,7,8,11,12,8,9,0.282287822,3492
2008,Angel Sanchez,KCR,AA,24,63,241,277,63,53,7,2,1,28,23,28,0,40,1,2,5,5,4,4,0.261410788,3492
2025,JJ Wetherholt,STL,AA,22,62,223,275,67,45,14,1,7,39,34,44,0,40,6,2,0,3,14,2,0.30044843,34985
2025,Jac Caglianone,KCR,AA,22,38,152,175,49,32,8,0,9,32,43,19,1,37,1,3,0,5,2,1,0.322368421,35041
2025,Ryan Waldschmidt,ARI,AA,22,66,249,300,77,51,14,3,9,57,35,45,1,53,5,1,0,2,19,6,0.309236947,35061
2010,Eric Hosmer,KCR,AA,20,50,195,211,61,31,14,3,13,39,35,15,2,27,1,0,0,11,3,1,0.312820512,3516
2006,Troy Tulowitzki,COL,AA,21,104,423,485,123,74,34,2,13,75,61,46,3,71,10,5,1,8,6,5,0.290780141,3531
2008,Troy Tulowitzki,COL,AA,23,5,21,24,7,5,0,0,2,5,3,3,0,1,0,0,0,1,0,0,0.333333333,3531
2008,Xavier Cedeno,COL,AA,21,19,18,21,4,4,0,0,0,2,2,2,0,4,0,0,1,0,0,0,0.222222222,36
2007,Joe Mather,STL,AA,24,64,234,272,71,36,17,0,18,48,46,29,6,32,5,3,1,2,4,0,0.303418803,3714
2007,Tommy Manzella,HOU,AA,24,64,228,254,66,50,12,3,1,35,15,19,0,40,0,1,6,4,10,2,0.289473684,3789
2006,Mike Wilson,SEA,AA,23,67,248,283,61,36,12,1,12,32,43,29,0,84,6,0,0,7,1,1,0.245967741,3806
2007,Gregorio Petit,OAK,AA,22,66,268,299,82,64,14,0,4,33,31,25,0,44,1,1,4,5,9,3,0.305970149,3812
