Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2011,Roberto Velasquez,SEA,A+,21,8,21,24,5,4,1,0,0,2,0,1,0,6,1,0,1,0,0,0,0.238095238,sa504782
2013,Carlos Perdomo,HOU,A+,23,61,187,217,55,43,9,1,2,40,29,23,0,16,2,5,0,8,8,6,0.294117647,sa504867
2014,Carlos Perdomo,HOU,A+,24,36,119,141,39,32,3,3,1,26,17,15,0,14,2,3,2,5,8,2,0.327731092,sa504867
2014,Exicardo Cayones,LAA,A+,22,44,148,167,42,31,10,1,0,30,14,17,0,39,1,0,1,5,6,2,0.283783783,sa504941
2015,Michael Soto,OAK,A+,23,114,428,460,98,64,23,2,9,43,55,27,0,113,3,2,0,14,8,2,0.228971962,sa506042
2013,Jordy Lara,SEA,A+,22,15,61,63,19,14,2,0,3,11,9,1,0,13,1,0,0,0,0,0,0.311475409,sa506241
2014,Jordy Lara,SEA,A+,23,102,399,447,141,88,26,5,22,77,80,38,1,82,5,4,1,9,1,3,0.353383458,sa506241
2014,Bryan Brito,SEA,A+,22,27,86,91,21,18,1,0,2,12,11,4,0,21,1,0,0,4,4,5,0.244186046,sa506254
2013,Sammy Diaz,CIN,A+,22,7,20,24,4,2,2,0,0,4,1,3,0,3,0,1,0,1,0,0,0.2,sa506259
2014,Sammy Diaz,CIN,A+,23,34,107,115,35,24,10,0,1,16,16,5,0,13,0,2,1,2,1,1,0.327102803,sa506259
2013,Junior Arias,CIN,A+,21,53,222,230,57,38,12,2,5,30,20,5,0,60,3,0,0,4,20,10,0.256756756,sa506265
2014,Junior Arias,CIN,A+,22,17,70,77,19,14,2,0,3,15,10,5,0,18,2,0,0,1,9,3,0.271428571,sa506265
2016,Junior Arias,SFG,A+,24,9,28,31,5,5,0,0,0,3,1,3,0,12,0,0,0,0,2,0,0.178571428,sa506265
2014,Francisco Sosa,COL,A+,24,65,224,257,50,29,12,3,6,27,27,22,0,70,4,2,4,3,5,8,0.223214285,sa506298
2014,Wilson Soriano,COL,A+,22,9,23,25,4,4,0,0,0,3,0,1,0,3,0,0,1,1,3,0,0.173913043,sa506304
2015,Wilson Soriano,COL,A+,23,81,278,298,74,69,4,1,0,28,21,6,0,36,3,3,8,7,17,9,0.26618705,sa506304
2016,Wilson Soriano,COL,A+,24,22,73,78,13,12,1,0,0,8,2,2,0,10,1,0,2,4,4,1,0.178082191,sa506304
2014,Michael Ramirez,COL,A+,24,27,85,92,17,13,3,0,1,9,11,1,0,17,3,0,3,1,0,1,0.2,sa506305
2014,Juan Ciriaco,COL,A+,23,81,283,302,80,65,8,6,1,35,33,8,0,55,3,3,5,6,24,8,0.282685512,sa506307
2014,Fidel Pena,ARI,A+,22,64,233,250,55,42,5,1,7,36,27,10,2,39,2,2,3,4,10,2,0.236051502,sa506770
2015,Fidel Pena,ARI,A+,23,93,342,375,94,63,21,7,3,49,21,23,1,79,3,2,5,9,13,6,0.274853801,sa506770
2013,Raul Navarro,ARI,A+,21,71,247,278,61,51,8,1,1,36,30,22,1,52,2,1,6,4,8,2,0.246963562,sa506772
2014,Raul Navarro,ARI,A+,22,114,437,492,133,100,20,6,7,72,53,37,0,78,6,4,8,9,18,9,0.304347826,sa506772
2015,Raul Navarro,ARI,A+,23,10,39,43,6,4,2,0,0,4,2,3,0,12,0,1,0,0,1,0,0.153846153,sa506772
2013,Bladimir Franco,LAD,A+,22,24,81,89,16,11,3,2,0,4,8,7,0,29,0,0,1,1,2,1,0.197530864,sa506902
2014,Jose Capellan,LAD,A+,23,25,81,90,17,14,3,0,0,7,4,7,0,20,0,1,1,5,1,0,0.209876543,sa506929
2012,Alexis Aguilar,LAD,A+,21,58,192,208,49,40,8,0,1,25,15,10,0,35,3,1,2,7,8,2,0.255208333,sa506938
2014,Jesus Galindo,SFG,A+,23,101,396,445,106,74,22,8,2,61,30,31,0,87,9,1,8,6,31,13,0.267676767,sa506980
2015,Jesus Galindo,SFG,A+,24,62,225,256,61,50,8,1,2,29,13,17,0,54,4,0,10,5,14,6,0.271111111,sa506980
2016,Ericson Leonora,ARI,A+,23,24,80,86,17,9,4,0,4,10,15,3,0,26,2,0,1,4,0,0,0.2125,sa507157
2014,Diego Goris,SDP,A+,23,89,370,392,120,78,27,2,13,66,61,14,0,74,2,6,0,13,5,0,0.324324324,sa507199
2012,Luis Domoromo,SDP,A+,20,95,351,378,77,56,16,2,3,34,36,22,0,89,2,3,0,2,9,2,0.219373219,sa507248
2013,Luis Domoromo,SDP,A+,21,50,192,211,38,25,7,1,5,19,21,12,0,54,6,0,1,3,2,1,0.197916666,sa507248
2014,Luis Domoromo,SDP,A+,22,106,386,416,105,66,25,4,10,52,49,24,1,90,1,2,3,6,5,1,0.272020725,sa507248
2015,Miguel Del Castillo,SDP,A+,23,35,116,130,25,14,8,0,3,15,13,9,0,28,0,2,3,3,0,0,0.215517241,sa507265
2013,Corey Adamson,SDP,A+,21,17,70,78,21,14,4,3,0,10,7,7,0,16,1,0,0,1,8,1,0.3,sa508178
2014,Corey Adamson,SDP,A+,22,89,303,348,78,54,11,7,6,45,39,31,1,66,8,2,4,4,13,9,0.257425742,sa508178
2013,Ramon Morla,SEA,A+,23,45,175,188,53,25,17,1,10,32,33,12,0,48,1,0,0,3,7,1,0.302857142,sa509509
2012,Kevin Rivers,SEA,A+,23,47,147,171,33,16,8,3,6,22,25,19,0,42,3,1,1,1,1,2,0.224489795,sa510347
2013,Kevin Rivers,SEA,A+,24,128,484,556,144,83,36,5,20,92,97,66,0,127,2,4,0,2,8,3,0.297520661,sa510347
2016,Noah Perio,LAD,A+,24,30,121,129,43,26,9,2,6,23,24,6,0,14,1,1,0,1,1,0,0.3553719,sa513056
2012,Juan Crousset,COL,A+,22,79,304,337,88,56,18,4,10,53,49,26,0,72,2,3,2,10,4,1,0.289473684,sa516161
2013,Juan Crousset,COL,A+,23,52,189,204,45,34,7,2,2,15,14,11,2,65,1,3,0,2,3,2,0.238095238,sa516161
2011,BJ Larosa,LAD,A+,23,8,22,24,4,4,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0.181818181,sa526149
2012,Leon Landry,SEA,A+,22,24,104,111,40,24,8,3,5,25,25,5,0,14,1,1,0,2,7,2,0.384615384,sa526198
2012,Leon Landry,LAD,A+,22,80,345,376,113,64,26,15,8,63,51,14,3,52,5,5,7,3,20,9,0.327536231,sa526198
2013,Jamal Austin,SEA,A+,22,126,520,586,149,124,15,10,0,107,58,44,0,69,4,5,13,7,40,13,0.286538461,sa526245
