Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2018,Ryan Scott,SEA,A,23,35,107,128,22,16,5,1,0,13,9,19,0,36,1,0,1,2,1,1,0.205607476,sa738447
2017,Ridge Smith,TOR,A,22,51,166,196,41,23,15,1,2,22,26,23,0,38,2,5,0,3,2,0,0.246987951,sa738448
2014,Cambric Moye,LAA,A,22,40,122,139,18,10,6,0,2,11,12,15,0,45,2,0,0,4,0,0,0.147540983,sa738450
2014,Chantz Mack,SEA,A,23,73,273,310,77,54,11,4,8,32,50,29,0,40,2,4,2,3,7,3,0.282051282,sa738471
2015,Chantz Mack,SEA,A,24,88,310,366,81,60,16,4,1,46,26,49,0,79,4,2,1,6,3,5,0.261290322,sa738471
2018,Angel Moreno,STL,A,21,10,36,40,8,6,1,0,1,3,5,3,0,13,1,0,0,0,0,1,0.222222222,sa738494
2016,Angel Moreno,TBR,A,19,78,276,295,63,46,15,1,1,34,24,10,0,62,4,0,5,9,13,3,0.228260869,sa738494
2016,Daniel De La Calle,TBR,A,23,6,21,24,5,4,1,0,0,3,6,3,0,10,0,0,0,0,0,0,0.238095238,sa738529
2017,Daniel De La Calle,TBR,A,24,20,67,73,16,10,5,0,1,9,13,3,0,21,1,2,0,1,0,0,0.23880597,sa738529
2015,Lana Akau,OAK,A,19,41,147,168,37,25,9,1,2,19,14,12,0,49,8,1,0,1,0,1,0.25170068,sa738553
2018,Morgan Lofstrom,CIN,A,22,12,28,32,7,4,3,0,0,3,2,3,0,12,1,0,0,0,0,0,0.25,sa738557
2019,Morgan Lofstrom,CIN,A,23,64,213,230,55,35,15,2,3,23,23,8,0,82,5,2,2,0,0,0,0.258215962,sa738557
2016,Rod Boykin,SDP,A,21,62,198,231,37,29,5,3,0,21,7,18,0,77,6,0,9,4,13,3,0.186868686,sa738567
2017,Rod Boykin,SDP,A,22,69,205,235,51,32,10,3,6,31,20,23,0,77,2,1,4,5,7,4,0.248780487,sa738567
2015,Dane McFarland,ARI,A,20,9,22,22,1,1,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0.045454545,sa738569
2016,Christian Ibarra,MIN,A,23,35,125,147,33,24,6,1,2,17,13,20,0,23,2,0,0,2,0,0,0.264,sa738608
2014,Mike Fish,LAA,A,23,110,428,469,108,68,25,6,9,51,57,30,0,78,5,4,2,12,8,3,0.252336448,sa738617
2018,Kacy Clemens,TOR,A,23,27,93,119,28,14,5,2,7,25,25,25,0,22,1,0,0,2,1,1,0.301075268,sa738624
2017,Ronnie Gideon,MIL,A,22,113,390,438,89,46,28,1,14,42,55,39,1,133,4,5,0,9,6,4,0.228205128,sa738630
2014,David Harris,TOR,A,22,59,224,241,57,38,10,3,6,36,27,7,0,62,8,0,2,9,8,5,0.254464285,sa738643
2015,David Harris,TOR,A,23,55,211,234,59,39,13,3,4,31,28,15,0,54,4,4,0,4,5,3,0.279620853,sa738643
2017,Johnny Slater,SEA,A,21,52,177,201,38,27,6,3,2,17,9,18,1,54,2,1,3,0,5,4,0.214689265,sa738653
2018,Torii Hunter Jr.,LAA,A,23,97,381,433,97,73,14,8,2,59,27,44,0,106,4,4,0,4,24,6,0.254593175,sa738667
2014,Vaughn Bryan,STL,A,21,83,317,350,83,56,17,9,1,47,15,27,1,73,3,0,3,12,11,7,0.261829652,sa738672
2015,Vaughn Bryan,STL,A,22,24,92,98,25,18,6,1,0,8,8,5,0,27,1,0,0,1,3,1,0.27173913,sa738672
2016,Vaughn Bryan,STL,A,23,52,183,202,38,27,9,2,0,22,13,17,0,58,0,1,1,4,4,3,0.207650273,sa738672
2019,Cooper Goldby,OAK,A,24,12,29,33,5,4,1,0,0,1,2,4,0,7,0,0,0,1,1,0,0.172413793,sa738676
2017,Luke Persico,OAK,A,21,117,446,502,116,82,25,4,5,61,64,46,1,80,2,7,1,11,7,4,0.260089686,sa738678
2017,Michael Reed,SDP,A,22,88,316,347,74,43,17,8,6,48,35,23,1,97,3,3,1,3,12,8,0.234177215,sa738683
2014,Brett Thomas,SEA,A,22,39,132,154,33,28,5,0,0,16,11,20,0,35,0,1,1,3,2,1,0.25,sa738695
2014,Curt Powell,DET,A,23,8,34,34,9,7,1,1,0,1,2,0,0,4,0,0,0,3,0,0,0.264705882,sa738708
2017,JaVon Shelby,OAK,A,22,114,374,422,74,52,14,0,8,40,39,41,1,164,4,2,1,8,7,8,0.197860962,sa738714
2018,JaVon Shelby,OAK,A,23,27,93,100,11,5,1,2,3,12,10,6,0,48,1,0,0,1,5,0,0.118279569,sa738714
