Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2022,Edwin Barragan,TBR,A,18,9,29,34,8,6,1,0,1,3,4,2,0,5,3,0,0,0,1,1,0.275862068,sa3015622
2023,Edwin Barragan,TBR,A,19,24,67,80,14,11,2,0,1,13,7,11,0,21,1,0,1,0,1,0,0.208955223,sa3015622
2023,Willmer De La Cruz,TBR,A,20,6,23,24,5,3,1,1,0,4,0,0,0,10,1,0,0,0,0,0,0.217391304,sa3015624
2024,Willmer De La Cruz,ATL,A,21,27,76,91,14,12,1,1,0,7,7,13,0,32,1,0,0,0,5,2,0.184210526,sa3015624
2023,Odalys Peguero,TBR,A,20,65,215,261,49,31,11,5,2,23,36,40,0,52,2,4,0,2,12,4,0.227906976,sa3015626
2024,Odalys Peguero,TBR,A,21,78,245,294,41,34,7,0,0,25,18,41,0,67,3,1,4,6,25,0,0.167346938,sa3015626
2023,Santiago Millan,TBR,A,20,7,20,21,4,3,1,0,0,2,1,1,0,9,0,0,0,0,1,0,0.2,sa3015628
2022,Miguel Villarroel,TEX,A,20,38,130,149,42,35,6,0,1,22,23,17,0,22,1,0,1,4,8,3,0.323076923,sa3015631
2023,Miguel Villarroel,TEX,A,21,68,260,280,60,43,12,1,4,32,36,12,0,56,4,4,0,7,18,0,0.23076923,sa3015631
2023,Alexis Hernandez,BOS,A,20,42,151,174,38,27,8,0,3,19,21,20,0,38,2,1,0,3,11,1,0.251655629,sa3015642
2022,Johnfrank Salazar,BOS,A,18,19,74,83,19,15,3,1,0,9,8,5,0,17,1,0,3,5,0,0,0.256756756,sa3015643
2023,Johnfrank Salazar,BOS,A,19,34,123,137,28,20,3,0,5,13,17,14,0,22,0,0,0,4,0,2,0.227642276,sa3015643
2023,Layant Tapia,CHW,A,21,17,66,72,6,4,2,0,0,5,2,5,0,28,1,0,0,1,1,2,0.09090909,sa3015652
2024,Jhonny Perdomo,KCR,A,22,83,286,321,57,42,10,4,1,36,33,24,2,64,5,2,4,7,32,5,0.199300699,sa3015656
2024,Kelvin Diaz,WSN,A,21,10,34,38,9,6,2,0,1,8,7,2,0,14,0,1,1,0,1,1,0.264705882,sa3015670
2025,Kelvin Diaz,WSN,A,22,35,83,102,15,10,3,1,1,15,3,15,0,33,1,1,2,2,8,3,0.180722891,sa3015670
2025,Beycker Barroso,TEX,A,22,49,155,198,30,22,8,0,0,21,14,17,0,35,17,3,5,4,8,3,0.193548387,sa3015672
2024,Beycker Barroso,TEX,A,21,39,131,156,30,20,5,1,4,14,17,14,0,40,9,1,1,0,6,4,0.229007633,sa3015672
2022,Frank Hernandez,CHC,A,20,16,45,55,4,4,0,0,0,4,2,7,0,12,2,0,1,2,1,0,0.088888888,sa3015678
2024,Frank Hernandez,CHC,A,22,38,136,153,33,31,2,0,0,12,9,13,0,37,2,0,2,3,4,2,0.242647058,sa3015678
2024,Alvaro Aguero,CHW,A,21,14,46,48,15,11,3,0,1,9,7,2,0,15,0,0,0,0,4,0,0.326086956,sa3015679
2024,Anderson Suriel,CHC,A,21,17,49,57,12,8,3,0,1,7,6,4,0,17,4,0,0,0,0,1,0.244897959,sa3015683
2025,Anderson Suriel,CHC,A,22,28,98,109,13,7,6,0,0,11,2,7,0,31,4,0,0,4,2,1,0.132653061,sa3015683
2024,Dilan Granadillo,CHC,A,23,11,30,39,5,5,0,0,0,5,2,8,0,8,0,0,1,0,0,0,0.166666666,sa3015686
2025,Dilan Granadillo,CHC,A,24,47,147,171,28,21,6,0,1,14,12,19,0,56,3,2,0,0,0,0,0.19047619,sa3015686
2023,Javier Mora,CHW,A,20,19,64,70,13,12,1,0,0,8,5,5,0,26,0,1,0,0,0,0,0.203125,sa3015692
